"";"Datum";"factorn";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"60";2006-12-31;0,00277777777777778;1;1;0;1;NA
"611";2007-03-31;0,0024390243902439;-1;-1;0;-1;NA
"64";2007-12-31;0,00285714285714286;0;-1;1;-1;NA
"65";2008-03-31;0,00384615384615385;1;1;0;1;NA
"66";2008-06-30;0,00245901639344262;0;0;0;0;NA
"67";2008-09-30;0,00377358490566038;0;0;0;0;NA
"68";2008-12-31;0,00392156862745098;0;0;1;0;NA
"69";2009-03-31;0,00416666666666667;0;0;-1;0;NA
"70";2009-06-30;0,00307692307692308;0;0;0;0;NA
"71";2009-09-30;0,00384615384615385;0;0;-1;0;NA
"72";2009-12-31;0,00540540540540541;0;0;-1;-1;NA
"73";2010-03-31;0,00444444444444444;-1;-1;0;-1;NA
"74";2010-06-30;0,00425531914893617;0;0;-1;0;NA
"75";2010-09-30;0,00425531914893617;0;-1;0;0;NA
"76";2010-12-31;0,0037037037037037;0;0;0;0;NA
"77";2011-03-31;0,00425531914893617;0;0;-1;0;NA
"80";2011-12-31;0,00434782608695652;0;0;0;0;NA
"83";2012-09-30;0,00363636363636364;NA;-1;-1;-1;NA
"84";2012-12-31;0,0048780487804878;0;0;-1;0;NA
"87";2013-09-30;0,005;1;1;1;0;NA
"88";2013-12-31;0,00454545454545455;NA;-1;-2;-2;NA
"93";2015-03-31;0,00476190476190476;NA;-1;-1;-1;NA
"97";2016-03-31;0,00377358490566038;0;0;-1;0;NA
"612";1993-06-30;0,0016304347826087;-1;0;NA;NA;NA
"92";1994-03-31;0,00211267605633803;0;1;NA;NA;NA
"103";1994-06-30;0,00204081632653061;-1;0;NA;NA;NA
"112";1994-09-30;NA;-1;-2;NA;NA;NA
"123";1994-12-31;NA;1;0;NA;NA;NA
"132";1995-03-31;0,00211267605633803;2;-1;NA;NA;NA
"141";1995-06-30;0,00215827338129496;1;1;NA;NA;NA
"151";1995-09-30;0,00303030303030303;0;0;NA;NA;NA
"163";1995-12-31;NA;1;0;NA;NA;NA
"173";1996-03-31;0,00303030303030303;-1;1;NA;NA;NA
"183";1996-06-30;0,00223880597014925;-1;0;NA;NA;NA
"193";1996-09-30;0,0027027027027027;0;0;NA;NA;NA
"203";1996-12-31;0,00285714285714286;1;0;NA;NA;NA
"213";1997-03-31;0,00220588235294118;0;1;NA;NA;NA
"223";1997-06-30;0,00285714285714286;0;0;NA;NA;NA
"232";1997-09-30;0,0025;0;1;NA;NA;NA
"243";1997-12-31;0,00352941176470588;-1;1;NA;NA;NA
"253";1998-03-31;0,00319148936170213;1;0;NA;NA;NA
"282";1998-12-31;0,00352941176470588;0;-1;NA;NA;NA
"292";1999-03-31;0,00447761194029851;1;1;NA;NA;NA
"301";1999-06-30;0,00384615384615385;1;2;NA;NA;NA
"311";1999-09-30;0,00891089108910891;-1;1;NA;NA;NA
"351";2000-09-30;0,0189473684210526;0;0;NA;NA;NA
"362";2000-12-31;0,0160714285714286;0;1;NA;NA;NA
"372";2001-03-31;0,00972972972972973;-1;-1;NA;NA;NA
"382";2001-06-30;0,0115384615384615;1;0;0;0;NA
"392";2001-09-30;0,0125;-1;-1;-1;-1;NA
"113";1994-09-30;NA;0;1;NA;NA;NA
"164";1995-12-31;NA;1;0;NA;NA;NA
"233";1997-09-30;0,0025;0;0;NA;NA;NA
"244";1997-12-31;0,00352941176470588;0;1;NA;NA;NA
"293";1999-03-31;0,00447761194029851;0;0;NA;NA;NA
"393";2001-09-30;0,00625;-1;0;-1;-1;NA
"402";2001-12-31;0,00638297872340425;0;0;0;0;NA
"412";2002-03-31;0,00526315789473684;-1;0;0;0;NA
"613";1993-06-30;0,0016304347826087;1;NA;NA;NA;NA
"94";1994-03-31;0,00211267605633803;0;NA;NA;NA;NA
"124";1994-12-31;NA;1;1;NA;NA;NA
"133";1995-03-31;0,00211267605633803;0;0;NA;NA;NA
"142";1995-06-30;0,00215827338129496;0;0;NA;NA;NA
"152";1995-09-30;0,00303030303030303;1;0;NA;NA;NA
"165";1995-12-31;NA;-1;NA;NA;NA;NA
"174";1996-03-31;0,00303030303030303;-1;NA;NA;NA;NA
"184";1996-06-30;0,00223880597014925;0;NA;NA;NA;NA
"194";1996-09-30;0,0027027027027027;-1;-1;NA;NA;NA
"204";1996-12-31;0,00285714285714286;-1;NA;NA;NA;NA
"214";1997-03-31;0,00220588235294118;-1;NA;NA;NA;NA
"224";1997-06-30;0,00285714285714286;-1;0;NA;NA;NA
"234";1997-09-30;0,0025;0;1;NA;NA;NA
"245";1997-12-31;0,00352941176470588;1;NA;NA;NA;NA
"254";1998-03-31;0,00319148936170213;-1;NA;NA;NA;NA
"283";1998-12-31;0,00352941176470588;-1;-1;NA;NA;NA
"294";1999-03-31;0,00447761194029851;0;-1;NA;NA;NA
"302";1999-06-30;0,00384615384615385;0;0;NA;NA;NA
"312";1999-09-30;0,00247524752475248;1;1;NA;NA;NA
"114";1994-09-30;NA;0;NA;NA;NA;NA
"125";1994-12-31;NA;-2;NA;NA;NA;NA
"134";1995-03-31;0,00211267605633803;-1;NA;NA;NA;NA
"95";1994-03-31;0,00211267605633803;0;-1;NA;NA;NA
"104";1994-06-30;0,00204081632653061;1;0;NA;NA;NA
"115";1994-09-30;NA;0;1;NA;NA;NA
"126";1994-12-31;NA;0;1;NA;NA;NA
"135";1995-03-31;0,00211267605633803;-1;-1;NA;NA;NA
"143";1995-06-30;0,00215827338129496;-1;-1;NA;NA;NA
"153";1995-09-30;0,00303030303030303;0;-1;NA;NA;NA
"166";1995-12-31;NA;1;1;NA;NA;NA
"175";1996-03-31;0,00303030303030303;0;-1;NA;NA;NA
"185";1996-06-30;0,00223880597014925;0;0;NA;NA;NA
"195";1996-09-30;0,0027027027027027;1;-1;NA;NA;NA
"205";1996-12-31;0,00285714285714286;0;-1;NA;NA;NA
"614";1993-06-30;0,0016304347826087;-1;0;NA;NA;NA
"96";1994-03-31;0,00211267605633803;-1;NA;NA;NA;NA
"105";1994-06-30;0,00204081632653061;0;0;NA;NA;NA
"116";1994-09-30;NA;0;1;NA;NA;NA
"127";1994-12-31;NA;1;0;NA;NA;NA
"136";1995-03-31;0,00211267605633803;0;0;NA;NA;NA
"144";1995-06-30;0,00215827338129496;1;0;NA;NA;NA
