Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Comments,Latecomer,NewRecruit,WrongClassific,Duplicate,Imputed
01,30788,0099,0,100,01Q3,1,2,1,2,2,2,1,2,1,2,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,01Q4,1,2,2,2,2,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,02Q1,1,2,2,3,3,1,1,1,2,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,02Q2,,2,2,3,3,2,2,2,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,03Q2,,2,2,1,3,2,1,2,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,04Q1,1,2,2,2,2,1,1,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,04Q4,1,2,2,3,3,2,3,2,3,2,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,05Q1,1,2,2,2,1,2,2,3,3,2,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,05Q3,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,06Q2,1,2,2,3,3,3,3,2,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,06Q3,1,2,2,2,3,1,2,1,2,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,06Q4,2,2,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,07Q1,1,2,2,1,2,1,2,1,2,3,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,07Q2,1,2,1,1,1,1,1,2,1,2,2,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,07Q3,,2,2,1,2,1,2,2,2,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,08Q1,1,2,2,1,3,1,3,1,3,2,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,0,100,08q2,2,2,2,3,3,2,3,2,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,08Q3,2,3,2,3,3,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,08Q4,,2,2,3,3,3,3,2,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,09Q1,,2,2,1,2,1,2,3,1,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,09Q2,2,2,2,3,3,2,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,09Q3,2,2,2,3,2,3,3,3,3,3,3,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,09Q4,1,2,2,1,1,3,1,2,3,2,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,10Q1,1,2,2,1,1,2,1,3,2,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,10Q2,1,2,2,1,1,2,2,2,2,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,10Q3,1,2,2,3,3,1,1,3,3,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
01,30788,0099,3,100,10Q4,,2,2,1,2,1,1,1,1,1,1,,FALSE,FALSE,FALSE,FALSE,FALSE
