Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7,Q8,Q9,Q10,Latecomer,NewRecruit,WrongClassif,Duplicate
5,36875,8150,5,5,2015Q2,2,3,2,3,2,3,2,2,2,2,2,1,1,3,3,TRUE,FALSE,FALSE,FALSE
6,12353,6000,5,5,2015Q2,1,2,2,2,2,2,2,2,2,2,1,2,3,3,3,TRUE,FALSE,FALSE,FALSE
5,10478,6000,3,3,2015Q2,1,1,2,1,1,2,2,1,1,2,2,3,3,1,3,TRUE,FALSE,FALSE,FALSE
6,15411,7020,7,7,2015Q2,2,3,2,3,2,3,3,3,3,3,2,1,3,3,3,TRUE,FALSE,FALSE,FALSE
1,10540,9000,4,4,2015Q2,2,2,2,2,2,3,2,3,3,1,2,1,3,3,3,TRUE,FALSE,FALSE,FALSE
5,36974,8120,7,7,2015Q2,1,,,1,,1,,1,,1,,3,3,3,3,TRUE,FALSE,FALSE,FALSE
5,15459,6000,3,3,2015Q2,2,3,,3,3,2,2,3,3,2,2,1,3,3,2,TRUE,FALSE,FALSE,FALSE
6,36856,7010,7,7,2015Q2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,TRUE,FALSE,FALSE,FALSE
1,36730,8150,7,7,2015Q2,1,1,1,1,1,2,2,1,1,1,1,2,2,3,2,TRUE,FALSE,FALSE,FALSE
5,14726,8210,5,5,2015Q2,1,1,1,1,1,2,2,1,1,2,2,2,2,3,3,TRUE,FALSE,FALSE,FALSE
6,36944,7070,7,7,2015Q2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,3,TRUE,FALSE,FALSE,FALSE
6,15455,7020,9,9,2015Q2,1,3,3,3,3,3,3,3,3,3,3,1,2,3,1,TRUE,FALSE,FALSE,FALSE
6,10533,6000,8,8,2015Q2,2,3,3,3,3,3,3,3,3,3,3,1,3,3,3,TRUE,FALSE,FALSE,FALSE
5,15380,7020,7,7,2015Q2,2,3,3,3,3,1,3,3,3,1,1,1,3,3,2,TRUE,FALSE,FALSE,FALSE
2,10465,6000,5,5,2015Q2,2,3,3,3,3,2,2,3,3,2,2,1,2,1,1,TRUE,FALSE,FALSE,FALSE
6,37020,7090,8,8,2015Q2,2,3,,3,1,3,1,3,1,2,2,2,1,3,3,TRUE,FALSE,FALSE,FALSE
5,98066,7090,5,5,2015Q2,2,3,2,3,2,2,2,3,2,3,2,2,3,3,3,TRUE,FALSE,FALSE,FALSE
6,36811,7020,9,9,2015Q2,2,3,2,3,2,3,2,3,2,2,2,1,3,3,3,TRUE,FALSE,FALSE,FALSE
6,36887,8000,8,8,2015Q2,2,,,2,,2,,2,,2,,1,1,2,1,TRUE,FALSE,FALSE,FALSE
5,15389,7020,9,9,2015Q2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,TRUE,FALSE,FALSE,FALSE
5,15467,8010,5,5,2015Q2,1,2,3,3,3,3,2,2,3,2,3,3,2,3,2,TRUE,FALSE,FALSE,FALSE
5,36670,7080,5,5,2015Q2,2,3,2,3,2,2,2,3,2,2,2,2,3,3,3,TRUE,FALSE,FALSE,FALSE
6,10487,6000,9,9,2015Q3,1,3,3,3,3,1,2,2,2,2,2,1,2,3,2,FALSE,FALSE,FALSE,FALSE
6,12361,8180,5,5,2015Q3,2,3,3,2,2,2,2,3,3,2,2,2,3,3,2,FALSE,FALSE,FALSE,FALSE
5,10340,6000,3,3,2015Q3,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
1,36472,8140,9,9,2015Q3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,FALSE,FALSE,FALSE,FALSE
1,12312,6000,6,6,2015Q3,2,3,2,3,3,3,3,3,3,2,2,1,3,3,2,FALSE,FALSE,FALSE,FALSE
6,36746,8120,2,2,2015Q3,2,3,3,3,3,2,2,3,3,2,2,2,3,3,2,FALSE,FALSE,FALSE,FALSE
5,36650,8160,8,8,2015Q3,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
6,36599,8140,5,5,2015Q3,2,1,2,1,2,3,2,1,2,2,2,2,3,3,2,FALSE,FALSE,FALSE,FALSE
1,14725,8210,5,5,2015Q3,2,3,2,3,2,2,3,3,3,2,2,1,2,3,1,FALSE,FALSE,FALSE,FALSE
1,37095,8150,4,4,2015Q3,2,,2,2,3,3,2,2,2,2,2,1,3,2,1,FALSE,FALSE,FALSE,FALSE
1,15302,6000,5,5,2015Q3,1,1,1,1,1,1,2,1,1,2,2,3,3,3,2,FALSE,FALSE,FALSE,FALSE
6,36748,7070,5,5,2015Q3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
6,37053,8040,5,5,2015Q3,2,3,3,3,3,3,3,3,3,2,2,1,2,3,1,FALSE,FALSE,FALSE,FALSE
1,14229,8080,5,5,2015Q3,1,1,,1,,1,,1,,1,,2,2,3,3,FALSE,FALSE,FALSE,FALSE
5,10479,6000,5,5,2015Q3,2,3,2,3,2,3,2,3,2,3,2,1,2,3,1,FALSE,FALSE,FALSE,FALSE
1,15395,6000,4,4,2015Q3,1,1,1,1,1,2,2,1,1,1,1,3,2,3,3,FALSE,FALSE,FALSE,FALSE
6,38902,8000,5,5,2015Q3,1,2,2,2,2,2,2,2,2,1,1,3,2,2,2,FALSE,FALSE,FALSE,FALSE
1,15366,6000,5,5,2015Q3,1,2,2,2,2,1,2,1,1,2,1,2,3,2,1,FALSE,FALSE,FALSE,FALSE
5,36870,7060,8,8,2015Q3,1,2,3,2,3,2,2,2,2,1,1,2,2,2,3,FALSE,FALSE,FALSE,FALSE
1,98213,7090,5,5,2015Q3,2,3,2,3,2,3,2,3,2,2,1,2,3,3,1,FALSE,FALSE,FALSE,FALSE
2,12322,8010,5,5,2015Q3,2,3,3,2,2,2,2,3,3,3,3,2,3,3,3,FALSE,FALSE,FALSE,FALSE
1,15340,6000,8,8,2015Q3,2,3,2,3,1,3,1,3,1,3,1,1,2,3,3,FALSE,FALSE,FALSE,FALSE
1,15499,6000,6,6,2015Q3,2,3,3,3,3,2,3,3,3,3,3,2,1,2,2,FALSE,FALSE,FALSE,FALSE
5,36645,7000,6,6,2015Q3,1,2,3,2,3,2,3,2,3,2,3,2,2,2,1,FALSE,FALSE,FALSE,FALSE
2,36492,8150,7,7,2015Q3,2,,,3,2,2,2,3,3,,,1,2,2,1,FALSE,FALSE,FALSE,FALSE
5,15337,6000,3,3,2015Q3,2,3,2,3,3,2,2,3,3,1,2,1,3,3,1,FALSE,FALSE,FALSE,FALSE
5,10481,6010,5,5,2015Q3,1,2,3,2,3,2,2,2,3,1,1,1,1,3,3,FALSE,FALSE,FALSE,FALSE
6,37062,8120,5,5,2015Q3,1,2,3,2,2,1,2,2,3,2,3,2,3,3,3,FALSE,FALSE,FALSE,FALSE
1,15286,6000,5,5,2015Q3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
1,15469,6000,5,5,2015Q3,2,3,2,3,2,2,2,3,3,2,2,1,2,1,2,FALSE,FALSE,FALSE,FALSE
6,36627,8010,5,5,2015Q3,2,3,2,3,2,2,2,3,2,2,2,2,3,3,1,FALSE,FALSE,FALSE,FALSE
5,36510,8150,7,7,2015Q3,2,3,2,3,2,2,2,3,2,2,2,3,3,3,3,FALSE,FALSE,FALSE,FALSE
5,15309,7020,8,8,2015Q3,1,1,2,1,2,2,2,1,1,2,2,2,1,3,3,FALSE,FALSE,FALSE,FALSE
6,36775,9010,7,7,2015Q3,2,3,2,3,2,2,2,3,3,2,2,1,2,3,2,FALSE,FALSE,FALSE,FALSE
1,36393,8010,7,7,2015Q3,2,3,2,3,2,3,2,3,2,3,2,1,2,3,1,FALSE,FALSE,FALSE,FALSE
1,36400,8120,3,3,2015Q3,2,3,3,2,2,2,2,2,2,2,2,3,3,3,3,FALSE,FALSE,FALSE,FALSE
6,36558,8160,4,4,2015Q3,2,3,3,3,3,2,3,3,3,3,3,1,2,3,2,FALSE,FALSE,FALSE,FALSE
1,36396,6000,5,5,2015Q3,2,3,3,3,3,3,3,3,3,2,3,1,3,3,1,FALSE,FALSE,FALSE,FALSE
1,14723,8210,8,8,2015Q3,,1,2,1,3,2,2,1,2,2,2,2,1,3,3,FALSE,FALSE,FALSE,FALSE
3,37016,8000,5,5,2015Q3,2,3,3,3,3,2,2,3,3,3,3,1,,,1,FALSE,FALSE,FALSE,FALSE
6,12319,8180,5,5,2015Q3,2,3,,3,,3,,3,,2,,,2,3,1,FALSE,FALSE,FALSE,FALSE
1,36585,8000,5,5,2015Q3,1,2,2,3,2,1,2,2,2,1,2,1,2,2,1,FALSE,FALSE,FALSE,FALSE
2,36550,8010,6,6,2015Q3,2,3,2,3,3,2,3,3,3,3,2,1,3,3,1,FALSE,FALSE,FALSE,FALSE
6,36805,8150,7,7,2015Q3,1,2,2,2,2,2,2,2,3,3,3,2,2,3,3,FALSE,FALSE,FALSE,FALSE
6,36431,8120,6,6,2015Q3,1,2,2,2,2,3,2,3,2,2,1,2,3,3,3,FALSE,FALSE,FALSE,FALSE
6,36716,8010,4,4,2015Q3,1,2,3,2,3,2,3,1,2,1,1,1,2,3,3,FALSE,FALSE,FALSE,FALSE
6,36771,7090,9,9,2015Q3,1,1,2,1,2,2,2,1,2,1,2,3,3,3,2,FALSE,FALSE,FALSE,FALSE
1,36445,8150,4,4,2015Q3,1,1,1,1,1,2,2,1,1,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
6,36486,8000,5,5,2015Q3,2,3,2,3,3,2,2,3,2,3,2,1,1,2,2,FALSE,FALSE,FALSE,FALSE
6,12365,8140,5,5,2015Q3,2,3,3,3,2,2,2,3,3,3,3,1,2,3,2,FALSE,FALSE,FALSE,FALSE
1,15399,6000,5,5,2015Q3,2,3,2,3,3,3,2,3,2,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
1,36600,8150,5,5,2015Q3,2,2,3,2,3,2,2,3,3,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
5,10862,8010,5,5,2015Q3,2,3,2,3,2,2,2,3,2,2,2,1,3,3,1,FALSE,FALSE,FALSE,FALSE
5,36868,6010,5,5,2015Q3,1,2,1,2,1,2,2,2,1,2,1,2,3,3,3,FALSE,FALSE,FALSE,FALSE
6,36741,8010,9,9,2015Q3,2,3,3,3,3,2,2,3,3,2,2,1,2,1,1,FALSE,FALSE,FALSE,FALSE
6,14751,8040,6,6,2015Q3,2,3,3,3,3,2,2,3,3,2,2,1,2,3,3,FALSE,FALSE,FALSE,FALSE
6,12342,8010,9,9,2015Q3,1,2,2,2,3,2,2,2,3,2,3,1,2,2,1,FALSE,FALSE,FALSE,FALSE
6,14717,8070,5,5,2015Q3,1,2,1,2,1,2,2,3,2,2,2,1,2,2,1,FALSE,FALSE,FALSE,FALSE
6,36869,7000,9,9,2015Q3,1,3,3,3,3,2,2,3,3,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
1,14200,9030,5,5,2015Q3,1,1,2,1,2,1,2,2,2,2,2,2,3,3,2,FALSE,FALSE,FALSE,FALSE
6,36691,9000,4,4,2015Q3,1,2,2,2,2,2,2,3,3,1,2,2,3,3,2,FALSE,FALSE,FALSE,FALSE
3,15496,6000,3,3,2015Q3,2,3,3,3,3,2,2,3,3,2,2,1,3,3,2,FALSE,FALSE,FALSE,FALSE
5,36701,7040,9,9,2015Q3,1,1,2,1,2,2,2,1,2,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
6,36620,8120,3,3,2015Q3,2,3,3,3,3,2,2,3,3,2,2,1,3,3,3,FALSE,FALSE,FALSE,FALSE
3,36732,8150,5,5,2015Q3,2,3,3,3,3,3,3,3,3,3,3,1,3,3,2,FALSE,FALSE,FALSE,FALSE
8,14296,8150,7,7,2015Q3,1,2,1,2,1,2,2,3,1,2,2,2,2,3,1,FALSE,FALSE,FALSE,FALSE
1,10337,6000,2,2,2015Q3,1,2,1,2,2,2,2,2,2,3,1,2,3,3,2,FALSE,FALSE,FALSE,FALSE
1,15305,7020,8,8,2015Q3,1,2,2,2,2,1,2,2,2,2,2,2,3,3,2,FALSE,FALSE,FALSE,FALSE
6,12348,8190,9,9,2015Q3,2,3,3,3,2,3,2,2,2,1,2,2,2,3,3,FALSE,FALSE,FALSE,FALSE
1,10333,6000,2,2,2015Q3,2,3,2,3,2,2,2,3,2,1,1,1,2,2,2,FALSE,FALSE,FALSE,FALSE
1,36446,8000,5,5,2015Q3,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,FALSE,FALSE,FALSE,FALSE
2,15372,8010,2,2,2015Q3,2,3,1,3,1,2,2,2,2,2,2,1,2,3,3,FALSE,FALSE,FALSE,FALSE
6,36634,8010,6,6,2015Q3,1,1,2,1,1,1,2,1,2,2,2,2,1,2,1,FALSE,FALSE,FALSE,FALSE
4,36505,8150,6,6,2015Q3,2,3,2,3,2,2,2,3,2,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
1,15301,8010,5,5,2015Q3,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,FALSE,FALSE,FALSE,FALSE
1,36454,7020,7,7,2015Q3,2,3,2,3,2,2,2,3,2,2,2,1,3,2,3,FALSE,FALSE,FALSE,FALSE
1,36397,8120,5,5,2015Q3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,FALSE,FALSE,FALSE,FALSE
1,36458,7100,5,5,2015Q3,1,1,1,1,1,1,2,2,2,1,2,2,3,3,2,FALSE,FALSE,FALSE,FALSE
1,12304,8010,1,1,2015Q3,1,1,2,2,2,2,2,2,2,1,1,2,3,1,2,FALSE,FALSE,FALSE,FALSE
1,15346,6000,3,3,2015Q3,2,2,3,2,2,2,2,2,3,1,2,3,3,3,2,FALSE,FALSE,FALSE,FALSE
6,36926,8040,3,3,2015Q3,1,1,2,1,2,2,2,2,2,3,2,2,2,2,1,FALSE,FALSE,FALSE,FALSE
6,36622,8120,4,4,2015Q3,2,3,3,3,3,3,2,3,3,2,2,1,3,3,2,FALSE,FALSE,FALSE,FALSE
2,36814,8150,5,5,2015Q3,2,2,2,2,2,3,3,3,3,3,3,1,3,3,1,FALSE,FALSE,FALSE,FALSE
1,36406,8010,3,3,2015Q3,1,2,2,2,1,2,2,2,2,2,2,2,2,3,3,FALSE,FALSE,FALSE,FALSE
1,12315,6000,5,5,2015Q3,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,FALSE,FALSE,FALSE,FALSE
1,36443,8100,9,9,2015Q3,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,FALSE,FALSE,FALSE,FALSE
6,36529,8120,6,6,2015Q3,2,3,3,3,3,3,3,3,3,3,3,1,1,2,1,FALSE,FALSE,FALSE,FALSE
6,36951,7080,5,5,2015Q3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,FALSE,FALSE,FALSE,FALSE
6,36587,8120,5,5,2015Q3,2,2,3,2,2,2,2,3,3,2,2,3,1,3,2,FALSE,FALSE,FALSE,FALSE
6,36956,8150,6,6,2015Q3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
4,36515,8200,6,6,2015Q3,2,3,2,3,3,3,3,3,3,2,2,1,3,3,2,FALSE,FALSE,FALSE,FALSE
6,36859,8140,7,7,2015Q3,2,3,2,3,2,2,2,3,2,2,2,2,3,3,2,FALSE,FALSE,FALSE,FALSE
8,36893,7010,9,9,2015Q3,2,2,3,2,3,2,3,1,3,2,2,1,2,2,1,FALSE,FALSE,FALSE,FALSE
1,10347,6000,2,2,2015Q3,2,3,3,3,3,2,2,3,2,2,1,1,3,3,2,FALSE,FALSE,FALSE,FALSE
6,36688,8040,9,9,2015Q3,,3,2,3,3,3,3,3,3,3,3,1,2,2,1,FALSE,FALSE,FALSE,FALSE
1,36448,8000,9,9,2015Q3,2,1,,1,,1,,1,,2,,2,3,2,1,FALSE,FALSE,FALSE,FALSE
1,36403,8120,6,6,2015Q3,2,3,3,3,3,2,2,3,3,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
2,10870,6000,6,6,2015Q3,1,2,1,2,1,3,2,2,2,2,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
1,36417,8120,8,8,2015Q3,2,3,3,2,2,3,3,2,2,2,2,2,3,3,2,FALSE,FALSE,FALSE,FALSE
5,36769,7070,8,8,2015Q3,2,2,2,2,2,1,2,3,2,2,2,1,2,3,3,FALSE,FALSE,FALSE,FALSE
5,36765,8150,4,4,2015Q3,2,2,2,3,2,3,2,3,2,2,2,2,1,3,2,FALSE,FALSE,FALSE,FALSE
6,36759,8140,2,2,2015Q3,2,2,3,2,3,2,2,2,3,2,2,1,3,3,2,FALSE,FALSE,FALSE,FALSE
6,37006,8120,3,3,2015Q3,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
1,10864,6010,5,5,2015Q3,1,1,1,1,1,2,2,1,1,2,2,2,1,3,2,FALSE,FALSE,FALSE,FALSE
6,36939,7010,7,7,2015Q3,1,2,1,2,1,2,2,2,1,2,1,1,2,2,2,FALSE,FALSE,FALSE,FALSE
3,36528,8150,5,5,2015Q3,2,3,1,3,1,3,1,3,1,3,2,1,3,3,1,FALSE,FALSE,FALSE,FALSE
5,10339,6000,2,2,2015Q3,2,3,3,3,3,2,2,3,3,3,2,1,3,3,2,FALSE,FALSE,FALSE,FALSE
6,36918,8150,5,5,2015Q3,2,3,3,2,2,2,2,3,3,3,3,2,2,3,2,FALSE,FALSE,FALSE,FALSE
6,37012,8040,8,8,2015Q3,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,FALSE,FALSE,FALSE,FALSE
1,36664,7120,6,6,2015Q3,1,1,2,1,1,1,2,2,2,3,2,3,1,3,3,FALSE,FALSE,FALSE,FALSE
6,37019,8140,4,4,2015Q3,2,3,3,3,3,2,3,3,3,2,2,1,2,3,1,FALSE,FALSE,FALSE,FALSE
6,36473,8150,7,7,2015Q3,,2,2,2,2,3,3,3,3,3,3,2,1,3,3,FALSE,FALSE,FALSE,FALSE
6,36886,8140,5,5,2015Q3,1,2,2,2,2,2,2,2,2,2,3,2,3,3,3,FALSE,FALSE,FALSE,FALSE
6,36669,8090,9,9,2015Q3,1,2,1,2,1,3,2,2,2,2,2,1,2,2,1,FALSE,FALSE,FALSE,FALSE
6,36503,8150,8,8,2015Q3,2,3,3,3,3,2,3,3,3,3,3,1,3,3,1,FALSE,FALSE,FALSE,FALSE
6,36919,8090,5,5,2015Q3,1,2,2,1,1,1,1,1,1,1,1,2,2,3,3,FALSE,FALSE,FALSE,FALSE
6,36960,8120,5,5,2015Q3,2,3,2,3,2,2,2,3,2,2,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
3,36698,8120,3,3,2015Q3,1,2,2,2,2,2,2,3,3,1,1,3,2,3,2,FALSE,FALSE,FALSE,FALSE
6,36752,8180,6,6,2015Q3,1,1,,2,2,2,2,2,2,2,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
2,36880,8150,5,5,2015Q3,2,3,3,3,3,2,3,3,3,3,3,1,3,3,2,FALSE,FALSE,FALSE,FALSE
6,10421,8010,5,5,2015Q3,2,2,3,3,2,3,2,3,2,2,2,3,3,3,1,FALSE,FALSE,FALSE,FALSE
5,14742,8210,5,5,2015Q3,2,3,2,3,3,2,2,3,3,2,2,2,3,3,2,FALSE,FALSE,FALSE,FALSE
5,98216,7020,5,5,2015Q3,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,FALSE,FALSE,FALSE,FALSE
6,36504,8120,3,3,2015Q3,1,2,2,2,2,2,2,3,3,1,1,3,2,3,3,FALSE,FALSE,FALSE,FALSE
2,36863,8000,5,5,2015Q3,2,2,3,3,3,2,2,3,3,3,3,1,3,3,1,FALSE,FALSE,FALSE,FALSE
6,36682,8140,9,9,2015Q3,2,3,3,3,2,3,3,3,3,2,2,1,2,3,1,FALSE,FALSE,FALSE,FALSE
2,10490,6000,5,5,2015Q3,2,2,2,3,2,2,2,3,3,2,2,1,3,3,2,FALSE,FALSE,FALSE,FALSE
4,15345,7020,9,9,2015Q3,1,1,1,1,1,2,2,1,1,3,2,3,2,3,3,FALSE,FALSE,FALSE,FALSE
5,36534,8150,7,7,2015Q3,2,3,3,3,3,2,2,3,3,3,3,1,3,3,2,FALSE,FALSE,FALSE,FALSE
6,14722,8210,6,6,2015Q3,1,1,1,1,1,3,2,1,1,2,2,2,2,3,3,FALSE,FALSE,FALSE,FALSE
6,36411,8040,7,7,2015Q3,2,1,2,1,2,2,2,3,2,3,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
6,98057,7010,5,5,2015Q3,2,2,2,3,2,3,3,3,3,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
6,36982,8090,3,3,2015Q3,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
6,37101,8000,8,8,2015Q3,1,2,3,2,2,2,3,2,2,2,2,2,1,2,1,FALSE,FALSE,FALSE,FALSE
6,36932,8090,6,6,2015Q3,2,3,3,3,3,2,,3,3,3,3,1,2,2,2,FALSE,FALSE,FALSE,FALSE
5,36885,8150,3,3,2015Q3,2,2,2,1,2,2,2,2,2,3,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
2,15458,7020,4,4,2015Q3,1,3,3,3,2,2,2,3,3,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
6,36864,8090,2,2,2015Q3,2,2,,2,,2,,2,,2,,1,3,2,2,FALSE,FALSE,FALSE,FALSE
6,36521,7120,3,3,2015Q3,2,3,3,3,3,2,2,3,3,2,2,2,3,3,2,FALSE,FALSE,FALSE,FALSE
1,36475,8010,9,9,2015Q3,1,2,3,2,3,2,2,2,2,2,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
6,36496,9000,5,5,2015Q3,,3,3,3,3,2,2,3,3,3,3,1,3,3,1,FALSE,FALSE,FALSE,FALSE
3,36478,8150,5,5,2015Q3,2,3,2,3,2,2,2,3,2,3,2,2,3,3,2,FALSE,FALSE,FALSE,FALSE
6,37054,8160,2,2,2015Q3,2,2,2,2,2,2,2,2,2,1,2,2,3,3,2,FALSE,FALSE,FALSE,FALSE
2,36581,8120,4,4,2015Q3,1,,,2,2,2,2,2,2,2,2,3,3,3,3,FALSE,FALSE,FALSE,FALSE
6,15466,8010,3,3,2015Q3,2,3,3,2,3,2,3,3,3,2,3,2,3,3,3,FALSE,FALSE,FALSE,FALSE
1,36442,8000,3,3,2015Q3,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,FALSE,FALSE,FALSE,FALSE
2,15398,8030,5,5,2015Q3,2,1,1,2,2,3,3,2,2,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
6,36931,8000,6,6,2015Q3,2,3,3,3,3,3,2,3,3,2,2,1,3,3,1,FALSE,FALSE,FALSE,FALSE
1,15451,7020,6,6,2015Q3,1,1,2,1,3,1,2,1,3,1,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
1,10326,6010,2,2,2015Q3,2,3,2,3,2,2,2,3,2,3,2,2,2,1,1,FALSE,FALSE,FALSE,FALSE
4,12309,6000,7,7,2015Q3,2,3,2,3,1,2,2,3,1,1,1,1,2,3,2,FALSE,FALSE,FALSE,FALSE
1,36401,8120,6,6,2015Q3,1,1,1,1,1,1,2,1,1,1,1,2,2,3,2,FALSE,FALSE,FALSE,FALSE
1,15360,6010,6,6,2015Q3,1,1,1,1,1,3,2,3,2,1,2,1,1,1,3,FALSE,FALSE,FALSE,FALSE
5,14737,8210,5,5,2015Q3,1,2,2,2,2,2,2,3,2,2,2,3,3,3,1,FALSE,FALSE,FALSE,FALSE
2,36565,8150,2,2,2015Q3,2,,,3,3,2,2,3,3,2,2,1,3,3,1,FALSE,FALSE,FALSE,FALSE
6,15453,7020,9,9,2015Q3,2,1,3,1,3,2,2,2,3,2,2,3,3,2,1,FALSE,FALSE,FALSE,FALSE
6,36636,7020,5,5,2015Q3,2,,2,3,2,2,2,3,3,2,2,1,2,1,1,FALSE,FALSE,FALSE,FALSE
6,14715,8210,6,6,2015Q3,2,3,1,3,1,2,2,3,1,2,2,1,3,3,3,FALSE,FALSE,FALSE,FALSE
6,10884,6010,6,6,2015Q3,2,3,3,3,3,2,3,3,3,1,1,1,3,3,1,FALSE,FALSE,FALSE,FALSE
4,15384,8010,8,8,2015Q3,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
6,36576,8120,3,3,2015Q3,,2,2,2,2,2,2,3,3,2,2,3,3,3,3,FALSE,FALSE,FALSE,FALSE
1,36728,6000,5,5,2015Q3,2,3,2,3,2,3,2,3,3,3,2,1,2,3,2,FALSE,FALSE,FALSE,FALSE
6,36715,8090,6,6,2015Q3,2,3,3,3,3,3,3,3,3,3,3,1,2,3,1,FALSE,FALSE,FALSE,FALSE
6,36987,8120,5,5,2015Q3,2,2,2,1,2,2,2,3,3,1,1,2,1,3,2,FALSE,FALSE,FALSE,FALSE
6,14734,8190,5,5,2015Q3,2,3,3,3,3,2,2,3,3,3,3,1,3,3,1,FALSE,FALSE,FALSE,FALSE
1,36588,8130,3,3,2015Q3,1,2,2,2,2,2,2,3,2,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
6,37072,8150,5,5,2015Q3,2,3,3,3,3,3,3,3,3,3,3,1,2,3,1,FALSE,FALSE,FALSE,FALSE
6,15387,8030,9,9,2015Q3,2,3,1,3,1,3,2,3,1,3,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
1,15513,7100,4,4,2015Q3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
1,15514,8150,9,9,2015Q3,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,FALSE,FALSE,FALSE,FALSE
6,15515,8180,1,1,2015Q3,2,2,1,2,1,2,1,3,1,3,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE
1,15516,7060,5,5,2015Q3,1,2,1,1,1,1,2,1,1,2,2,2,2,3,3,FALSE,FALSE,FALSE,FALSE
6,15517,8090,6,6,2015Q3,2,3,3,1,2,2,,1,2,1,2,2,3,3,2,FALSE,FALSE,FALSE,FALSE
1,15518,7080,2,2,2015Q3,1,2,3,1,2,2,2,2,2,2,2,1,3,3,1,FALSE,FALSE,FALSE,FALSE
1,15519,7080,3,3,2015Q3,2,3,3,3,3,3,3,3,3,2,2,1,2,3,1,FALSE,FALSE,FALSE,FALSE
6,15520,7060,9,9,2015Q3,,2,2,1,2,2,2,2,2,3,2,1,3,3,1,FALSE,FALSE,FALSE,FALSE
1,15521,7060,9,9,2015Q3,1,2,2,1,1,2,1,2,2,3,3,2,2,3,3,FALSE,FALSE,FALSE,FALSE
1,15522,8000,7,7,2015Q3,2,3,3,2,2,3,3,3,3,2,2,1,2,3,1,FALSE,FALSE,FALSE,FALSE
1,15523,7090,9,9,2015Q3,,1,2,1,2,1,2,1,2,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
5,15524,8180,6,6,2015Q3,,2,2,2,2,3,3,3,3,3,3,2,3,3,2,FALSE,FALSE,FALSE,FALSE
6,15525,8180,9,9,2015Q3,2,3,3,1,1,1,1,3,3,3,3,2,2,3,3,FALSE,FALSE,FALSE,FALSE
1,15526,7090,9,9,2015Q3,1,1,2,1,2,1,2,2,2,2,2,2,3,3,3,FALSE,FALSE,FALSE,FALSE
