"";"Datum";"factorn";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"191";1996-09-30;0,00422025;0;0;0;NA;0
"20";1996-12-31;0,00500177777777778;0;0;0;NA;0
"211";1997-03-31;0,004634;-1;-1;0;NA;-1
"221";1997-06-30;0,00482314285714286;0;1;0;NA;1
"271";1998-09-30;0,0090032;0;0;1;NA;1
"28";1998-12-31;0,0090032;0;1;-1;NA;0
"291";1999-03-31;0,0067524;0;-1;0;NA;0
"30";1999-06-30;0,00587165217391304;0;0;0;NA;0
"311";1999-09-30;0,0090032;0;0;0;NA;0
"451";2003-03-31;0,00356178571428571;0;-1;0;NA;-1
"461";2003-06-30;0,0115073076923077;0;0;0;NA;0
"114";1992-03-31;0,00169292307692308;2;2;0;NA;2
"251";1998-03-31;0,00464957746478873;0;-2;1;NA;-2
"281";1998-12-31;0,00326851485148515;0;0;0;NA;0
"36";2000-12-31;0,00302992307692308;1;1;0;NA;1
"115";1992-03-31;0,00169292307692308;-1;-1;-1;NA;-1
"48";1992-12-31;0,00147375;0;1;0;NA;1
"76";1993-09-30;0,00185460674157303;1;0;0;NA;0
"49";1992-12-31;0,000421071428571429;0;1;1;NA;1
"116";1992-03-31;0,00120923076923077;0;0;0;NA;0
"210";1992-06-30;0,00116732673267327;0;0;0;NA;NA
"310";1992-09-30;0,00159324324324324;0;-2;-1;NA;NA
"410";1992-12-31;0,00105267857142857;0;0;0;NA;0
"511";1993-03-31;0,00101637931034483;0;0;0;NA;0
"84";1993-12-31;0,00122176165803109;0;1;0;NA;0
"95";1994-03-31;0,00201538461538462;-1;-2;0;NA;-2
"117";1994-09-30;0,00198151260504202;2;2;2;NA;NA
"124";1994-12-31;0,00168428571428571;-1;1;0;NA;-1
"134";1995-03-31;0,00194876033057851;-1;2;-1;NA;0
"145";1995-06-30;0,00151153846153846;-1;0;-1;NA;-1
"154";1995-09-30;0,00168428571428571;1;0;1;NA;0
"184";1996-06-30;0,00198151260504202;0;-2;0;NA;0
"192";1996-09-30;0,000457864077669903;0;-1;1;NA;-1
"201";1996-12-31;0,0009432;0;2;-1;NA;2
"212";1997-03-31;0,000424864864864865;1;0;0;NA;0
"222";1997-06-30;0,000857454545454545;-1;-2;0;NA;-2
"252";1998-03-31;0,00132845070422535;0;0;0;NA;-1
"261";1998-06-30;0,00105977528089888;0;-1;0;NA;0
"272";1998-09-30;0,00145107692307692;0;0;0;NA;0
"282";1998-12-31;0,000933861386138614;0;0;1;NA;1
"292";1999-03-31;0,00107181818181818;0;-2;-1;NA;-2
"301";1999-06-30;0,00145107692307692;0;2;0;NA;1
"312";1999-09-30;0,00168428571428571;-1;0;0;NA;0
"341";2000-06-30;0,00120923076923077;-1;-2;0;NA;-1
"361";2000-12-31;0,00100340425531915;0;0;-1;NA;0
"37";2001-03-31;0,00217363888888889;1;0;1;NA;2
"38";2001-06-30;0,00150482692307692;-1;-2;-1;NA;-2
"391";2001-09-30;0,00211489189189189;0;0;-1;NA;0
"40";2001-12-31;0,00211489189189189;0;0;1;NA;0
"411";2002-03-31;0,00134915517241379;0;0;0;NA;0
"421";2002-06-30;0,00355686363636364;0;2;-1;NA;0
"431";2002-09-30;0,00289818518518519;0;-2;1;NA;-2
"441";2002-12-31;0,00181979069767442;0;0;-1;NA;0
"452";2003-03-31;0,00289818518518519;0;0;0;NA;0
"462";2003-06-30;0,00313004;0;-2;-1;NA;0
"471";2003-09-30;0,001956275;1;0;2;NA;2
"481";2003-12-31;0,00260836666666667;-1;-2;0;NA;0
"491";2004-03-31;0,00237124242424242;1;0;0;NA;1
"50";2004-06-30;0,00300965384615385;-1;0;0;NA;0
"512";2004-09-30;0,004603;0;0;-1;NA;0
"521";2004-12-31;0,00521673333333333;1;0;0;NA;1
"531";2005-03-31;0,00539027272727273;-1;0;0;NA;0
"541";2005-06-30;0,00329405555555556;0;0;1;NA;0
"571";2006-03-31;0,00282347619047619;1;0;-2;NA;0
"581";2006-06-30;0,00257795652173913;0;0;1;NA;0
"591";2006-09-30;0,00348782352941176;0;0;0;NA;0
"601";2006-12-31;0,00247054166666667;0;1;-2;NA;1
"611";2007-03-31;0,004561;0;0;-1;NA;0
"621";2007-06-30;0,007411625;0;0;-1;NA;0
"63";2007-09-30;0,00312068421052632;0;0;1;NA;0
"64";2007-12-31;0,00296465;0;0;0;NA;0
"65";2008-03-31;0,00658811111111111;0;0;0;NA;0
"66";2008-06-30;0,00156034210526316;0;0;0;NA;0
"69";2009-03-31;0,00164702777777778;0;0;0;NA;0
"70";2009-06-30;0,00160251351351351;0;0;0;NA;0
"721";2009-12-31;0,00282347619047619;2;2;0;NA;2
"731";2010-03-31;0,00274419230769231;0;0;-1;NA;0
"741";2010-06-30;0,00356745;0;0;1;NA;0
"751";2010-09-30;0,00375521052631579;0;0;-1;NA;0
"761";2010-12-31;0,001783725;-1;0;1;NA;0
"77";2011-03-31;0,00264255555555556;1;0;0;NA;0
"78";2011-06-30;0,002972875;0;0;1;NA;0
"79";2011-09-30;0,0020985;-2;0;-2;NA;0
"80";2011-12-31;0,00246031034482759;0;-2;0;NA;0
"811";2012-03-31;0,0023783;0;0;2;NA;0
"821";2012-06-30;0,00264255555555556;0;0;-2;NA;0
"831";2012-09-30;0,00174021951219512;0;0;0;NA;0
"86";2013-06-30;0,00396854545454545;2;0;2;NA;0
"87";2013-09-30;0,00256788235294118;-1;0;-2;NA;0
"88";2013-12-31;0,00396854545454545;0;0;1;NA;0
"911";2014-09-30;0,00485044444444444;-2;0;1;NA;0
"93";2015-03-31;0,00513576470588235;0;0;0;NA;0
"94";2015-06-30;0,00194017777777778;1;0;2;NA;0
"213";1992-06-30;0,00070039603960396;1;2;0;NA;2
"313";1992-09-30;0,000955945945945946;0;-1;0;NA;-1
"412";1992-12-31;0,000631607142857143;0;0;0;NA;0
"103";1994-06-30;0,00115024390243902;-1;-1;0;NA;-1
"118";1994-09-30;0,00118890756302521;0;-1;0;NA;-1
"314";1999-09-30;0,00252642857142857;0;-1;-1;NA;-1
"392";2001-09-30;0,00634467567567568;1;0;0;NA;0
"422";2002-06-30;0,0106705909090909;1;0;0;NA;0
"432";2002-09-30;0,00869455555555555;0;0;0;NA;0
"423";2002-06-30;0,000767155555555555;-1;-1;1;NA;-1
"119";1992-03-31;0,00145107692307692;0;-1;0;NA;-1
"96";1994-03-31;0,00241846153846154;-1;-1;-1;NA;-1
"104";1994-06-30;0,00230048780487805;1;0;0;NA;0
"1110";1994-09-30;0,00237781512605042;0;0;-1;NA;0
"125";1994-12-31;0,00202114285714286;0;0;1;NA;0
"135";1995-03-31;0,00233851239669421;0;0;0;NA;NA
"163";1995-12-31;0,00174666666666667;-1;0;-1;NA;0
"202";1996-12-31;0,0014148;NA;-1;0;NA;-1
"253";1998-03-31;0,00199267605633803;0;-2;0;NA;-2
"283";1998-12-31;0,00140079207920792;0;-1;0;NA;-1
"293";1999-03-31;0,00160772727272727;0;-1;-1;NA;-1
"302";1999-06-30;0,00217661538461538;0;-1;1;NA;0
"120";1992-03-31;0,00145107692307692;2;1;2;NA;2
"214";1992-06-30;0,00140079207920792;-1;-1;-1;NA;0
"315";1992-09-30;0,00191189189189189;0;-1;0;NA;0
"413";1992-12-31;0,00126321428571429;2;2;0;NA;2
"513";1993-03-31;0,00121965517241379;-2;-2;0;NA;-2
"67";1993-06-30;0,00184941176470588;2;0;1;NA;0
"710";1993-09-30;0,00158966292134831;-2;-2;-2;NA;-2
"126";1994-12-31;0,00202114285714286;0;0;0;NA;0
"136";1995-03-31;0,00233851239669421;-2;-1;-2;NA;-1
"146";1995-06-30;0,00181384615384615;-2;-2;-1;NA;-2
"155";1995-09-30;0,00202114285714286;-2;-2;-1;NA;-2
"164";1995-12-31;0,00174666666666667;-1;0;-2;NA;0
"176";1996-03-31;0,00252642857142857;0;0;0;NA;0
"185";1996-06-30;0,00237781512605042;-1;-1;-1;NA;-1
"193";1996-09-30;0,00183145631067961;0;0;0;NA;0
"711";1993-09-30;0,00185460674157303;1;0;-1;NA;0
"105";1994-06-30;0,00115024390243902;0;0;0;NA;0
"127";1992-03-31;0,00145107692307692;-1;0;-1;NA;0
"215";1992-06-30;0,00140079207920792;1;0;0;NA;0
"316";1992-09-30;0,00191189189189189;0;1;0;NA;1
"414";1992-12-31;0,00126321428571429;-1;0;0;NA;-1
"147";1995-06-30;0,00181384615384615;1;1;1;NA;1
"156";1995-09-30;0,00202114285714286;0;0;0;NA;0
"165";1995-12-31;0,00174666666666667;0;0;-1;NA;0
"68";1993-06-30;0,00246588235294118;-1;-1;1;NA;-1
"128";1992-03-31;0,00193476923076923;-1;-1;-1;NA;-1
"216";1992-06-30;0,00186772277227723;-1;-1;0;NA;0
"317";1992-09-30;0,00254918918918919;0;0;0;NA;0
"415";1992-12-31;0,00168428571428571;-2;-2;0;NA;-2
"610";1993-06-30;0,00246588235294118;0;0;0;NA;0
"1111";1994-09-30;0,00317042016806723;0;NA;0;NA;NA
"129";1994-12-31;0,00269485714285714;-2;NA;0;NA;NA
"137";1995-03-31;0,00311801652892562;0;-1;0;NA;NA
"148";1995-06-30;0,00241846153846154;2;0;0;NA;NA
"157";1995-09-30;0,00269485714285714;0;0;0;NA;0
"217";1997-03-31;0,00339891891891892;1;0;-1;NA;NA
"223";1997-06-30;0,00342981818181818;0;0;1;NA;0
"130";1992-03-31;0,000241846153846154;-2;-1;-1;NA;-1
"218";1992-06-30;0,000233465346534653;0;-1;0;NA;-1
"514";1993-03-31;0,000203275862068966;0;0;0;NA;0
"612";1993-06-30;0,000308235294117647;0;0;-1;NA;0
"138";1992-03-31;0,00145107692307692;1;2;0;NA;2
"318";1992-09-30;0,00191189189189189;0;-1;0;NA;-1
"416";1992-12-31;0,00126321428571429;-1;-2;0;NA;NA
"515";1993-03-31;0,00121965517241379;0;1;0;NA;NA
"613";1993-06-30;0,00184941176470588;-1;-2;0;NA;-2
"319";1992-09-30;0,00159324324324324;-1;0;0;NA;NA
"417";1992-12-31;0,00105267857142857;0;-1;0;NA;NA
"516";1993-03-31;0,00101637931034483;1;1;0;NA;1
"614";1993-06-30;0,00154117647058824;-1;-1;0;NA;-1
"712";1993-09-30;0,0013247191011236;1;0;0;NA;0
"85";1993-12-31;0,00122176165803109;-1;-1;0;NA;-1
"97";1994-03-31;0,00201538461538462;1;0;0;NA;0
"106";1994-06-30;0,00191707317073171;0;1;0;NA;1
"1112";1994-09-30;0,00198151260504202;1;1;0;NA;1
"1210";1994-12-31;0,00168428571428571;0;0;0;NA;0
"139";1995-03-31;0,00194876033057851;1;1;0;NA;1
"149";1995-06-30;0,00151153846153846;-1;0;0;NA;-1
"158";1995-09-30;0,00168428571428571;1;0;0;NA;0
"166";1995-12-31;0,00145555555555556;-1;-1;0;NA;-1
"194";1996-09-30;0,00228932038834951;0;0;0;NA;0
"203";1996-12-31;0,002358;-2;-1;1;NA;-1
"219";1997-03-31;0,00212432432432432;1;2;-1;NA;1
"224";1997-06-30;0,00214363636363636;-1;-2;1;NA;-1
"254";1998-03-31;0,00332112676056338;-1;-1;0;NA;0
"262";1998-06-30;0,00264943820224719;-1;-1;0;NA;-1
"273";1998-09-30;0,00362769230769231;0;0;0;NA;0
"284";1998-12-31;0,00233465346534653;0;0;-1;NA;1
"294";1999-03-31;0,00267954545454545;0;-2;1;NA;-1
"303";1999-06-30;0,00362769230769231;1;2;0;NA;2
"3110";1999-09-30;0,00421071428571429;0;0;1;NA;-1
"342";2000-06-30;0,00604615384615385;-1;-1;0;NA;-1
"351";2000-09-30;0,00736875;1;1;1;NA;1
"362";2000-12-31;0,00501702127659574;-1;-1;-1;NA;NA
"371";2001-03-31;0,0108681944444444;1;-1;1;NA;NA
"381";2001-06-30;0,00752413461538462;-1;0;1;NA;0
"393";2001-09-30;0,0105744594594595;-1;-1;0;NA;-1
"401";2001-12-31;0,0105744594594595;1;-1;0;NA;-1
"418";2002-03-31;0,00156918181818182;1;2;0;NA;2
"424";2002-06-30;0,00191788888888889;0;0;0;NA;NA
"433";2002-09-30;0,00156918181818182;-2;-2;0;NA;NA
"442";2002-12-31;0,00176132653061225;1;2;0;NA;2
"453";2003-03-31;0,00205488095238095;0;-1;0;NA;-1
"463";2003-06-30;0,00221294871794872;0;0;0;NA;0
"472";2003-09-30;0,00156918181818182;0;0;0;NA;0
"482";2003-12-31;0,00156918181818182;1;1;1;NA;1
"492";2004-03-31;0,00261530303030303;1;1;1;NA;1
"501";2004-06-30;0,00221294871794872;0;0;0;NA;0
"522";2004-12-31;0,00200709302325581;-1;-1;0;NA;-1
"532";2005-03-31;0,00120026315789474;1;1;1;NA;1
"542";2005-06-30;0,0010606976744186;-1;-1;-1;NA;0
"572";2006-03-31;0,00130314285714286;0;1;0;NA;1
"582";2006-06-30;0,00168925925925926;0;-1;-1;NA;-1
"592";2006-09-30;0,00134147058823529;0;1;1;NA;1
"419";1992-12-31;0,000631607142857143;1;1;0;NA;1
"517";1993-03-31;0,000609827586206897;-2;-2;-2;NA;-2
"89";1993-12-31;0,000733056994818653;0;0;0;NA;0
"140";1992-03-31;0,00217661538461538;0;0;0;NA;0
"220";1992-06-30;0,00210118811881188;0;-2;0;NA;-1
"320";1992-09-30;0,00286783783783784;-1;0;0;NA;-1
"420";1992-12-31;0,00189482142857143;1;1;1;NA;1
"713";1993-09-30;0,00238449438202247;0;0;NA;NA;0
"1310";1995-03-31;0,00233851239669421;-1;-1;0;NA;-1
"1410";1995-06-30;0,00181384615384615;0;0;0;NA;0
"150";1992-03-31;0,000967384615384615;0;0;0;NA;0
"225";1992-06-30;0,000933861386138614;0;0;0;NA;0
"321";1992-09-30;0,00127459459459459;0;0;0;NA;0
"425";1992-12-31;0,000842142857142857;0;0;0;NA;0
"518";1993-03-31;0,000813103448275862;0;0;0;NA;0
"615";1993-06-30;0,00123294117647059;NA;0;0;NA;0
"714";1993-09-30;0,00105977528089888;0;0;0;NA;0
"107";1994-06-30;0,00153365853658537;0;0;0;NA;0
"1113";1994-09-30;0,00158521008403361;0;0;0;NA;0
"1211";1994-12-31;0,00134742857142857;0;0;0;NA;0
"1311";1995-03-31;0,00155900826446281;0;0;0;NA;0
"1411";1995-06-30;0,00120923076923077;0;0;0;NA;0
"159";1995-09-30;0,00134742857142857;0;0;0;NA;0
"167";1995-12-31;0,00116444444444444;0;0;0;NA;0
"195";1996-09-30;0,00183145631067961;0;0;0;NA;0
"204";1996-12-31;0,0018864;0;0;0;NA;0
"2110";1997-03-31;0,000424864864864865;0;0;0;NA;0
"226";1997-06-30;0,00171490909090909;0;0;0;NA;0
"255";1998-03-31;0,0026569014084507;0;0;0;NA;1
"263";1998-06-30;0,00211955056179775;0;0;NA;NA;-1
"274";1998-09-30;0,00290215384615385;0;0;0;NA;0
"285";1998-12-31;0,00186772277227723;0;0;0;NA;0
"295";1999-03-31;0,00214363636363636;0;0;0;NA;0
"304";1999-06-30;0,00290215384615385;0;0;0;NA;0
"343";2000-06-30;0,0005627;0;0;0;NA;0
"352";2000-09-30;0,000535904761904762;0;0;0;NA;0
"363";2000-12-31;0,000432846153846154;0;0;0;NA;0
"372";2001-03-31;0,000233256756756757;0;0;0;NA;0
"382";2001-06-30;0,00086305;0;0;0;NA;0
"394";2001-09-30;0,000507676470588235;0;0;0;NA;0
"402";2001-12-31;0,000719208333333333;0;0;0;NA;0
"4110";2002-03-31;0,000313836363636364;0;0;0;NA;0
"426";2002-06-30;0,000383577777777778;0;0;0;NA;0
"434";2002-09-30;0,000313836363636364;0;0;0;NA;0
"443";2002-12-31;0,000352265306122449;0;0;0;NA;0
"454";2003-03-31;0,00041097619047619;0;0;0;NA;0
"464";2003-06-30;0,000442589743589744;0;0;0;NA;0
"493";2004-03-31;0,000523060606060606;0;0;0;NA;1
"502";2004-06-30;0,000442589743589744;-1;0;0;NA;-1
"519";2004-09-30;0,000454236842105263;0;0;-1;NA;0
"523";2004-12-31;0,000401418604651163;0;0;0;NA;0
"573";2006-03-31;0,000260628571428571;0;0;0;NA;0
"583";2006-06-30;0,000337851851851852;0;0;0;NA;0
"593";2006-09-30;0,000268294117647059;0;0;0;NA;0
"602";2006-12-31;0,000202711111111111;0;0;1;NA;1
"616";2007-03-31;0,000276424242424242;-1;0;-1;NA;-1
"622";2007-06-30;0,000325785714285714;0;0;0;NA;0
"631";2007-09-30;0,000268294117647059;0;0;0;NA;0
"641";2007-12-31;0,000240052631578947;0;0;0;NA;0
"651";2008-03-31;0,000246540540540541;0;0;0;NA;0
"661";2008-06-30;0,000337851851851852;0;0;1;NA;0
"691";2009-03-31;0,000325785714285714;0;0;0;NA;0
"701";2009-06-30;0,000350846153846154;0;0;0;NA;0
"715";2009-09-30;0,000294258064516129;0;0;NA;NA;NA
"722";2009-12-31;0,000350846153846154;0;0;0;NA;0
"732";2010-03-31;0,00158421052631579;0;0;0;NA;0
"742";2010-06-30;0,00130869565217391;0;0;0;NA;0
"752";2010-09-30;0,00188125;0;0;0;NA;0
"762";2010-12-31;0,000716666666666667;0;0;0;NA;NA
"832";2012-09-30;0,000716666666666667;0;0;0;NA;0
"841";2012-12-31;0,000970967741935484;0;0;0;NA;0
"871";2013-09-30;0,000665681818181818;0;0;0;NA;0
"891";2014-03-31;0,000665681818181818;0;0;0;NA;1
"160";1992-03-31;0,00217661538461538;1;1;0;NA;1
"427";1992-12-31;0,00189482142857143;-1;0;0;NA;0
"520";1993-03-31;0,00182948275862069;1;0;0;NA;0
"617";1993-06-30;0,00277411764705882;0;-1;0;NA;-1
"716";1993-09-30;0,00238449438202247;0;1;0;NA;1
"810";1993-12-31;0,00219917098445596;-1;-1;0;NA;NA
"98";1994-03-31;0,00362769230769231;-1;-1;0;NA;-1
"108";1994-06-30;0,00345073170731707;-1;0;0;NA;0
"1312";1995-03-31;0,00350776859504132;0;0;0;NA;0
"1412";1995-06-30;0,00272076923076923;0;0;0;NA;0
"1510";1995-09-30;0,00303171428571429;0;0;0;NA;0
"168";1995-12-31;0,00262;NA;0;0;NA;0
"177";1996-03-31;0,00378964285714286;0;0;0;NA;0
"186";1996-06-30;0,00356672268907563;0;-1;0;NA;-1
"256";1998-03-31;0,00531380281690141;0;-1;0;NA;-1
"264";1998-06-30;0,00423910112359551;0;0;0;NA;0
"275";1998-09-30;0,00580430769230769;0;2;0;NA;2
"3111";1999-09-30;0,00673714285714286;1;0;0;NA;0
"353";2000-09-30;0,0042872380952381;0;-1;0;NA;-1
"364";2000-12-31;0,00346276923076923;0;2;0;NA;2
"395";2001-09-30;0,00406141176470588;0;0;0;NA;0
"403";2001-12-31;0,00575366666666667;0;0;0;NA;0
"435";2002-09-30;0,00251069090909091;-1;0;0;NA;0
"444";2002-12-31;0,00281812244897959;0;-1;0;NA;-1
"455";2003-03-31;0,00328780952380952;-1;-1;0;NA;-1
"465";2003-06-30;0,00354071794871795;1;2;0;NA;2
"473";2003-09-30;0,00251069090909091;-1;1;0;NA;1
"483";2003-12-31;0,00251069090909091;1;0;1;NA;0
"494";2004-03-31;0,00418448484848485;-1;1;-1;NA;1
"503";2004-06-30;0,00354071794871795;1;1;0;NA;1
"5110";2004-09-30;0,00363389473684211;0;-1;0;NA;-1
"524";2004-12-31;0,0032113488372093;0;-1;0;NA;-1
"533";2005-03-31;0,00192042105263158;-1;1;0;NA;1
"543";2005-06-30;0,00169711627906977;0;0;0;NA;0
"574";2006-03-31;0,00208502857142857;0;1;0;NA;1
"584";2006-06-30;0,00270281481481481;0;0;0;NA;0
"594";2006-09-30;0,00214635294117647;0;-1;0;NA;-1
"603";2006-12-31;0,00162168888888889;0;2;0;NA;2
"618";2007-03-31;0,00221139393939394;1;1;0;NA;1
"623";2007-06-30;0,00260628571428571;0;1;0;NA;1
"632";2007-09-30;0,00214635294117647;-1;0;0;NA;0
"642";2007-12-31;0,00192042105263158;1;0;0;NA;0
"671";2008-09-30;0,00162168888888889;-1;-1;0;NA;-1
"681";2008-12-31;0,00405422222222222;0;-1;0;NA;-1
"692";2009-03-31;0,00260628571428571;0;0;-1;NA;0
"702";2009-06-30;0,00280676923076923;0;0;1;NA;0
"717";2009-09-30;0,00235406451612903;1;2;0;NA;2
"723";2009-12-31;0,00280676923076923;-1;-2;0;NA;-2
"733";2010-03-31;0,0126736842105263;2;1;0;NA;2
"743";2010-06-30;0,0104695652173913;-1;0;0;NA;0
"227";1992-06-30;0,00070039603960396;0;-2;1;NA;0
"322";1992-09-30;0,000955945945945946;0;0;-1;NA;0
"428";1992-12-31;0,000631607142857143;-1;0;0;NA;0
"169";1992-03-31;0,000725538461538461;0;0;0;NA;0
"1511";1995-09-30;0,00101057142857143;0;0;0;NA;0
"1610";1995-12-31;0,000873333333333333;0;0;0;NA;0
"276";1998-09-30;0,00145107692307692;0;0;0;NA;0
"286";1998-12-31;0,000933861386138614;0;0;0;NA;0
"296";1999-03-31;0,00107181818181818;0;0;0;NA;0
"396";2001-09-30;0,00101535294117647;0;0;0;NA;0
"484";2003-12-31;0,000627672727272727;1;0;0;NA;0
"495";2004-03-31;0,00104612121212121;-2;-2;-2;NA;-2
"525";2004-12-31;0,000802837209302326;NA;0;0;NA;0
"534";2005-03-31;0,000480105263157895;NA;0;1;NA;0
"544";2005-06-30;0,000424279069767442;0;0;-1;NA;0
"575";2006-03-31;0,000521257142857143;0;0;1;NA;0
"585";2006-06-30;0,000675703703703704;0;0;0;NA;0
"595";2006-09-30;0,000536588235294118;0;0;0;NA;0
"744";2010-06-30;0,00261739130434783;1;1;0;NA;1
"753";2010-09-30;0,0037625;-1;-1;0;NA;-1
"791";2011-09-30;0,00154358974358974;1;1;1;NA;1
"851";2013-03-31;0,00162722222222222;0;-1;-1;NA;-1
"861";2013-06-30;0,00136232558139535;-1;-1;0;NA;NA
"872";2013-09-30;0,00133136363636364;0;-1;0;NA;-1
"892";2014-03-31;0,00133136363636364;0;0;0;NA;1
"90";2014-06-30;0,0023432;0;0;-1;NA;0
"912";2014-09-30;0,00202;0;0;0;NA;0
"941";2015-06-30;0,00216962962962963;0;0;1;NA;1
"951";2015-09-30;0,00172294117647059;0;1;0;NA;1
"526";1993-03-31;0,00162620689655172;0;1;1;NA;1
"619";1993-06-30;0,00246588235294118;2;1;0;NA;1
