Streek;Idnr;Sektor;Gewig;Faktor;OpnameQ;Q1;Q2A;Q2P;Q3A;Q3P;Q4A;Q4P;Q5;Q6;Q7A;Q7P;Q8A;Q8P;Q9;Q10;Q11A;Q11P;Q12A;Q12P;Q13A;Q13P;Q14;Latecomer;NewRecruit;WrongClassif;Duplicate
01;10627;3510;8;300;15Q3;2;3;3;3;3;3;3;2;;1;1;;;3;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;15Q3;;;;;;;;;2;3;3;3;3;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;15Q3;;;;;;;;;2;;3;;3;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;15Q3;;;;;;;;;2;3;1;3;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;15Q3;1;;;1;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
08;10637;3510;8;300;15Q3;2;3;2;3;2;3;2;2;2;3;2;2;2;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
06;10640;3510;9;700;15Q3;1;;;2;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
05;10646;3510;9;700;15Q3;;2;3;2;3;2;3;1;;2;3;2;2;1;;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
06;10650;3510;9;700;15Q3;2;3;3;1;2;2;3;1;;3;3;2;3;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
06;10793;3510;9;700;15Q3;;;;;;;;;2;3;2;2;;1;;;;;;;;;FALSE;FALSE;FALSE;FALSE
06;10824;3510;9;700;15Q3;;3;2;3;2;3;2;1;2;3;3;3;3;1;2;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
02;11208;3510;1;1;15Q3;1;2;3;2;2;2;3;1;1;2;2;2;2;1;1;2;1;2;1;1;2;2;FALSE;FALSE;FALSE;FALSE
01;14060;3510;6;70;15Q3;;;;;;;;;;;;;;;;3;;3;;2;;2;FALSE;FALSE;FALSE;FALSE
01;14071;3510;9;700;15Q3;;3;3;3;3;3;3;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;FALSE;FALSE;FALSE;FALSE
04;14082;3510;5;30;15Q3;;3;3;3;3;;;2;2;3;3;3;3;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
06;14086;3510;9;700;15Q3;2;3;3;3;3;3;3;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
06;14089;3510;9;700;15Q3;2;3;2;3;2;3;3;2;2;3;2;2;2;1;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
06;14094;3510;8;300;15Q3;2;2;3;2;2;3;3;1;1;2;3;2;2;2;1;2;3;2;2;2;3;2;FALSE;FALSE;FALSE;FALSE
06;14095;3510;8;300;15Q3;;2;1;2;1;2;1;2;2;2;1;2;1;3;1;2;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;14113;3510;8;300;15Q3;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
06;14595;3510;8;300;15Q3;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
06;14623;3510;5;30;15Q3;;;;;;;;;;;;;;;2;3;3;3;2;3;2;2;FALSE;FALSE;FALSE;FALSE
01;14633;3510;5;30;15Q3;;;;;;;;;;;;;;;2;3;3;3;3;3;3;2;FALSE;FALSE;FALSE;FALSE
06;14765;3510;8;300;15Q3;1;2;2;2;3;2;2;2;;;;;;;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
06;14852;3510;3;7;15Q3;2;;;3;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
02;15313;3510;9;700;15Q3;1;2;;2;;2;;2;1;2;;2;;2;1;1;2;2;2;2;2;2;TRUE;FALSE;FALSE;FALSE
01;15332;3510;8;300;15Q3;2;3;2;3;2;3;2;1;;3;;3;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;15338;3510;8;300;15Q3;1;2;2;2;2;2;2;1;1;2;2;2;2;3;1;2;;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
03;15367;3510;8;300;15Q3;;;;;;;;;2;3;;3;;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
05;15378;3510;9;700;15Q3;2;3;3;3;3;3;3;2;2;3;3;3;3;2;2;3;3;3;3;3;3;1;FALSE;FALSE;FALSE;FALSE
06;15386;3510;8;300;15Q3;2;3;3;3;3;3;3;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;TRUE;FALSE;FALSE;FALSE
05;15407;3510;8;300;15Q3;2;3;2;2;2;3;3;1;2;2;2;3;3;2;1;1;1;1;1;2;2;2;FALSE;FALSE;FALSE;FALSE
08;15463;3510;3;7;15Q3;2;3;2;3;3;2;3;2;2;2;3;2;3;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
05;15500;3510;8;300;15Q3;1;1;2;1;2;1;2;2;1;1;2;1;2;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;36236;3510;8;300;15Q3;1;2;3;2;3;2;3;2;1;2;2;2;2;2;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
02;53282;3510;8;300;15Q3;;;;;;;;;;;;;;;;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
02;53351;3510;2;3;15Q3;2;3;3;3;3;3;3;2;2;3;3;3;3;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
04;53369;3510;3;7;15Q3;2;3;2;3;2;3;2;2;2;3;2;3;2;2;2;3;2;3;2;3;2;2;FALSE;FALSE;FALSE;FALSE
08;53372;3510;9;700;15Q3;2;3;2;3;2;3;3;1;2;1;1;1;1;3;1;2;2;2;2;3;3;2;FALSE;FALSE;FALSE;FALSE
01;96947;3510;1;1;15Q3;;;;;;;;;2;3;2;3;2;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;96952;3510;8;300;15Q3;;;;;;;;;2;2;2;2;2;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
06;96987;3510;9;700;15Q3;2;3;3;3;3;3;3;1;2;3;3;3;3;1;2;3;3;3;3;3;3;1;FALSE;FALSE;FALSE;FALSE
06;97160;3510;9;700;15Q3;2;3;2;3;3;3;3;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;15Q3;1;2;2;2;2;2;2;1;1;2;2;2;2;3;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
05;97245;3510;7;150;15Q3;;;;;;;;;2;3;;3;;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;15Q3;2;;;3;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97351;3510;8;300;15Q3;1;2;3;2;3;2;3;2;1;2;3;2;3;2;1;2;3;2;2;2;3;2;FALSE;FALSE;FALSE;FALSE
02;14093;3510;7;150;14Q4;;3;2;3;2;3;2;2;;3;3;3;3;2;2;3;3;3;3;3;3;2;FALSE;FALSE;FALSE;FALSE
06;14094;3510;8;300;14Q4;2;3;3;3;3;3;3;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;TRUE;FALSE;FALSE;FALSE
06;14096;3510;9;700;14Q4;;2;2;2;2;;;2;1;2;2;2;2;3;1;1;1;1;1;;;2;FALSE;FALSE;FALSE;FALSE
05;14100;3510;9;700;14Q4;2;3;3;2;2;3;2;1;1;2;2;2;2;2;1;2;2;1;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;14113;3510;8;300;14Q4;;;;;;;;;;;;;;;1;1;3;1;2;1;2;1;FALSE;FALSE;FALSE;FALSE
06;14595;3510;8;300;14Q4;;;;;;;;;;;;;;;;2;1;2;1;1;3;2;FALSE;FALSE;FALSE;FALSE
06;14621;3510;8;300;14Q4;;;;;;;;;;;;;;;2;3;;3;3;3;3;3;TRUE;FALSE;FALSE;FALSE
05;14627;3510;5;30;14Q4;;;;;;;;;;;;;;;2;3;3;3;3;3;3;2;FALSE;FALSE;FALSE;FALSE
01;14633;3510;5;30;14Q4;;;;;;;;;;;;;;;1;3;2;3;2;3;2;2;FALSE;FALSE;FALSE;FALSE
06;14852;3510;3;7;14Q4;;;;;;;;;;;;;;;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
06;30084;3510;4;15;14Q4;2;3;1;3;2;3;2;2;2;1;1;2;1;3;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;31101;3510;6;70;14Q4;;;;;;;;;2;3;2;3;2;;;;;;;;;;TRUE;FALSE;FALSE;FALSE
05;33136;3510;8;300;14Q4;2;3;2;3;2;3;2;1;2;3;2;3;2;2;2;3;2;3;2;3;2;2;FALSE;FALSE;FALSE;FALSE
01;36236;3510;8;300;14Q4;2;3;2;3;2;3;2;1;1;2;2;2;2;2;1;1;;1;2;2;2;2;TRUE;FALSE;FALSE;FALSE
04;53350;3510;7;150;14Q4;1;2;2;2;2;2;2;2;2;3;2;3;2;1;1;2;2;2;2;2;2;2;TRUE;FALSE;FALSE;FALSE
02;53351;3510;2;3;14Q4;2;3;2;3;2;3;2;2;2;3;3;3;3;3;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
04;53369;3510;3;7;14Q4;;3;1;3;1;3;1;2;2;3;1;3;1;2;1;2;2;2;2;2;2;2;TRUE;FALSE;FALSE;FALSE
08;53372;3510;9;700;14Q4;;3;3;2;3;3;3;1;2;2;1;2;3;2;2;3;3;2;3;2;2;2;TRUE;FALSE;FALSE;FALSE
01;53392;3510;6;70;14Q4;1;1;1;1;1;1;1;2;;3;2;3;2;3;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
05;53450;3510;8;300;14Q4;2;3;2;3;2;3;2;2;2;2;2;3;2;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
08;53555;3510;9;700;14Q4;1;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;TRUE;FALSE;FALSE;FALSE
08;53650;3510;6;70;14Q4;1;2;1;2;1;2;1;2;1;1;2;1;2;2;1;1;2;1;2;1;2;2;TRUE;FALSE;FALSE;FALSE
01;96937;3510;8;300;14Q4;2;3;2;3;2;;;2;1;1;2;1;2;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;96947;3510;1;1;14Q4;;;;;;;;;2;3;2;3;2;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;96952;3510;8;300;14Q4;;;;;;;;;;3;2;3;3;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;96970;3510;8;300;14Q4;1;2;2;2;2;2;3;1;1;2;1;1;1;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
05;97010;3510;7;150;14Q4;;;;;;;;;2;3;2;3;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97016;3510;8;300;14Q4;;;;;;;;;1;;;1;2;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
06;97160;3510;9;700;14Q4;2;3;2;3;2;3;2;2;1;2;2;2;2;3;1;2;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97177;3510;3;7;14Q4;1;2;2;2;2;2;2;2;1;2;2;2;2;3;1;1;1;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;97243;3510;9;700;14Q4;2;3;2;3;2;3;;2;;3;2;3;2;2;;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
05;97245;3510;7;150;14Q4;;;;;;;;;2;3;2;3;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;97264;3510;8;300;14Q4;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
05;97282;3510;9;700;14Q4;;2;2;;;1;3;1;2;2;;2;3;1;1;2;2;2;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;97351;3510;8;300;14Q4;1;1;2;1;2;1;2;2;1;1;2;1;2;3;1;2;1;1;1;1;1;2;TRUE;FALSE;FALSE;FALSE
06;37435;3510;6;70;05Q3;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10624;3510;8;300;07Q3;2;3;;3;;3;;2;1;2;;2;;1;1;2;;2;;3;;2;FALSE;TRUE;FALSE;FALSE
01;10624;3510;8;300;10Q4;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;10626;3510;8;300;07Q3;1;1;1;1;1;1;1;2;2;3;;3;3;1;1;2;2;2;2;2;2;2;FALSE;TRUE;FALSE;FALSE
01;10627;3510;8;300;07Q3;1;2;2;2;1;2;2;1;2;3;3;3;3;2;2;3;2;3;3;3;3;1;FALSE;TRUE;FALSE;FALSE
01;10627;3510;8;300;08Q1;2;3;3;3;3;2;3;2;2;3;3;3;3;2;1;2;2;2;2;2;2;1;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;08Q2;2;3;3;3;3;3;3;1;2;3;3;3;3;2;1;3;2;3;2;3;1;1;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;08Q3;2;3;3;3;3;3;3;2;2;3;3;3;3;3;1;2;2;2;2;3;2;1;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;08Q4;2;3;3;3;3;3;3;1;2;3;3;3;3;2;1;3;3;3;3;3;3;1;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;09Q1;2;3;3;2;3;3;3;2;2;3;3;3;3;2;1;1;1;1;1;3;2;1;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;09Q2;2;3;1;3;1;3;2;2;2;3;1;3;1;2;1;3;1;2;2;2;2;1;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;09Q3;2;3;3;3;3;3;3;2;2;3;3;3;3;2;1;2;2;3;2;3;2;1;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;09Q4;2;2;1;2;1;3;2;2;2;3;1;3;1;3;1;2;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;10Q1;2;2;1;1;1;;;2;2;1;1;2;1;3;2;3;2;3;2;3;2;2;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;10Q2;2;3;2;3;3;;;2;2;3;3;3;3;2;2;3;2;3;1;;;2;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;10Q3;2;3;1;2;1;3;1;2;2;3;1;3;1;2;2;3;1;3;1;3;1;1;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;10Q4;2;1;1;1;1;1;1;2;2;3;1;2;1;2;2;3;2;3;2;3;2;1;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;11Q1;2;1;1;2;1;2;1;2;1;1;1;1;1;3;2;2;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;11Q4;1;2;1;1;1;2;2;2;2;3;3;3;3;3;1;2;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;12Q1;1;1;1;1;1;2;1;2;2;3;1;3;1;3;1;2;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;10627;3510;8;300;12Q4;1;2;3;2;3;2;3;1;2;3;3;3;2;2;1;2;1;1;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;07Q3;;;;;;;;;1;2;2;3;3;1;;;;;;;;;FALSE;TRUE;FALSE;FALSE
01;10628;3510;8;300;07Q4;;;;;;;;;1;1;;1;;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;08Q2;;;;;;;;;1;1;1;1;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;08Q3;;;;;;;;;1;2;;1;;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;10Q1;1;;;;;;;;1;1;1;1;1;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;10Q2;;;;;;;;;1;1;2;1;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;10Q3;;;;;;;;;1;2;2;2;2;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;10Q4;;;;;;;;;1;2;;2;;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;11Q1;;;;;;;;;1;2;;2;;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;11Q2;;;;;;;;;1;3;3;3;;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;11Q3;1;;;;;;;;1;2;;1;;1;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;11Q4;;;;;;;;;1;1;3;1;3;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;12Q1;;;;;;;;;1;2;2;2;2;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;12Q2;;;;;;;;;1;2;2;2;2;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;12Q3;;;;;;;;;1;2;;2;;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10628;3510;8;300;12Q4;;;;;;;;;1;2;;2;;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;7;150;07Q3;2;3;3;3;3;;;1;2;3;3;3;3;1;2;3;3;3;3;3;3;2;FALSE;TRUE;FALSE;FALSE
01;10629;3510;7;150;07Q4;;;;;;;;;2;3;3;3;3;1;2;3;3;3;3;3;3;1;FALSE;FALSE;FALSE;FALSE
01;10629;3510;7;150;08Q1;2;3;3;3;3;3;3;1;2;3;3;3;3;1;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;7;150;08Q2;;;;;;;;;2;3;2;3;3;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;08Q3;2;3;1;2;1;2;2;1;2;2;1;2;1;1;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;08Q4;2;3;2;3;3;3;3;1;2;3;2;3;3;1;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;09Q1;2;2;;2;;3;;1;2;2;;2;;1;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;09Q2;;;;;;;;;1;2;1;2;1;;2;3;2;2;1;2;1;3;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;10Q1;;;;;;;;;1;1;1;1;1;3;1;;;;;;;3;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;10Q2;;;;;;;;;1;2;2;1;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;10Q3;1;2;1;2;1;;;;1;2;1;2;1;1;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;10Q4;2;3;2;3;3;3;3;1;2;3;3;2;3;1;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;11Q1;;;;;;;;;2;3;1;3;2;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;11Q2;;;;;;;;;1;1;;2;;1;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;11Q3;2;3;2;3;2;3;3;2;2;3;2;3;3;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;11Q4;;;;;;;;;2;3;2;3;2;1;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;12Q1;2;2;1;2;1;3;2;;2;2;1;2;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10629;3510;8;300;12Q3;;;;;;;;;2;3;1;;;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;07Q3;;;;;;;;;2;3;3;;;2;;;;;;;;;FALSE;TRUE;FALSE;FALSE
01;10630;3510;5;30;07Q4;;;;;;;;;2;3;3;3;3;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;08Q1;;;;;;;;;2;3;2;3;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;08Q2;;;;;;;;;2;2;2;1;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;08Q3;;;;;;;;;2;1;2;1;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;09Q1;;;;;;;;;2;3;2;3;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;09Q4;;;;;;;;;2;2;2;2;2;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;10Q1;1;;;;;;;;1;1;;1;;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;10Q2;;;;;;;;;2;1;;1;;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;10Q3;;;;;;;;;1;1;1;1;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;10Q4;;;;;;;;;2;2;2;2;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;11Q1;;;;;;;;;1;1;;1;;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;11Q2;;;;;;;;;2;2;2;2;2;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;11Q4;;;;;;;;;2;3;3;3;3;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;12Q1;;;;;;;;;2;3;1;3;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;12Q2;;;;;;;;;1;2;;2;;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10630;3510;5;30;12Q3;;;;;;;;;2;2;1;2;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;07Q3;;;;;;;;;1;1;2;1;2;2;;;;;;;;;FALSE;TRUE;FALSE;FALSE
01;10631;3510;8;300;07Q4;;;;;;;;;2;3;1;3;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;08Q4;;;;;;;;;2;3;;3;;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;09Q1;;;;;;;;;2;3;1;3;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;09Q2;;;;;;;;;2;3;;3;1;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;09Q3;;;;;;;;;2;1;1;1;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;10Q1;1;;;;;;;;1;1;1;1;1;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;10Q2;;;;;;;;;2;1;1;1;;3;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;10Q3;;;;;;;;;2;2;1;3;1;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;10Q4;2;2;;;;;;;2;2;1;2;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;11Q1;;;;;;;;;2;1;1;1;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;11Q2;;;;;;;;;2;3;;3;;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;11Q3;;;;;;;;;2;3;3;3;3;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;12Q1;;;;;;;;;2;1;1;1;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;12Q2;;;;;;;;;1;1;1;1;1;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10631;3510;8;300;12Q3;;;;;;;;;2;3;2;3;2;2;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10632;3510;8;300;07Q3;2;;;;;;;;2;3;;3;;2;;;;;;;;;FALSE;TRUE;FALSE;FALSE
01;10633;3510;8;300;07Q3;;;;;;;;;1;3;1;3;2;1;;;;;;;;;FALSE;TRUE;FALSE;FALSE
01;10633;3510;8;300;07Q4;;;;;;;;;2;3;;3;;1;;;;;;;;;FALSE;FALSE;FALSE;FALSE
01;10634;3510;8;300;07Q3;1;3;3;3;3;3;3;2;2;3;3;3;3;2;2;2;3;2;3;2;3;2;FALSE;TRUE;FALSE;FALSE
01;10635;3510;8;300;07Q3;1;2;3;3;3;3;3;3;2;3;1;2;1;2;1;1;1;1;1;1;1;2;FALSE;TRUE;FALSE;FALSE
01;10635;3510;8;300;09Q4;2;3;2;2;2;2;2;3;2;1;2;2;2;3;1;3;2;3;2;2;2;2;FALSE;FALSE;FALSE;FALSE
01;10635;3510;8;300;10Q1;2;1;1;2;2;1;1;2;2;3;3;3;1;;1;1;2;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;10635;3510;8;300;11Q3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;3;3;3;3;2;FALSE;FALSE;FALSE;FALSE
01;10635;3510;8;300;11Q4;1;1;2;1;2;1;2;1;1;1;2;1;2;3;2;3;3;3;3;3;3;3;FALSE;FALSE;FALSE;FALSE
01;10635;3510;8;300;12Q2;2;3;1;3;1;3;1;1;1;1;1;1;1;2;2;3;3;3;3;3;2;1;FALSE;FALSE;FALSE;FALSE
01;10643;3510;8;300;07Q3;1;3;2;3;2;3;2;2;2;3;;3;;2;1;2;2;1;2;1;2;2;FALSE;TRUE;FALSE;FALSE
01;10645;3510;9;700;07Q3;2;3;3;3;3;3;3;1;2;3;3;3;3;1;1;1;1;1;1;1;1;2;FALSE;TRUE;FALSE;FALSE
01;10645;3510;9;700;08Q3;2;3;3;3;3;3;3;1;2;3;3;3;3;2;1;2;1;2;1;2;1;2;FALSE;FALSE;FALSE;FALSE
01;10645;3510;9;700;10Q1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;10645;3510;9;700;10Q3;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;10645;3510;9;700;10Q4;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;10645;3510;9;700;11Q1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;10645;3510;9;700;11Q2;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;10645;3510;9;700;11Q3;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;10645;3510;9;700;11Q4;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
01;10645;3510;9;700;12Q2;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
