"";"Date";"w.Conf_cc.T";"w.Act_prod.T";"w.Conf_prod.T";"w.Act_GBC.T";"w.Conf_GBC.T";"w.Empl.T";"w.Uncert_fl.prod.T";"w.Uncert_fl.GBC.T";"w.Uncert_ee.prod.T";"w.Uncert_ee.GBC.T"
"30";"1999Q3";-0,504766803985478;-0,0869803416048985;-0,0353817593524957;-0,394850789688931;-0,104449960390811;-0,21438707703812;0,843823726859833;0,833253397863357;0,846387682233145;1,04575095908645
"31";"1999Q4";-0,256375191054622;0,22482059109541;0,260112081842312;-0,056860881643395;0,114448362820634;-0,181675271785853;0,799823287911444;0,845631122524807;1,08233825071319;1,23704827218733
"32";"2000Q1";-0,201276070402377;0,160984105669709;0,378937459149928;-0,013007899135793;0,258900052140613;-0,27172631868985;0,741918474785284;0,779137142922187;0,963532040232137;0,848799754787994
"33";"2000Q2";-0,339643361099731;-0,0534803427061281;0,159336517518901;-0,306208031503005;-0,0113860014870322;-0,0837192357282526;0,758225362479974;0,748748537073881;1,31901912572875;1,04727851790812
"34";"2000Q3";-0,296563291347387;-0,0059388353581902;0,077832833532179;-0,288925118982922;-0,0339610626208382;-0,108058782715067;0,778455170777778;0,827219183076273;0,972516557150577;0,795182252387776
"35";"2000Q4";-0,494263005821976;0,0788590604026846;-0,183029625799466;-0,393810394135443;-0,368048192209548;-0,205270782673795;0,754037998172984;0,698889624481284;0,963744604300498;0,838457158084245
"36";"2001Q1";-0,590304132896905;-0,152716144404385;-0,0907974823627058;-0,400587245239198;-0,0435330696970142;-0,28850166752228;0,815013389850025;0,752567287145661;1,0211180791447;0,840302474657136
"37";"2001Q2";-0,16802069004042;-0,12155290889667;-0,0979880742581056;-0,206214602554978;-0,107591449971091;-0,275171073014533;0,755000452962512;0,703714070874777;0,929374009714387;0,957914569857805
"38";"2001Q3";-0,434835952319238;-0,0916492355930833;0,128876955223538;-0,346421656017601;0,00647051614804435;-0,34311928224764;0,713439311400259;0,697117719583509;0,874921006212606;0,94168593410746
"39";"2001Q4";0,00639860836113003;0,000608916876205797;0,0224241713424024;-0,147835303682232;0,00128323136979343;-0,200518365063036;0,749555918369391;0,761479153437468;1,29467767281715;1,33342024958103
"40";"2002Q1";0,294120506463762;0,200390221616288;0,167704656901107;-0,0966146561285547;0,120480852085436;-0,367430665566401;0,636152885683732;0,678474065793395;1,22496681328577;1,02797218538119
"41";"2002Q2";0,599856303337824;0,386784155425624;0,243099687990822;0,317259399246865;0,150938014952263;-0,262984488657088;0,681763518416633;0,630296942015803;0,972660743603175;1,17723003186174
"42";"2002Q3";0,576664080394876;0,529764959210399;0,395357568120235;0,356105791665178;0,181426997393434;-0,133848826951596;0,734877382791725;0,719222903840295;1,10753288696961;0,95846078389227
"43";"2002Q4";0,621130231108118;0,405590507523208;0,186604366930025;0,224572891722898;0,249465228187479;-0,0680310746424626;0,671383069950509;0,658513659674784;1,37119200901772;1,27967937724644
"44";"2003Q1";0,165414270047323;0,256334857400611;0,346794836623474;-0,0403092264239214;0,0820536084859328;-0,0440850325875698;0,770718215314133;0,702685972771652;1,16364882381969;1,16861512441142
"45";"2003Q2";0,224182184476885;0,139624508886191;0,0556290886210715;-0,142690152303378;0,00566004750518931;0,0612390237874211;0,779596777329853;0,806219149423097;1,08542411418034;0,796274613167551
"46";"2003Q3";0,134022003864529;0,117654537445964;0,336893821425141;-0,0894495287299518;0,200049038138505;-0,0858751314210708;0,685231913211212;0,725776837997968;0,854556619427862;0,969882635493875
"47";"2003Q4";0,279281176790704;0,00363080254209406;0,16621732137268;-0,16126849785996;0,189457284196119;-0,107302924496529;0,759466498351203;0,783632437139913;0,955099133217618;0,837814142175585
"48";"2004Q1";0,276324617011598;0,0395252635337253;0,0339569982951208;-0,00139399207857921;0,085504408666941;0,0505394282963266;0,82159554691688;0,700820069063623;1,2148819129647;1,08293711161424
"49";"2004Q2";0,542320093255569;0,146076975655237;0,26800332216881;0,182202854811128;0,291899976220473;-0,132489523524293;0,644830944741081;0,662141995865839;0,912689300088581;0,877572245695619
"50";"2004Q3";0,675499413361722;0,122269388439176;0,457429501511291;0,147767635833944;0,433678707607742;-0,0656507344611852;0,649331664471186;0,593531742170581;0,626274239038684;0,812006246047273
"51";"2004Q4";0,796560371034312;0,369446514123386;0,245712230488787;0,380766675358132;0,293423156578056;0,0549679193411502;0,693905617478116;0,729475824754276;1,00514652596566;0,967836791846304
"52";"2005Q1";0,525650067644224;0,261207388921432;0,335788127768344;0,108352308207918;0,342653099454931;0,103358958285368;0,760104962167099;0,702413789052545;0,992427003397097;0,780410358720061
