Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
6,13823,2230,2,3.690919579,15Q3,2,2,3,3,3,3,3,3,3,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,13847,2120,1,0.903953341,15Q3,2,,,3,2,3,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
3,13850,2120,2,2.358087509,15Q3,2,3,3,3,3,3,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13851,2220,3,7.93083166,15Q2,2,3,2,1,1,1,1,2,2,2,2,3,2,3,1,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,13949,2130,2,2.153036421,15Q3,1,3,3,2,3,2,3,2,2,1,1,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
3,13975,2220,2,5.433853824,15Q3,1,3,3,2,3,2,3,2,2,1,1,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13984,2220,3,7.93083166,15Q3,2,2,2,2,2,2,2,3,3,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14007,2210,3,2.394213331,15Q3,1,3,2,2,2,2,2,1,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14022,2120,2,2.358087509,15Q3,1,2,2,1,1,1,1,2,2,1,2,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14241,2220,3,7.93083166,15Q3,1,2,2,1,1,2,1,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14262,2210,2,1.640408702,15Q3,2,2,,2,3,2,3,2,2,3,1,3,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14264,2220,1,2.083022916,15Q3,2,3,1,3,2,3,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14273,2230,1,1.41488349,15Q3,1,3,1,1,1,2,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14295,2110,2,5.228802736,15Q2,1,3,2,3,3,3,3,1,2,1,1,3,3,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,14642,2220,2,5.433853824,15Q3,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14653,2130,2,2.153036421,15Q3,2,3,3,2,2,2,2,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14654,2110,2,5.228802736,15Q3,2,3,3,2,3,3,3,2,3,1,1,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14655,2220,2,5.433853824,15Q2,2,3,3,3,3,2,2,3,2,2,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
2,14657,2130,1,0.825348702,15Q3,2,2,2,1,3,1,3,3,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14661,2110,2,5.228802736,15Q3,1,2,,1,,1,,2,,1,,1,,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14663,2110,2,5.228802736,15Q3,2,3,3,3,3,3,3,2,2,1,3,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14665,2210,1,0.628837107,15Q3,1,2,1,2,1,2,1,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14667,2110,2,5.228802736,15Q3,2,3,3,3,3,3,3,3,3,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14708,2130,2,2.153036421,15Q3,1,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,14712,2110,2,5.228802736,15Q3,1,2,,2,,2,,2,,1,,1,,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14766,2110,2,5.228802736,15Q3,1,2,2,2,2,2,2,2,2,1,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14022,2120,2,2.358087509,14Q4,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14241,2220,3,7.93083166,14Q4,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14273,2230,1,1.41488349,14Q4,1,2,1,3,1,2,2,1,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14700,2110,2,5.228802736,14Q4,1,1,2,1,2,2,3,2,2,2,1,2,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13963,2210,2,1.640408702,14Q4,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
