Date,Total_Q1,Total_Q2A,Total_Q3A,Total_Q4A,Total_Q5A,Total_Q6A,Total_Q7,Total_Q8,Total_Q9,Total_Q10,Total_N,Accom_Q1,Accom_Q2A,Accom_Q3A,Accom_Q4A,Accom_Q5A,Accom_Q6A,Accom_Q7,Accom_Q8,Accom_Q9,Accom_Q10,Accom_N,Trans_Q1,Trans_Q2A,Trans_Q3A,Trans_Q4A,Trans_Q5A,Trans_Q6A,Trans_Q7,Trans_Q8,Trans_Q9,Trans_Q10,Trans_N,RE_Q1,RE_Q2A,RE_Q3A,RE_Q4A,RE_Q5A,RE_Q6A,RE_Q7,RE_Q8,RE_Q9,RE_Q10,RE_N,BS_Q1,BS_Q2A,BS_Q3A,BS_Q4A,BS_Q5A,BS_Q6A,BS_Q7,BS_Q8,BS_Q9,BS_Q10,BS_N,PS_Q1,PS_Q2A,PS_Q3A,PS_Q4A,PS_Q5A,PS_Q6A,PS_Q7,PS_Q8,PS_Q9,PS_Q10,PS_N,GP_Q1,GP_Q2A,GP_Q3A,GP_Q4A,GP_Q5A,GP_Q6A,GP_Q7,GP_Q8,GP_Q9,GP_Q10,GP_N,WC_Q1,WC_Q2A,WC_Q3A,WC_Q4A,WC_Q5A,WC_Q6A,WC_Q7,WC_Q8,WC_Q9,WC_Q10,WC_N,KZN_Q1,KZN_Q2A,KZN_Q3A,KZN_Q4A,KZN_Q5A,KZN_Q6A,KZN_Q7,KZN_Q8,KZN_Q9,KZN_Q10,KZN_N,,
2007/12/31,81,-9,21,12,1,27,30,28,15,27,361,84,-39,49,18,39,63,29,25,19,29,62,88,-15,27,17,20,22,36,33,22,31,34,64,18,-8,-9,-32,-9,40,21,13,30,35,86,0,21,15,-3,16,24,33,11,23,143,74,-14,20,12,-5,33,38,23,18,34,35,85,-1,23,14,5,22,29,32,14,26,166,80,-23,25,13,3,41,29,26,17,26,90,78,-21,17,11,-5,31,30,28,19,29,56,,
2008/03/31,64,30,-6,4,-19,23,31,30,15,26,280,73,24,-9,10,-3,66,40,22,16,25,33,70,22,6,15,10,28,41,31,23,31,33,43,50,-36,-15,-67,-22,46,28,19,33,28,67,25,0,5,-15,16,23,35,10,22,138,53,70,-29,-12,-56,5,47,12,16,33,17,60,35,-10,-1,-15,18,31,30,12,26,146,71,36,-4,17,-19,37,32,28,20,27,59,72,20,3,17,-19,21,30,33,23,25,40,,
2008/06/30,61,37,-10,2,-32,22,36,27,15,30,324,72,26,-3,7,-9,44,42,18,18,30,42,58,33,-8,3,-28,35,43,34,26,38,41,32,55,-47,-21,-70,-46,50,16,18,44,38,67,39,-4,11,-27,23,28,33,11,25,153,55,45,-5,-10,-42,50,43,17,5,23,20,59,35,-6,4,-29,21,37,31,16,30,153,62,39,-13,-2,-37,21,36,26,12,26,75,63,41,-17,0,-31,16,36,22,19,31,47,,
2008/09/30,59,14,-19,-1,-38,9,70,59,53,66,292,62,-15,3,-6,-6,34,81,33,33,66,32,67,10,13,8,-24,36,86,70,62,67,30,32,45,-56,-23,-71,-41,88,46,34,90,40,69,17,-12,10,-30,12,57,71,28,58,148,50,19,-53,-13,-67,34,94,40,33,87,16,64,19,-21,-4,-35,5,72,64,33,66,139,49,0,-26,-2,-42,13,74,52,35,64,69,54,28,-10,11,-35,5,63,55,47,62,40,,
2008/12/31,55,40,-28,-11,-42,14,78,55,30,70,286,50,22,-53,-15,-59,17,81,44,41,59,32,54,49,-40,-20,-56,26,97,62,53,81,36,42,48,-32,-26,-61,-41,86,44,29,84,38,62,38,-17,0,-26,18,67,68,24,62,138,47,27,-60,-14,-66,29,93,36,21,100,15,60,44,-26,-11,-42,14,76,58,30,74,136,43,36,-32,-9,-34,0,79,57,32,66,69,60,31,-26,-12,-51,24,83,51,44,63,43,,
2009/03/31,53,46,-33,-16,-52,-4,80,47,27,68,280,46,71,-49,-23,-67,3,100,19,38,74,29,38,69,-59,-47,-65,3,95,50,42,74,39,32,38,-53,-37,-71,-58,85,50,33,82,40,65,37,-15,3,-40,-1,68,56,18,60,137,50,42,-25,-18,-66,-9,100,33,17,75,12,53,43,-25,-15,-46,-3,82,51,25,68,138,44,49,-33,-15,-55,-13,76,43,31,66,63,67,55,-39,-19,-53,0,87,50,32,61,46,,
2009/06/30,45,32,-45,-19,-54,-16,83,46,24,67,283,48,40,-67,-34,-71,-21,96,39,29,80,27,36,30,-53,-27,-69,-13,95,40,28,59,45,31,50,-67,-42,-68,-65,82,46,19,85,42,56,22,-31,-7,-41,-7,76,54,20,60,140,18,36,-82,0,-73,22,100,36,45,82,11,45,32,-48,-20,-54,-19,85,52,20,72,144,40,34,-40,-21,-51,-12,83,32,27,66,65,52,40,-44,-24,-66,-25,90,41,30,59,44,,
2009/09/30,49,3,-34,-19,-50,-7,83,38,24,62,264,44,23,-44,-35,-68,-12,91,25,28,56,33,36,0,-61,-61,-72,-17,97,42,33,64,36,37,-5,-44,-26,-53,-42,87,27,19,84,38,56,-3,-25,-3,-37,0,75,46,19,55,129,38,30,-31,-31,-69,-15,100,38,54,69,13,53,6,-33,-19,-44,-8,76,43,25,60,113,44,3,-31,-15,-55,-11,86,30,25,66,80,58,6,-25,-36,-35,-3,86,40,32,50,36,,
2009/12/31,49,9,-31,-16,-40,-7,64,24,14,47,307,38,-3,-55,-29,-60,0,74,12,9,48,35,36,12,-62,-40,-65,-14,83,27,21,45,44,35,0,-21,-19,-44,-44,64,13,17,64,38,57,10,-20,-9,-29,-3,54,29,11,41,160,45,18,-27,9,-27,18,91,22,22,78,11,52,7,-31,-15,-40,-6,63,26,13,46,155,40,11,-19,-13,-43,-15,61,17,16,40,69,59,13,-21,-20,-24,-2,70,26,22,55,42,,
2010/03/31,,,-6,-3,-17,2,,,,,,39,24,-46,-24,-61,12,73,21,10,48,34,40,53,-24,-28,-36,-2,70,17,22,47,47,42,36,-17,-20,-40,-8,61,16,18,59,36,53,11,-17,-8,-34,-3,56,31,11,42,133,,,-9,18,-9,27,,,,,,49,21,-18,-10,-37,-2,61,28,16,49,144,51,24,-26,-21,-33,-3,61,17,14,43,68,48,34,-21,-14,-36,3,65,27,24,41,42,,
