"";"Date";"w.Conf_cc.M";"w.Conf_fl.M";"w.Act_prod.M";"w.Conf_prod.M";"w.Act_GBC.M";"w.Conf_GBC.M";"w.Invest.M";"w.Empl.M";"w.Uncert_fl.M";"w.Uncert_fl.prod.M";"w.Uncert_fl.GBC.M";"w.Uncert_ee.M";"w.Uncert_ee.prod.M";"w.Uncert_ee.GBC.M"
"21";"1997Q1";0,0688479505356206;0,215775152330028;0,320555645486114;0,466953875913815;0,146815388351217;0,153593733463157;0,38091775584835;-0,200479762112201;0,713912263921419;0,649510348855178;0,707984049643896;0,981625984243996;0,912140431358623;0,883075196947354
"22";"1997Q2";-0,244578220022279;-0,174121443252443;0,158375125407656;0,16345683349698;-0,161389139335922;-0,0924109637678792;0,178769215789158;-0,212367979656568;0,693024130975869;0,770634331721704;0,677297850168003;0,947289187944697;1,16573331886859;0,818164572999524
"23";"1997Q3";-0,264409784955519;-0,110000810779191;0,148244720366666;0,141026651351731;-0,163990595740139;-0,190447351283035;0,182208202187328;-0,362297123475485;0,702271166550764;0,735852846733284;0,743568451438503;1,07004253158109;NA;NA
"24";"1997Q4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";"1998Q1";-0,190761420864303;-0,254642466714381;-0,0735152357383872;0,0903582118350005;-0,36242268419162;-0,336573206585518;0,0105582361802969;-0,523068182668772;0,595788273876922;0,685014072301446;0,623094950010607;0,900442668848417;0,815400412086423;0,671521505582653
"26";"1998Q2";-0,62753291997076;-0,212111174738988;-0,23899690880495;0,0143325150809834;-0,53061388014931;-0,459108059516414;0,104845874331423;-0,608552667936562;0,672413673531638;0,821704018790933;0,665217259587456;0,727205118707993;0,705422265201823;0,666133716230438
"27";"1998Q3";-0,772673516807776;-0,410068521711103;-0,221100952024424;-0,143277769065923;-0,73117968145576;-0,67428049347172;-0,00200475439226068;-0,608049502320592;0,740806348843017;0,843266227519652;0,584708919157744;1,13490152845014;1,17087753346348;0,921612001150978
"28";"1998Q4";-0,626969763330342;-0,456628974554953;-0,188646382903197;-0,276209945298304;-0,637188376798303;-0,624097488894497;-0,173456421596722;-0,45656025361635;0,598049395203309;0,775795452628319;0,579468545152442;1,01562350819868;1,00992938684031;0,827631094571061
"29";"1999Q1";-0,694652026955691;-0,250707827553529;-0,316284014772261;-0,103935260109983;-0,743867159049997;-0,611172965290716;-0,0683376161606854;-0,612605331740654;0,75912431097839;0,782453805025104;0,659425707424287;NA;0,948552006338437;0,575161929245903
"30";"1999Q2";-0,689976496446617;0,01415779366066;-0,118294148618416;-0,052189793765879;-0,550302525030021;-0,370305758594045;-0,154058522651969;-0,581168016702391;0,721967872820931;0,819649933709384;0,687326226678032;1,16237885897299;0,866874132167472;0,954595607156418
"31";"1999Q3";-0,43091050625031;0,246966438928276;0,148833122819522;0,249570647979294;-0,17641495585538;-0,01718975407915;-0,0875146195142572;-0,452425582793783;0,725411578965376;0,796198372391211;0,795862572426779;1,21520430754564;1,04154146750884;0,924416914536087
"32";"1999Q4";-0,0625100762953081;0,26893512834311;0,202800490798842;0,244383593140437;0,109759918797206;0,205012751911638;0,0261324999632806;-0,381400351114317;0,648974636861974;0,69542911149666;0,711525026313431;0,998147518235888;NA;NA
"33";"2000Q1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"34";"2000Q2";-0,268196235040298;0,182685177826082;-0,0285660065627004;0,124270305587912;-0,116999496539265;0,0104744534091498;0,0555815021705897;-0,151824802767032;0,736311404506303;0,732607783694027;0,765311721214961;1,01860676338511;0,951142393922339;0,812961852986579
"35";"2000Q3";-0,606091901400783;-0,0783154640657018;-0,157056586856211;0,0346433431001879;-0,310164630796891;-0,260659916939942;-0,0294926871525232;-0,310127377000623;0,659410069832274;0,81269160479563;0,732369325442745;1,04327535880551;0,88933589456972;0,862326168536048
"36";"2000Q4";-0,389307776109202;-0,172122837151763;0,0712778005283005;0,00557260881375394;-0,0769866717206568;-0,156419083198368;-0,0983160535640062;-0,154480636747268;0,759160350214662;0,722313681327653;0,70533016263135;1,35931368319891;1,03534914073342;0,898881807217759
"37";"2001Q1";-0,365574098749372;0,000487233834876438;0,0770612712809773;0,333411827864501;-0,091776073103841;0,0788874329785809;0,0927791038934244;-0,113063902168906;0,732137917587388;0,761476935192267;0,742590074995881;1,04026340272454;0,741622473915808;0,836375946241514
"38";"2001Q2";-0,113691387786277;-0,073746595818744;0,0901332188573611;0,20995582804628;-0,030288979485731;0,0483362278568948;-0,0239599102816609;-0,258340085513768;0,602480004195852;0,790061313348045;0,733120685447609;0,893093451771265;1,06405770549312;0,811816507025638
"39";"2001Q3";-0,0689833687420613;-0,097154432728116;0,12174280713485;0,22170432624897;0,0109175280386872;0,037869865888595;0,0313822872796822;-0,226745651795838;0,669760157067007;0,765898258645685;0,733933719038321;0,962687829074425;0,59927301117895;0,912181148396808
"40";"2001Q4";-0,0706074052202346;-0,0427615370870716;0,286817913125013;0,0842905189003968;-0,0602252202390434;-0,0985007544744625;0,111300047218864;-0,19809634631324;0,731247208901153;0,698475886760207;0,772486995656499;0,957361171185415;0,990127839005278;1,03596349536812
"41";"2002Q1";0,121666124591518;0,148515675774389;0,511484000445981;0,3964078811832;0,0774454854511636;0,0766955259819255;0,187478643325372;-0,123884175027073;0,678616823083824;0,695302942737034;0,759210190176651;1,02510016019545;1,05819436716168;1,05629487420696
"42";"2002Q2";0,37687557915746;0,144755619770245;0,414772522522523;0,226935809191306;0,272744866238544;0,198069295498012;0,111547111596442;-0,0790066872041476;0,626048844535468;0,74057528241894;0,673154008027371;1,15249659832718;0,895052648148986;0,828877074106004
"43";"2002Q3";0,388404317150745;0,1720243127802;0,51734028342986;0,525374305315146;0,310000835292293;0,293163148414337;0,2879373416282;0,0322746576937753;0,671122311776333;0,646018818697543;0,696124280488989;1,08304352152206;0,800668166334032;0,684957127253918
"44";"2002Q4";0,221337486565936;0,137908642652565;0,497277297560725;0,303781467969604;0,306998912086204;0,117755740582312;0,199803337337038;-0,0243945268333479;0,585387897825255;0,694615195027482;0,640561320334348;1,06981678353409;1,03391920871856;0,983918990075669
"45";"2003Q1";0,138564802431538;0,0882203163486364;0,201847997455721;0,253767415246856;-0,0681583594417545;-0,048909479484627;0,282937953717416;-0,104581228998684;0,691586080695415;0,721161397334447;0,650198073793685;0,979773534433279;0,912397984713425;0,881310771992677
"46";"2003Q2";0,00307970844173199;0,176111637073745;-0,0254556218021904;0,0404215362214781;-0,259310517881187;-0,219103338349567;0,0411195982416482;-0,128119677778668;0,734767909627334;0,792136002155607;0,726601039673065;1,07108879528884;0,94518819564942;0,838442682843548
"47";"2003Q3";-0,170372338299568;0,173193364834091;-0,0918389386902408;-0,0567508352297487;-0,311117946935737;-0,190256156923225;0,177294472675067;-0,203758738385987;0,697190605860699;0,781055305933047;0,776043946176207;1,05342024170949;0,915225009356222;0,931732341041712
"48";"2003Q4";-0,0617375452018768;-0,0131581785112639;-0,0583418479584898;-0,128071164726828;-0,251476135018428;-0,295716240499454;0,174898450141525;-0,191105818045425;0,697412876438534;0,724285227144017;0,685454821482923;1,09480430464485;0,887135665302298;1,1398497361879
"49";"2004Q1";0,0970292623224419;0,0224314059613629;0,00438654949846325;0,138014975265789;-0,169281357586937;-0,0620864838590686;0,250237550370628;-0,132109654818572;0,72888860716249;0,788187845323374;0,749520146685298;0,977016195281851;0,945433148364554;0,887464122405635
"50";"2004Q2";0,166096732715703;0,250809582275413;0,0805712388800099;0,167796484661627;0,0855641169973236;0,0946170891496104;0,271581845321541;-0,102140663893836;0,708397742435259;0,784517466948544;0,732216904081537;0,976447581970107;1,02676720492329;0,87195840357598
"51";"2004Q3";0,260674823687162;0,22313159567705;0,251184609005211;0,322369035754329;0,166618451270729;0,241791994989006;0,212161964439072;-0,0588925684848946;0,632311742503151;0,741506185470972;0,743214830386782;0,873452162762592;0,905850025779189;1,00478700371439
"52";"2004Q4";0,332810823473611;0,172357201210595;0,477444185387246;0,337360880481129;0,260334941810957;0,250385728200251;0,275552578700603;0,0766234945056192;0,746057435455806;0,683900109169348;0,717222484614658;NA;0,825880304873655;0,857976297247613
"53";"2005Q1";0,256933953157703;0,0140734203543105;-0,0045578586329179;0,115233147597302;0,0107070767482544;0,0503296213335598;0,25628575432098;-0,110375740532601;0,655636672674675;0,714904398600966;0,677915330995061;0,907873404255565;0,831098945285784;0,813048743753639
