Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5,Q6,Q7A,Q7P,Q8A,Q8P,Q9,Q10,Q11A,Q11P,Q12A,Q12P,Q13A,Q13P,Q14,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
1,53322,3510,3,0.31,02Q3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,1,2,1,2,1,2,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
1,53322,3510,3,0.31,02Q4,1,2,2,3,2,3,2,2,2,3,2,3,2,3,1,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,53322,3510,3,0.31,03Q2,2,3,2,3,2,3,2,2,2,3,2,3,2,3,1,2,2,2,2,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE
1,53322,3510,3,0.31,03Q3,2,2,2,3,2,3,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,53322,3510,3,0.31,03Q4,1,2,1,2,1,2,2,2,1,2,2,2,2,3,1,2,1,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,53322,3510,3,0.3,04Q2,2,3,3,3,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,3,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,53322,3510,3,0.3,04Q3,2,3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,53322,3510,3,0.3,04Q4,1,2,3,2,3,2,2,3,1,2,2,1,2,2,1,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,53371,3510,1,0.05,01Q2,,,,,,,,,1,2,2,2,2,2,1,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
1,53371,3510,1,0.05,01Q3,2,2,,3,,3,,2,2,3,,3,,2,2,3,,3,,3,,2,FALSE,FALSE,FALSE,FALSE,FALSE
