"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"843";2012-12-31;0,7;0;0;-1;0;NA
"861";2013-06-30;0,5;-1;-1;0;-1;NA
"87";2013-09-30;0,5;1;1;0;1;NA
"882";2013-12-31;0,5;-1;-1;0;-1;NA
"892";2014-03-31;0,5;NA;-1;0;-1;NA
"902";2014-06-30;0,5;-1;-2;0;-1;NA
"912";2014-09-30;0,5;NA;0;0;-1;NA
"922";2014-12-31;0,5;1;1;0;2;NA
"542";2005-06-30;0,7;NA;2;0;2;NA
"573";2006-03-31;0,7;NA;-2;0;-1;NA
"583";2006-06-30;0,7;NA;-2;0;-2;NA
"593";2006-09-30;0,7;NA;0;0;0;NA
"665";2008-06-30;0,7;NA;-1;0;0;NA
"675";2008-09-30;0,7;NA;0;0;0;NA
"705";2009-06-30;0,7;NA;1;0;1;NA
"713";2009-09-30;0,7;NA;-1;1;0;NA
"723";2009-12-31;0,7;NA;1;0;1;NA
"735";2010-03-31;0,7;NA;0;1;0;NA
"744";2010-06-30;0,7;NA;1;0;1;NA
"793";2011-09-30;0,7;NA;-1;0;1;NA
"804";2011-12-31;0,7;NA;0;0;-1;NA
"813";2012-03-31;0,7;NA;1;0;0;NA
"822";2012-06-30;0,7;NA;0;0;1;NA
"835";2012-09-30;0,7;NA;-1;-1;0;NA
"844";2012-12-31;0,7;0;0;0;0;NA
"871";2013-09-30;0,7;NA;0;0;0;NA
"932";2015-03-31;0,7;NA;0;0;0;NA
"862";2013-06-30;0,8;2;2;1;1;NA
"923";2014-12-31;0,8;1;1;-1;1;NA
"933";2015-03-31;0,8;0;0;0;0;NA
"714";2009-09-30;0,5;NA;1;0;0;NA
"736";2010-03-31;0,5;NA;-1;0;-1;NA
"764";2010-12-31;0,5;NA;-1;0;-1;NA
"773";2011-03-31;0,5;NA;-1;0;1;NA
"783";2011-06-30;0,5;NA;-1;0;-1;NA
"794";2011-09-30;0,5;NA;0;1;0;NA
"805";2011-12-31;0,5;NA;-1;0;NA;NA
"814";2012-03-31;0,5;NA;0;-1;-1;NA
"823";2012-06-30;0,5;NA;-1;-1;0;NA
"836";2012-09-30;0,5;NA;-1;-1;-1;NA
"845";2012-12-31;0,5;NA;-1;-1;-1;NA
"854";2013-03-31;0,5;NA;0;0;-1;NA
"883";2013-12-31;0,5;NA;2;1;2;NA
"913";2014-09-30;0,5;1;1;0;0;NA
"924";2014-12-31;0,5;NA;-1;NA;NA;NA
"543";2005-06-30;0,8;NA;-1;-2;0;NA
"574";2006-03-31;0,8;NA;0;1;-1;NA
"584";2006-06-30;0,8;NA;1;-1;0;NA
"594";2006-09-30;0,8;NA;-2;-2;-1;NA
"604";2006-12-31;0,8;NA;0;0;0;NA
"724";2009-12-31;0,8;NA;-1;-1;0;NA
"737";2010-03-31;0,8;NA;-2;-2;-2;NA
"745";2010-06-30;0,8;NA;0;0;1;NA
"774";2011-03-31;0,8;NA;0;-1;-1;NA
"806";2011-12-31;0,8;NA;-1;-1;-1;NA
"815";2012-03-31;0,8;NA;-2;-2;0;NA
"824";2012-06-30;0,8;NA;1;0;0;NA
"855";2013-03-31;0,8;-2;-2;-2;0;NA
"884";2013-12-31;0,8;NA;-1;-1;-1;NA
"893";2014-03-31;0,8;-1;-2;-2;-2;NA
"903";2014-06-30;0,8;-2;-2;-2;-1;NA
"934";2015-03-31;0,8;NA;-2;-2;-2;NA
"575";2006-03-31;0,5;NA;0;0;0;NA
"585";2006-06-30;0,5;NA;0;0;0;NA
"676";2008-09-30;0,5;NA;0;0;0;NA
"725";2009-12-31;0,5;NA;1;0;1;NA
"754";2010-09-30;0,5;NA;0;0;-1;NA
"765";2010-12-31;0,5;NA;0;0;1;NA
"795";2011-09-30;0,5;NA;-1;0;-1;NA
"825";2012-06-30;0,5;NA;0;0;-1;NA
"837";2012-09-30;0,5;-1;-1;0;-1;NA
"925";2014-12-31;0,5;-1;-1;0;-1;NA
"935";2015-03-31;0,5;-1;-1;0;-1;NA
"633";2007-09-30;0,9;NA;-1;-1;-1;NA
