,Date,Datum,Obs,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9
28,1999Q1,1999/03/31,271,12.16626676,-81.94803994,-45.59143863,-21.52438169,-16.28515338,-46.55907537,-37.61648809,1.004553545,NA,NA,29.63591784,NA,20.189473,NA,13.03485577
29,1999Q2,1999/06/30,348,16.22600987,-64.75785452,-37.73693404,-22.53425896,-10.50811873,-18.59532245,-6.072923114,-10.28629011,NA,NA,37.36775424,NA,18.52825056,NA,19.299997
30,1999Q3,1999/09/30,397,35.34476562,-13.95372587,17.82834156,13.93599708,20.35485232,-7.348732497,12.1073757,-7.183106587,NA,NA,35.45498246,NA,23.18430419,NA,12.77453988
31,1999Q4,1999/12/31,329,47.23988256,15.6554766,37.26466534,39.22599656,39.70356966,33.10020812,38.48430566,-10.61826399,NA,NA,33.9053864,NA,24.34528535,NA,11.98158942
32,2000Q1,2000/03/31,332,37.83523644,-7.670205604,18.57609702,15.87562132,42.91818346,12.54210784,34.54580755,-15.42210238,NA,NA,46.68339046,NA,40.13305444,NA,22.44977352
33,2000Q2,2000/06/30,288,26.18235843,-40.25990475,-17.74308874,2.476188064,13.23013542,-2.501404726,6.037858047,5.589197776,NA,NA,46.39652548,NA,31.51338804,NA,33.175608
34,2000Q3,2000/09/30,244,30.32282093,-20.99702785,-9.602537194,14.76102684,9.977427947,12.5077583,3.069493451,-7.661158948,NA,NA,62.91711874,NA,41.57063047,NA,24.30236175
35,2000Q4,2000/12/31,266,16.71362336,-51.33998978,-42.41307015,18.10737642,-20.13060855,4.902070197,-31.48123458,-6.987764996,NA,NA,59.23185207,NA,26.88129388,NA,21.31224306
36,2001Q1,2001/03/31,255,22.81109756,-36.03627618,-7.221684894,0.551619841,-2.992082953,-7.410585636,-8.979640754,-21.99867497,NA,NA,54.56748394,NA,40.95579285,NA,30.9051848
37,2001Q2,2001/06/30,253,34.80404295,-23.97544151,-3.200861941,-12.36177301,-5.875014778,-19.29359551,-12.55964169,-22.04844566,-23.03014037,40.95374918,33.36441981,38.00913454,28.87669071,-36.92502613,20.93827951
38,2001Q3,2001/09/30,268,26.59474821,-38.58844638,9.586060067,-15.92218587,12.72527917,-20.13565489,12.45525545,-38.428951,-23.42433197,26.94334907,38.75045623,31.07038921,39.98293044,-35.4104161,18.27393304
39,2001Q4,2001/12/31,247,49.72495444,-18.85342814,5.285333787,5.483213008,12.09300935,-5.753445639,10.44717581,-14.03889445,-14.55343961,39.10898608,34.28416051,15.14863676,23.65968909,-34.22899598,6.997604989
40,2002Q1,2002/03/31,228,49.15628773,-30.47530031,23.71466412,-1.55587261,15.78730491,-13.47174358,11.14075149,-45.19918951,-17.77330747,89.13851374,70.37543459,82.63487592,65.24412867,-35.35890768,23.52175966
41,2002Q2,2002/06/30,223,69.21939864,27.49891849,9.935288753,27.29127595,6.485848398,1.259047717,-1.645897519,-45.14806754,-10.15437067,87.13251193,70.57364009,82.12791363,54.69531291,19.28614955,29.2359966
42,2002Q3,2002/09/30,253,68.75620546,28.01685294,15.52703212,42.66316707,42.96495941,42.24275855,48.76488882,-25.09782622,3.420205935,90.24280521,64.98683369,82.84082187,63.68900187,38.78579267,-1.389761475
43,2002Q4,2002/12/31,203,74.04326235,8.721557068,24.60911975,16.59085442,20.69134991,6.241078149,12.48784766,-16.24318954,-18.458341,83.21092617,59.53954223,66.95807604,44.53511128,15.28889763,4.674109988
44,2003Q1,2003/03/31,218,44.97313992,-13.8861031,1.997905766,16.98355505,32.14212934,8.528412415,20.27365551,-16.51223535,-11.7802867,49.09268241,27.80728148,29.07046678,0.023975859,-25.81517466,18.97925851
45,2003Q2,2003/06/30,287,63.98312236,0.850750234,7.34941039,33.65155049,17.10019335,7.726566603,-3.684095149,12.61628723,2.933366839,40.03962559,21.25556492,29.01752719,1.685175941,-6.255344934,19.22040977
46,2003Q3,2003/09/30,252,60.15285807,-4.881940812,26.46140633,11.51017383,37.28378844,10.65577819,26.93003545,-9.404045063,-2.642865573,6.668090669,-0.497826759,-9.436547659,-19.83229521,-27.72943982,-1.604984944
47,2003Q4,2003/12/31,246,68.10798339,2.206552604,29.28769961,15.45434566,28.62750213,14.29409522,18.78967643,-17.63246595,-5.303389733,-15.75520974,-11.95249365,-24.7421386,-22.06983657,2.632777124,3.548268756
48,2004Q1,2004/03/31,224,64.93269342,14.48312923,13.1966345,16.56746714,2.807829649,10.45555884,13.4339746,4.73059593,-5.738043238,-25.71554812,-8.905436922,-33.65974204,-14.92572123,-4.143080353,12.50234864
49,2004Q2,2004/06/30,237,79.57359839,21.94041821,21.46217926,25.57795667,20.33573368,7.945331403,25.66621911,-22.16779646,-4.584563391,13.84770239,18.48690747,4.591335351,12.32470505,9.875734432,-3.342184169
50,2004Q3,2004/09/30,228,82.26849283,9.717035498,41.33405968,18.82359809,43.5456346,17.23582775,41.78412074,-3.774015616,5.357308861,3.081265256,18.47877975,-1.745944083,3.077189886,0.826823072,5.269731725
51,2004Q4,2004/12/31,203,89.60268769,52.81742216,17.2066145,51.07187211,25.06575441,43.38069312,17.15181581,8.801002149,13.41953708,-5.801627761,14.83530596,-14.96813345,8.011550107,13.08535016,-1.926787601
52,2005Q1,2005/03/31,208,74.73267858,10.8665088,34.12336167,30.34148222,39.34619929,30.82365329,31.92099746,10.53561674,1.59719238,-8.660734364,12.38855669,-14.3531755,9.074273408,-0.218445825,2.045373638
