"";"Date";"Datum";"Sector";"id";"sector";"weight";"factor";"factorn";"Q1";"Q2A";"Q2P";"Q3A";"Q3P";"Q4A";"Q4P";"Q5A";"Q5P";"Q6A";"Q6P";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"54";"2005Q2";2005-06-30;"Services";"36640";"6001";6;0,9;0,00782608695652174;1;1;NA;1;1;0;0;0;1;NA;NA;NA;0;1;0;NA
"60";"2006Q4";2006-12-31;"Services";"36640";"6001";6;0,9;0,00769230769230769;1;-1;NA;1;1;1;1;1;1;NA;NA;NA;0;0;0;NA
"61";"2007Q1";2007-03-31;"Services";"36640";"6001";6;0,9;0,00737704918032787;-1;0;NA;1;1;1;1;1;1;NA;NA;NA;0;0;0;NA
"62";"2007Q2";2007-06-30;"Services";"36640";"6001";6;0,9;0,00927835051546392;1;-1;NA;1;1;1;1;1;1;NA;NA;NA;0;-1;-1;NA
"66";"2008Q2";2008-06-30;"Services";"36640";"6001";6;0,9;0,00412844036697248;-1;0;NA;0;0;0;0;-1;-1;NA;NA;NA;0;-1;0;NA
"69";"2009Q1";2009-03-31;"Services";"36640";"7020";7;1,05;0,00801526717557252;1;1;NA;1;1;0;0;0;0;NA;NA;NA;-2;-1;-1;NA
"70";"2009Q2";2009-06-30;"Services";"36640";"7020";7;1,05;0,0091304347826087;-1;0;NA;-1;0;-1;-1;-1;0;NA;NA;NA;-1;0;-1;NA
"72";"2009Q4";2009-12-31;"Services";"36640";"7020";7;1,05;0,00921052631578947;-1;0;NA;NA;1;NA;0;NA;0;NA;NA;NA;-2;-1;-1;NA
"73";"2010Q1";2010-03-31;"Services";"36640";"7020";7;1,05;0,00853658536585366;-1;1;NA;-1;0;-1;0;-1;-1;NA;NA;NA;1;0;1;NA
"74";"2010Q2";2010-06-30;"Services";"36640";"7020";7;1,05;0,00833333333333333;-1;0;NA;1;1;0;0;0;0;NA;NA;NA;0;0;1;NA
"75";"2010Q3";2010-09-30;"Services";"36640";"7020";7;1,05;0,00853658536585366;-1;0;NA;1;1;0;0;1;1;NA;NA;NA;-1;0;-1;NA
"76";"2010Q4";2010-12-31;"Services";"36640";"7020";7;1,05;0,00867768595041322;-1;0;NA;0;0;0;0;0;0;NA;NA;NA;-1;-1;-1;NA
"77";"2011Q1";2011-03-31;"Services";"36640";"7020";7;1,05;0,00724137931034483;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"80";"2011Q4";2011-12-31;"Services";"36640";"7020";7;1,05;0,0102941176470588;-1;1;NA;-1;1;0;0;0;1;NA;NA;NA;0;0;0;NA
"81";"2012Q1";2012-03-31;"Services";"36640";"7020";7;1,05;0,0138157894736842;1;1;NA;1;1;0;1;1;1;NA;NA;NA;0;-1;0;NA
"82";"2012Q2";2012-06-30;"Services";"36640";"7020";7;1,05;0,00867768595041322;1;1;NA;1;1;0;1;1;1;NA;NA;NA;-2;-2;-2;NA
"63";"2007Q3";2007-09-30;"Services";"36728";"6001";5;0,75;0,00892857142857143;-1;1;NA;-1;0;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
"68";"2008Q4";2008-12-31;"Services";"36728";"6001";5;0,75;0,00443786982248521;-1;1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;2;1;1;NA
"71";"2009Q3";2009-09-30;"Services";"36728";"6001";5;0,75;0,00348837209302326;-1;0;NA;-1;-1;0;0;-1;-1;NA;NA;NA;0;0;0;NA
"721";"2009Q4";2009-12-31;"Services";"36728";"6001";5;0,75;0,00371287128712871;-1;0;NA;-1;-1;0;0;-1;-1;NA;NA;NA;0;-1;0;NA
"731";"2010Q1";2010-03-31;"Services";"36728";"6001";5;0,75;0,00345622119815668;-1;0;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;1;NA
"741";"2010Q2";2010-06-30;"Services";"36728";"6001";5;0,75;0,00373134328358209;-1;-1;NA;-1;-1;-1;-1;0;0;NA;NA;NA;0;0;-1;NA
"751";"2010Q3";2010-09-30;"Services";"36728";"6001";5;0,75;0,00367647058823529;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"761";"2010Q4";2010-12-31;"Services";"36728";"6001";5;0,75;0,00342465753424658;-1;0;NA;-1;0;-1;0;-1;0;NA;NA;NA;-1;-1;-1;NA
"771";"2011Q1";2011-03-31;"Services";"36728";"6001";5;0,75;0,0038265306122449;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"78";"2011Q2";2011-06-30;"Services";"36728";"6001";5;0,75;0,00454545454545455;-1;0;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"79";"2011Q3";2011-09-30;"Services";"36728";"6001";5;0,75;0,00428571428571429;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"801";"2011Q4";2011-12-31;"Services";"36728";"6001";5;0,75;0,00378787878787879;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;1;0;NA
"86";"2013Q2";2013-06-30;"Services";"36728";"6001";5;0,75;0,00503355704697987;-1;-1;-1;-1;0;-1;0;-1;0;NA;NA;0;-1;-1;-1;NA
"601";"2006Q4";2006-12-31;"Services";"36968";"6001";7;1,05;0,00897435897435898;1;1;NA;1;1;1;0;1;1;NA;NA;NA;0;1;0;NA
"64";"2007Q4";2007-12-31;"Services";"36968";"6001";7;1,05;0,00322085889570552;1;1;NA;1;0;1;0;1;0;NA;NA;NA;1;1;1;NA
"65";"2008Q1";2008-03-31;"Services";"36968";"6001";7;1,05;0,00535714285714286;1;0;NA;1;0;1;0;1;0;NA;NA;NA;1;1;1;NA
"661";"2008Q2";2008-06-30;"Services";"36968";"6001";7;1,05;0,00481651376146789;1;0;NA;1;0;1;0;1;0;NA;NA;NA;1;0;1;NA
"691";"2009Q1";2009-03-31;"Services";"36968";"6001";4;0,6;0,00397350993377483;-1;1;NA;0;-1;0;-1;0;-1;NA;NA;NA;1;0;0;NA
"701";"2009Q2";2009-06-30;"Services";"36968";"6001";4;0,6;0,00384615384615385;1;0;NA;0;0;-1;0;-1;0;NA;NA;NA;-1;0;-1;NA
"711";"2009Q3";2009-09-30;"Services";"36968";"6001";4;0,6;0,0027906976744186;-1;0;NA;-1;-1;0;0;-1;-1;NA;NA;NA;0;-1;0;NA
"722";"2009Q4";2009-12-31;"Services";"36968";"6001";4;0,6;0,00297029702970297;-1;0;NA;-1;-1;-1;0;-1;-1;NA;NA;NA;0;0;0;NA
"541";"2005Q2";2005-06-30;"Services";"36850";"6001";5;0,75;0,00652173913043478;-1;-1;NA;-1;1;0;0;-1;1;NA;NA;NA;-1;0;-2;NA
"611";"2007Q1";2007-03-31;"Services";"36850";"6001";5;0,75;0,00614754098360656;1;0;NA;1;0;0;0;0;0;NA;NA;NA;0;0;-1;NA
"712";"2009Q3";2009-09-30;"Services";"36850";"6001";5;0,75;0,00348837209302326;-1;1;NA;-1;1;0;0;-1;-1;NA;NA;NA;0;1;2;NA
"542";"2005Q2";2005-06-30;"Services";"36396";"6001";5;0,75;0,00652173913043478;1;-1;NA;0;-1;-1;0;-1;0;NA;NA;NA;1;0;-1;NA
"57";"2006Q1";2006-03-31;"Services";"36396";"6001";5;0,75;0,0110294117647059;1;1;NA;-1;-1;0;0;-1;-1;NA;NA;NA;1;0;1;NA
"58";"2006Q2";2006-06-30;"Services";"36396";"6001";5;0,75;0,0120967741935484;1;1;NA;0;1;0;1;0;1;NA;NA;NA;-1;-2;-1;NA
"612";"2007Q1";2007-03-31;"Services";"36396";"6001";5;0,75;0,00614754098360656;1;-1;NA;0;-1;1;-1;0;-1;NA;NA;NA;1;0;1;NA
"621";"2007Q2";2007-06-30;"Services";"36396";"6001";5;0,75;0,0077319587628866;-1;0;NA;0;1;-1;1;0;1;NA;NA;NA;-1;-2;-1;NA
"631";"2007Q3";2007-09-30;"Services";"36396";"6001";5;0,75;0,00892857142857143;-1;-1;NA;0;1;-1;0;0;1;NA;NA;NA;-1;-1;-1;NA
"641";"2007Q4";2007-12-31;"Services";"36396";"6001";5;0,75;0,00230061349693252;1;-1;NA;0;0;-1;-1;0;0;NA;NA;NA;1;1;0;NA
"651";"2008Q1";2008-03-31;"Services";"36396";"6001";5;0,75;0,0038265306122449;1;1;NA;1;-1;0;0;0;-1;NA;NA;NA;0;-1;0;NA
"662";"2008Q2";2008-06-30;"Services";"36396";"6001";5;0,75;0,00344036697247706;NA;1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"67";"2008Q3";2008-09-30;"Services";"36396";"6001";5;0,75;0,00405405405405405;-1;-1;NA;-1;1;-1;1;-1;1;NA;NA;NA;-2;-2;-2;NA
"681";"2008Q4";2008-12-31;"Services";"36396";"6001";5;0,75;0,00443786982248521;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"692";"2009Q1";2009-03-31;"Services";"36396";"6001";5;0,75;0,00496688741721854;-1;1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"702";"2009Q2";2009-06-30;"Services";"36396";"6001";5;0,75;0,00480769230769231;-1;0;NA;-1;1;-1;1;-1;1;NA;NA;NA;0;-2;-2;NA
"713";"2009Q3";2009-09-30;"Services";"36396";"6001";5;0,75;0,00348837209302326;1;1;NA;1;1;-1;1;-1;-1;NA;NA;NA;-1;-2;1;NA
"723";"2009Q4";2009-12-31;"Services";"36396";"6001";5;0,75;0,00371287128712871;1;1;NA;0;0;-1;-1;0;0;NA;NA;NA;-1;0;-1;NA
"732";"2010Q1";2010-03-31;"Services";"36396";"6001";5;0,75;0,00345622119815668;1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"742";"2010Q2";2010-06-30;"Services";"36396";"6001";5;0,75;0,00373134328358209;-1;1;NA;-1;1;-1;1;-1;1;NA;NA;NA;-2;-2;-2;NA
"752";"2010Q3";2010-09-30;"Services";"36396";"6001";5;0,75;0,00367647058823529;1;0;NA;-1;0;-1;1;-1;-1;NA;NA;NA;-1;-2;0;NA
"762";"2010Q4";2010-12-31;"Services";"36396";"6001";5;0,75;0,00342465753424658;-1;0;NA;-1;0;-1;0;-1;-1;NA;NA;NA;-1;-1;0;NA
"772";"2011Q1";2011-03-31;"Services";"36396";"6001";5;0,75;0,0038265306122449;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;0;0;0;NA
"781";"2011Q2";2011-06-30;"Services";"36396";"6001";5;0,75;0,00454545454545455;-1;1;NA;-1;0;-1;1;-1;-1;NA;NA;NA;-1;-2;0;NA
"791";"2011Q3";2011-09-30;"Services";"36396";"6001";5;0,75;0,00428571428571429;-1;1;NA;-1;1;-1;1;-1;1;NA;NA;NA;-1;-2;-2;NA
"802";"2011Q4";2011-12-31;"Services";"36396";"6001";5;0,75;0,00378787878787879;-1;0;NA;0;0;-1;0;-1;-1;NA;NA;NA;1;-1;1;NA
"811";"2012Q1";2012-03-31;"Services";"36396";"6001";5;0,75;0,00490196078431373;1;-1;NA;1;-1;-1;-1;0;-1;NA;NA;NA;0;0;0;NA
"821";"2012Q2";2012-06-30;"Services";"36396";"6001";5;0,75;0,00506756756756757;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;1;0;0;NA
"85";"2013Q1";2013-03-31;"Services";"36396";"6001";5;0,75;0,00551470588235294;1;NA;-1;0;-1;0;-1;-1;-1;NA;NA;0;0;0;0;NA
"88";"2013Q4";2013-12-31;"Services";"36396";"6001";5;0,75;0,00528169014084507;-1;-1;-1;-1;-1;-1;-1;-1;-1;NA;NA;0;0;0;0;NA
"89";"2014Q1";2014-03-31;"Services";"36396";"6001";5;0,75;0,00576923076923077;-1;-1;-1;-1;-1;-1;-1;-1;-1;NA;NA;0;0;0;0;NA
"90";"2014Q2";2014-06-30;"Services";"36396";"6001";5;0,75;0,0136363636363636;-1;-1;-1;-1;-1;-1;-1;-1;-1;NA;NA;0;0;0;0;NA
"91";"2014Q3";2014-09-30;"Services";"36396";"6001";5;0,75;0,00635593220338983;-1;-1;1;-1;1;-1;1;-1;1;NA;NA;-1;-1;-2;-2;NA
"92";"2014Q4";2014-12-31;"Services";"36396";"6001";5;0,75;0,0056390977443609;1;0;NA;0;0;-1;0;-1;0;NA;NA;NA;1;0;-1;NA
"543";"2005Q2";2005-06-30;"Services";"36583";"6001";7;1,05;0,0091304347826087;1;-1;NA;1;0;1;0;1;0;NA;NA;NA;1;0;0;NA
"693";"2009Q1";2009-03-31;"Services";"36583";"6001";7;1,05;0,00695364238410596;1;0;NA;-1;0;0;0;-1;0;NA;NA;NA;0;-1;-1;NA
"602";"2006Q4";2006-12-31;"Services";"36598";"6001";9;1,35;0,0115384615384615;-1;-1;NA;1;0;1;0;1;0;NA;NA;NA;1;1;-1;NA
"632";"2007Q3";2007-09-30;"Services";"36598";"6001";9;1,35;0,0160714285714286;1;0;NA;1;0;1;1;1;0;NA;NA;NA;-1;-1;-1;NA
"642";"2007Q4";2007-12-31;"Services";"36598";"6001";9;1,35;0,00414110429447853;1;1;NA;-1;1;0;1;-1;1;NA;NA;NA;-1;-1;-1;NA
"671";"2008Q3";2008-09-30;"Services";"36598";"6001";9;1,35;0,0072972972972973;1;0;NA;0;0;0;0;0;-1;NA;NA;NA;-1;-1;0;NA
"724";"2009Q4";2009-12-31;"Services";"36598";"6001";9;1,35;0,00668316831683168;1;1;NA;-1;1;-1;1;-1;0;NA;NA;NA;0;0;1;NA
"544";"2005Q2";2005-06-30;"Services";"37007";"6001";1;0,15;0,00130434782608696;1;-1;NA;1;1;1;1;1;1;NA;NA;NA;0;0;0;NA
"545";"2005Q2";2005-06-30;"Services";"36560";"6001";5;0,75;0,00652173913043478;1;1;NA;0;0;0;0;1;0;NA;NA;NA;0;0;0;NA
"546";"2005Q2";2005-06-30;"Services";"36394";"6001";2;0,3;0,00260869565217391;1;1;NA;-1;-1;0;-1;-1;-1;NA;NA;NA;0;0;0;NA
"613";"2007Q1";2007-03-31;"Services";"36394";"6001";2;0,3;0,00245901639344262;-1;0;NA;0;0;0;0;0;0;NA;NA;NA;-1;-1;-1;NA
"59";"2006Q3";2006-09-30;"Services";"36798";"6001";6;0,9;0,00596026490066225;1;-1;NA;1;1;1;1;1;1;NA;NA;NA;0;0;0;NA
"603";"2006Q4";2006-12-31;"Services";"36798";"6001";6;0,9;0,00769230769230769;1;-1;NA;1;0;1;0;1;-1;NA;NA;NA;0;0;0;NA
"547";"2005Q2";2005-06-30;"Services";"37004";"6001";8;1,2;0,0104347826086957;1;-1;NA;1;1;0;0;0;0;NA;NA;NA;-1;1;1;NA
"581";"2006Q2";2006-06-30;"Services";"37004";"6001";8;1,2;0,0193548387096774;1;-1;NA;1;1;1;1;NA;NA;NA;NA;NA;0;0;NA;NA
"591";"2006Q3";2006-09-30;"Services";"37004";"6001";8;1,2;0,00794701986754967;1;-1;NA;1;1;1;1;1;1;NA;NA;NA;0;0;0;NA
"604";"2006Q4";2006-12-31;"Services";"37004";"6001";8;1,2;0,0102564102564103;1;-1;NA;1;0;1;0;1;0;NA;NA;NA;1;1;1;NA
"614";"2007Q1";2007-03-31;"Services";"37004";"6001";8;1,2;0,00983606557377049;1;-1;NA;1;1;1;1;1;1;NA;NA;NA;-1;-1;-2;NA
"622";"2007Q2";2007-06-30;"Services";"37004";"6001";8;1,2;0,0123711340206186;1;0;NA;0;0;0;-1;-1;-1;NA;NA;NA;-1;1;0;NA
"633";"2007Q3";2007-09-30;"Services";"37004";"6001";8;1,2;0,0142857142857143;-1;1;NA;-1;-1;0;-1;-1;-1;NA;NA;NA;0;1;0;NA
"643";"2007Q4";2007-12-31;"Services";"37004";"6001";8;1,2;0,00368098159509202;-1;0;NA;-1;0;0;0;-1;1;NA;NA;NA;-1;-1;-2;NA
"672";"2008Q3";2008-09-30;"Services";"37004";"6001";8;1,2;0,00648648648648649;-1;1;NA;0;0;0;0;0;0;NA;NA;NA;-1;0;-1;NA
"682";"2008Q4";2008-12-31;"Services";"37004";"6001";8;1,2;0,00710059171597633;-1;0;NA;-1;1;0;0;-1;1;NA;NA;NA;-2;0;-2;NA
"694";"2009Q1";2009-03-31;"Services";"37004";"6001";8;1,2;0,00794701986754967;1;0;NA;-1;1;0;0;-1;0;NA;NA;NA;-2;0;-1;NA
"703";"2009Q2";2009-06-30;"Services";"37004";"6001";8;1,2;0,00769230769230769;1;0;NA;-1;1;0;0;-1;0;NA;NA;NA;-2;0;-1;NA
"733";"2010Q1";2010-03-31;"Services";"37004";"6001";8;1,2;0,00552995391705069;-1;1;NA;-1;-1;0;0;-1;-1;NA;NA;NA;0;0;0;NA
"753";"2010Q3";2010-09-30;"Services";"37004";"6001";8;1,2;0,00588235294117647;-1;0;NA;-1;0;0;0;-1;-1;NA;NA;NA;-1;0;0;NA
"763";"2010Q4";2010-12-31;"Services";"37004";"6001";8;1,2;0,00547945205479452;1;0;NA;-1;-1;0;0;-1;-1;NA;NA;NA;0;0;0;NA
"773";"2011Q1";2011-03-31;"Services";"37004";"6001";8;1,2;0,00612244897959184;-1;0;NA;-1;0;0;0;-1;-1;NA;NA;NA;-1;0;0;NA
"782";"2011Q2";2011-06-30;"Services";"37004";"6001";8;1,2;0,00727272727272727;-1;1;NA;-1;1;0;0;-1;1;NA;NA;NA;-2;0;-2;NA
"792";"2011Q3";2011-09-30;"Services";"37004";"6001";8;1,2;0,00685714285714286;-1;0;NA;-1;0;0;0;-1;-1;NA;NA;NA;1;-1;0;NA
"803";"2011Q4";2011-12-31;"Services";"37004";"6001";8;1,2;0,00606060606060606;1;0;NA;1;0;-1;0;-1;-1;NA;NA;NA;1;0;1;NA
"83";"2012Q3";2012-09-30;"Services";"37004";"6001";8;1,2;0,00869565217391304;1;0;0;0;0;0;0;0;0;NA;NA;0;0;0;0;NA
"548";"2005Q2";2005-06-30;"Services";"36939";"6001";9;1,35;0,0117391304347826;1;0;NA;0;1;0;-1;0;1;NA;NA;NA;-2;0;-2;NA
"582";"2006Q2";2006-06-30;"Services";"36939";"6001";9;1,35;0,0217741935483871;1;0;NA;0;0;0;0;-1;-1;NA;NA;NA;1;0;0;NA
"615";"2007Q1";2007-03-31;"Services";"36939";"6001";9;1,35;0,0110655737704918;1;0;NA;1;0;0;0;-1;0;NA;NA;NA;1;0;1;NA
"623";"2007Q2";2007-06-30;"Services";"36939";"6001";9;1,35;0,0139175257731959;1;0;NA;1;0;0;0;1;0;NA;NA;NA;0;0;-1;NA
"634";"2007Q3";2007-09-30;"Services";"36939";"6001";9;1,35;0,0160714285714286;-1;1;NA;0;-1;0;0;-1;-1;NA;NA;NA;2;0;1;NA
"644";"2007Q4";2007-12-31;"Services";"36939";"7010";7;1,05;0,0223404255319149;1;0;NA;1;1;0;0;0;0;NA;NA;NA;-1;-1;0;NA
"652";"2008Q1";2008-03-31;"Services";"36939";"7010";7;1,05;0,021;-1;1;NA;0;0;-1;NA;0;NA;NA;NA;NA;-1;NA;NA;NA
"663";"2008Q2";2008-06-30;"Services";"36939";"7010";7;1,05;0,0201923076923077;-1;1;NA;-1;-1;-1;-1;-1;-1;NA;NA;NA;1;0;1;NA
"673";"2008Q3";2008-09-30;"Services";"36939";"7010";7;1,05;0,0276315789473684;-1;1;NA;0;0;-1;-1;0;0;NA;NA;NA;-1;0;-1;NA
"683";"2008Q4";2008-12-31;"Services";"36939";"7010";7;1,05;0,0184210526315789;-1;1;NA;-1;0;-1;0;-1;0;NA;NA;NA;1;-1;0;NA
"695";"2009Q1";2009-03-31;"Services";"36939";"7010";7;1,05;0,0338709677419355;1;1;NA;1;1;-1;-1;0;0;NA;NA;NA;-2;1;-1;NA
"704";"2009Q2";2009-06-30;"Services";"36939";"7010";7;1,05;0,0269230769230769;-1;1;NA;-1;0;0;0;-1;-1;NA;NA;NA;0;-1;1;NA
"734";"2010Q1";2010-03-31;"Services";"36939";"7010";7;1,05;0,0244186046511628;-1;1;NA;-1;1;-1;0;-1;1;NA;NA;NA;-1;-1;-1;NA
"743";"2010Q2";2010-06-30;"Services";"36939";"7010";7;1,05;0,035;-1;0;NA;0;0;-1;-1;0;1;NA;NA;NA;1;0;-1;NA
"754";"2010Q3";2010-09-30;"Services";"36939";"7010";7;1,05;0,0276315789473684;-1;1;NA;1;0;-1;-1;0;0;NA;NA;NA;-1;0;-1;NA
"764";"2010Q4";2010-12-31;"Services";"36939";"7010";7;1,05;0,0223404255319149;-1;0;NA;-1;0;-1;-1;-1;0;NA;NA;NA;-1;1;-1;NA
"793";"2011Q3";2011-09-30;"Services";"36939";"7010";7;1,05;0,0228260869565217;-1;1;NA;1;1;0;0;0;1;NA;NA;NA;-1;1;0;NA
"804";"2011Q4";2011-12-31;"Services";"36939";"7010";7;1,05;0,019811320754717;1;1;NA;0;0;1;0;1;0;NA;NA;NA;-1;-1;-1;NA
"831";"2012Q3";2012-09-30;"Services";"36939";"7010";7;1,05;0,025609756097561;-1;-1;0;0;0;-1;-1;-1;-1;NA;NA;0;-1;0;0;NA
"84";"2012Q4";2012-12-31;"Services";"36939";"7010";7;1,05;0,0328125;1;0;0;-1;0;-1;0;-1;0;NA;NA;-1;0;-1;0;NA
"851";"2013Q1";2013-03-31;"Services";"36939";"7010";7;1,05;0,0328125;-1;-1;0;0;0;-1;-1;0;0;NA;NA;-1;-1;0;0;NA
"881";"2013Q4";2013-12-31;"Services";"36939";"7010";7;1,05;0,0375;-1;-1;1;-1;1;0;0;-1;1;NA;NA;-2;-2;0;-2;NA
"94";"2015Q2";2015-06-30;"Services";"36939";"7010";7;1,05;0,0375;1;1;0;1;0;0;0;1;0;NA;NA;0;0;0;0;NA
"549";"2005Q2";2005-06-30;"Services";"36729";"6001";6;0,9;0,00782608695652174;1;1;NA;-1;-1;0;0;0;0;NA;NA;NA;0;0;-1;NA
"583";"2006Q2";2006-06-30;"Services";"36729";"6001";6;0,9;0,0145161290322581;-1;1;NA;-1;0;NA;NA;NA;NA;NA;NA;NA;-1;NA;NA;NA
"592";"2006Q3";2006-09-30;"Services";"36729";"6001";6;0,9;0,00596026490066225;-1;1;NA;-1;-1;0;0;-1;0;NA;NA;NA;1;0;-1;NA
"653";"2008Q1";2008-03-31;"Services";"36729";"6001";6;0,9;0,00459183673469388;-1;1;NA;-1;-1;0;0;-1;-1;NA;NA;NA;0;0;0;NA
"664";"2008Q2";2008-06-30;"Services";"36729";"6001";6;0,9;0,00412844036697248;-1;1;NA;-1;-1;0;0;-1;-1;NA;NA;NA;0;0;0;NA
"674";"2008Q3";2008-09-30;"Services";"36729";"6001";6;0,9;0,00486486486486486;-1;1;NA;-1;-1;0;0;-1;-1;NA;NA;NA;0;0;0;NA
"765";"2010Q4";2010-12-31;"Services";"36729";"6001";6;0,9;0,00410958904109589;-1;-1;NA;-1;0;0;0;-1;-1;NA;NA;NA;-1;0;0;NA
"812";"2012Q1";2012-03-31;"Services";"36729";"6001";6;0,9;0,00588235294117647;-1;0;NA;-1;-1;0;0;0;0;NA;NA;NA;0;0;0;NA
"822";"2012Q2";2012-06-30;"Services";"36729";"6001";6;0,9;0,00608108108108108;-1;0;NA;-1;-1;0;0;0;0;NA;NA;NA;0;0;0;NA
"5410";"2005Q2";2005-06-30;"Services";"36709";"6001";5;0,75;0,00652173913043478;-1;1;NA;0;0;0;-1;0;0;NA;NA;NA;0;0;0;NA
"571";"2006Q1";2006-03-31;"Services";"36709";"6001";5;0,75;0,0110294117647059;1;0;NA;-1;0;0;0;-1;0;NA;NA;NA;-1;-1;0;NA
"584";"2006Q2";2006-06-30;"Services";"36709";"6001";5;0,75;0,0120967741935484;1;-1;NA;-1;0;-1;0;0;0;NA;NA;NA;0;1;-1;NA
"593";"2006Q3";2006-09-30;"Services";"36709";"6001";5;0,75;0,00496688741721854;1;-1;NA;0;0;1;1;-1;0;NA;NA;NA;-1;-2;0;NA
"605";"2006Q4";2006-12-31;"Services";"36709";"6001";5;0,75;0,00641025641025641;1;0;NA;-1;0;-1;1;0;0;NA;NA;NA;1;0;1;NA
"616";"2007Q1";2007-03-31;"Services";"36709";"6001";5;0,75;0,00614754098360656;1;-1;NA;1;0;1;0;1;0;NA;NA;NA;-1;-1;-1;NA
"624";"2007Q2";2007-06-30;"Services";"36709";"6001";5;0,75;0,0077319587628866;-1;-1;NA;-1;0;-1;0;-1;0;NA;NA;NA;0;0;0;NA
"654";"2008Q1";2008-03-31;"Services";"36709";"6001";5;0,75;0,0038265306122449;1;-1;NA;1;1;0;1;1;1;NA;NA;NA;0;-1;0;NA
"665";"2008Q2";2008-06-30;"Services";"36709";"6001";5;0,75;0,00344036697247706;1;1;NA;1;-1;0;0;1;-1;NA;NA;NA;1;0;1;NA
"675";"2008Q3";2008-09-30;"Services";"36709";"6001";5;0,75;0,00405405405405405;1;-1;NA;0;1;0;1;0;1;NA;NA;NA;-2;-2;-2;NA
"684";"2008Q4";2008-12-31;"Services";"36709";"6001";5;0,75;0,00443786982248521;-1;1;NA;-1;0;-1;0;-1;0;NA;NA;NA;-1;0;-1;NA
"696";"2009Q1";2009-03-31;"Services";"36709";"6001";5;0,75;0,00496688741721854;-1;0;NA;-1;-1;0;-1;-1;-1;NA;NA;NA;0;0;0;NA
"705";"2009Q2";2009-06-30;"Services";"36709";"6001";5;0,75;0,00480769230769231;-1;0;NA;-1;0;-1;0;-1;0;NA;NA;NA;-1;-1;-1;NA
"5411";"2005Q2";2005-06-30;"Services";"37063";"6001";5;0,75;0,00652173913043478;1;-1;NA;1;0;0;0;1;1;NA;NA;NA;0;0;-1;NA
"572";"2006Q1";2006-03-31;"Services";"37063";"6001";5;0,75;0,0110294117647059;1;-1;NA;1;0;0;0;1;0;NA;NA;NA;1;0;1;NA
"585";"2006Q2";2006-06-30;"Services";"37063";"6001";5;0,75;0,0120967741935484;1;0;NA;1;0;0;0;1;-1;NA;NA;NA;0;1;1;NA
"594";"2006Q3";2006-09-30;"Services";"37063";"6001";5;0,75;0,00496688741721854;1;-1;NA;0;1;1;1;0;1;NA;NA;NA;0;-1;0;NA
"606";"2006Q4";2006-12-31;"Services";"37063";"6001";5;0,75;0,00641025641025641;1;-1;NA;1;-1;0;0;1;-1;NA;NA;NA;1;0;1;NA
"617";"2007Q1";2007-03-31;"Services";"37063";"6001";5;0,75;0,00614754098360656;1;0;NA;0;1;0;0;0;1;NA;NA;NA;-1;0;-1;NA
"625";"2007Q2";2007-06-30;"Services";"37063";"6001";5;0,75;0,0077319587628866;1;-1;NA;0;0;0;0;0;0;NA;NA;NA;0;1;1;NA
"635";"2007Q3";2007-09-30;"Services";"37063";"6001";5;0,75;0,00892857142857143;1;-1;NA;0;1;1;1;1;1;NA;NA;NA;0;-1;-1;NA
"645";"2007Q4";2007-12-31;"Services";"37063";"8010";5;0,75;0,00742574257425743;1;-1;NA;1;0;0;0;0;0;NA;NA;NA;1;1;1;NA
"655";"2008Q1";2008-03-31;"Services";"37063";"8010";5;0,75;0,0105633802816901;1;-1;NA;1;0;1;0;1;0;NA;NA;NA;-1;0;-1;NA
"666";"2008Q2";2008-06-30;"Services";"37063";"8010";5;0,75;0,00842696629213483;1;1;NA;-1;-1;0;0;-1;-1;NA;NA;NA;0;0;0;NA
"676";"2008Q3";2008-09-30;"Services";"37063";"8010";5;0,75;0,00797872340425532;1;0;NA;-1;0;0;0;-1;-1;NA;NA;NA;0;0;0;NA
"685";"2008Q4";2008-12-31;"Services";"37063";"8010";5;0,75;0,00815217391304348;1;0;NA;0;0;0;0;-1;-1;NA;NA;NA;0;0;1;NA
"714";"2009Q3";2009-09-30;"Services";"37063";"8010";5;0,75;0,00806451612903226;1;1;NA;1;1;0;0;1;1;NA;NA;NA;0;0;0;NA
