Streek,Idnr,Sektor,Gewig,Sektorw,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
05,96466,3120,2,0.079999998,0.239999995,04Q2,2,2,3,2,3,2,3,2,2,3,3,3,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96466,3120,2,0.079999998,0.239999995,04Q3,2,3,2,3,2,3,3,2,2,3,2,3,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96466,3120,2,0.079999998,0.239999995,04Q4,2,3,2,3,2,2,2,2,2,3,3,3,3,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96466,3120,2,0.100000004,0.300000012,05Q1,2,3,,3,2,3,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96466,3120,2,0.100000004,0.300000012,05Q2,1,1,,1,2,2,2,2,2,2,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96466,3120,2,0.100000004,0.300000012,05Q3,1,2,1,2,2,1,1,2,2,2,2,3,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96466,3120,2,0.100000004,0.300000012,06Q1,1,2,1,2,1,3,3,2,2,2,3,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96466,3120,2,0.100000004,0.300000012,06Q2,1,2,,3,2,3,2,2,2,2,1,2,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96466,3120,2,0.100000004,0.300000012,06Q3,1,2,2,3,3,3,3,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96466,3120,2,0.100000004,0.300000012,06Q4,2,3,3,3,3,3,3,2,2,1,1,2,1,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96466,3120,2,0.100000004,0.300000012,07Q1,1,2,,2,2,3,3,2,2,1,2,1,2,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,02Q2,2,3,1,3,1,,,3,2,1,2,1,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,02Q3,1,3,1,2,1,3,1,2,2,1,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,03Q1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,03Q2,1,2,1,2,1,2,,3,2,3,,2,,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,03Q3,,1,1,2,1,,,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,03Q4,1,1,1,1,1,,,2,2,3,3,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,04Q1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,04Q3,1,1,1,1,1,1,,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,05Q3,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,06Q1,1,1,1,1,,1,,2,2,2,,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,06Q2,1,1,3,1,3,1,,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,06Q3,1,2,3,1,2,1,,2,2,2,1,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,06Q4,1,2,3,1,,1,,2,2,1,,2,,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,07Q1,1,1,1,1,1,1,,2,2,1,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,07Q2,1,3,,3,,3,,2,,2,,2,,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,07Q3,1,3,1,3,,3,,2,2,1,1,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,07Q4,1,3,3,3,3,3,3,2,2,2,3,2,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,08Q1,2,3,1,3,,3,,2,2,2,2,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,08Q2,2,3,,3,3,3,3,2,2,1,,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,08Q4,2,3,2,3,3,3,3,2,2,1,,2,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,09Q1,2,3,3,3,,,,2,2,1,,2,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,09Q2,2,3,2,3,3,3,,2,2,1,2,2,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,09Q3,2,3,,3,,3,,2,2,1,,2,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,09Q4,2,3,2,3,,3,,2,2,1,,2,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,10Q1,2,2,1,3,,,,2,2,1,1,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,10Q2,2,3,1,3,,3,,2,2,2,2,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,10Q3,2,3,1,3,1,3,,2,2,1,,3,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,10Q4,2,3,2,3,,3,,2,2,2,,2,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,11Q1,2,3,3,3,,3,,2,2,2,,2,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,11Q2,2,3,1,3,,3,,2,2,1,,2,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,11Q3,2,3,3,3,3,3,,2,2,1,,2,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,11Q4,2,3,2,3,,3,,2,2,1,,2,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,12Q1,2,3,1,3,,3,,2,2,1,,3,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,12Q2,2,3,1,3,1,3,,2,2,1,,2,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.05,1.5,12Q3,2,3,1,3,,3,,2,2,1,,2,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96470,3330,5,0.083,2.49000001,08Q3,2,3,3,3,3,3,,2,2,1,1,3,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96475,3210,5,0.069999997,2.099999905,01Q4,1,2,2,1,1,1,1,1,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96475,3210,5,0.069999997,2.099999905,02Q3,1,1,,1,1,1,1,1,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96475,3210,5,0.069999997,2.099999905,02Q4,,2,,2,2,2,2,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96478,3220,4,0.079999995,1.199999928,02Q4,2,3,3,2,2,2,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96478,3220,4,0.1,1.5,05Q3,2,3,2,3,2,3,2,3,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96487,3310,4,0.059999998,0.899999976,01Q2,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96487,3310,4,0.059999998,0.899999976,01Q3,2,3,2,3,2,3,3,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96487,3310,4,0.059999998,0.899999976,01Q4,2,2,3,2,3,2,3,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96487,3310,4,0.059999998,0.899999976,02Q3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96487,3310,4,0.059999998,0.899999976,03Q1,1,2,,2,1,2,1,1,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96487,3310,4,0.059999998,0.899999976,03Q2,2,3,,3,3,3,3,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96501,3170,2,0.039999999,0.119999997,03Q4,1,1,,1,,1,,2,,2,,3,,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96501,3170,2,0.039999999,0.119999997,04Q2,1,1,1,1,1,2,2,2,2,3,3,3,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96501,3170,2,0.050000002,0.150000006,05Q1,1,1,2,1,2,2,2,2,2,2,3,2,3,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96501,3170,2,0.050000002,0.150000006,05Q2,1,,,2,2,2,2,3,3,1,1,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.05,0.75,05Q1,1,3,2,2,2,2,2,2,2,1,2,2,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.05,0.75,05Q2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.05,0.75,05Q3,1,2,3,2,2,2,2,2,2,1,2,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.05,0.75,06Q2,1,2,2,1,2,2,2,2,1,,2,2,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.05,0.75,06Q3,1,2,2,2,1,2,2,2,2,2,2,2,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.05,0.75,06Q4,1,1,2,2,2,2,2,2,2,2,1,2,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.05,0.75,07Q1,1,2,,2,,2,,2,,1,,1,,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.05,0.75,07Q2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.05,0.75,07Q4,1,2,2,2,1,2,2,2,2,1,2,2,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.05,0.75,08Q1,1,2,,2,,2,,2,,3,,2,,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.05,0.75,08Q2,2,3,3,2,3,3,2,2,2,2,2,2,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.058,0.870000005,08Q4,1,3,,3,3,3,2,2,2,2,2,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.058,0.870000005,09Q1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.058,0.870000005,09Q2,1,2,3,2,3,2,2,2,2,2,2,2,3,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.058,0.870000005,09Q3,1,3,3,3,3,2,2,2,2,2,2,2,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.058,0.870000005,09Q4,2,3,3,3,3,2,2,2,2,1,2,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.058,0.870000005,10Q1,2,3,3,3,3,2,2,2,2,1,1,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.058,0.870000005,10Q2,1,1,,1,2,2,2,2,2,2,2,2,2,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.058,0.870000005,10Q4,1,3,3,2,2,2,2,2,2,1,1,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.058,0.870000005,11Q2,2,3,3,3,3,2,2,2,2,1,2,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.058,0.870000005,11Q3,2,3,3,3,3,2,2,2,2,2,2,2,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.058,0.870000005,12Q1,2,3,2,3,2,2,2,2,2,1,1,2,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.058,0.870000005,12Q2,2,3,2,3,3,2,2,2,2,3,2,3,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.058,0.870000005,12Q3,2,3,2,3,2,2,2,2,2,2,2,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.058,0.870000005,12Q4,2,3,3,3,3,2,2,2,2,3,2,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.059999998,0.899999976,01Q3,1,2,2,1,2,,,2,2,,,,,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.059999998,0.899999976,01Q4,1,1,1,2,2,,,2,2,,,,,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.059999998,0.899999976,02Q1,1,1,1,2,1,,,2,2,2,2,,,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.059999998,0.899999976,02Q2,1,3,2,3,3,,,2,2,3,2,3,1,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.059999998,0.899999976,02Q3,1,1,1,1,1,2,2,2,2,2,3,1,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.059999998,0.899999976,02Q4,2,3,3,2,3,2,2,2,2,1,2,2,1,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.059999998,0.899999976,03Q2,1,2,2,3,2,2,2,2,2,2,2,2,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.059999998,0.899999976,03Q4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.059999998,0.899999976,04Q1,1,2,2,1,3,2,2,2,2,1,2,1,2,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.059999998,0.899999976,04Q2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96520,3140,4,0.059999998,0.899999976,04Q3,1,1,2,2,2,2,2,2,2,2,2,2,2,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,01Q3,2,3,1,2,1,2,1,2,2,3,2,3,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,02Q4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,03Q2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,03Q3,,1,,1,,1,,1,,1,,1,,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,06Q1,1,3,,3,,3,,2,,2,,2,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,06Q2,2,3,2,3,2,3,2,3,3,1,2,1,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,06Q3,1,3,,,2,3,2,2,2,2,2,2,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,07Q1,,1,1,1,1,1,1,2,1,2,1,2,1,1,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,07Q2,1,1,,1,,1,,2,,2,,2,,1,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,07Q3,1,3,1,3,1,3,1,3,2,1,2,1,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,07Q4,1,2,3,2,3,2,3,2,3,1,2,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,08Q2,2,,,3,,3,,3,,1,,1,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,09Q1,2,3,,3,,3,,3,,2,,2,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,09Q2,2,3,3,3,3,3,3,3,3,2,2,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,09Q4,2,,,3,2,3,2,3,2,3,2,3,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,10Q1,,,,3,1,3,1,3,2,2,2,3,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,10Q3,2,3,2,3,2,3,2,3,2,3,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,11Q3,2,3,,3,,3,,3,,1,,1,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.05,35,11Q4,,2,2,2,2,2,2,3,2,1,2,1,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96534,3330,9,0.082999998,58.09999847,08Q3,1,,,3,,3,,3,,3,,1,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96535,3110,3,0.049999999,0.349999994,05Q2,,3,2,3,2,3,3,2,2,2,3,3,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96535,3110,3,0.059999998,0.419999987,02Q4,2,3,,2,,2,,2,,1,,2,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96535,3110,3,0.059999998,0.419999987,04Q2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96535,3110,3,0.059999998,0.419999987,04Q3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96536,3210,3,0.070000001,0.49000001,01Q2,2,3,3,3,3,3,3,2,2,1,1,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96536,3210,3,0.070000001,0.49000001,01Q3,2,3,3,3,3,3,3,2,2,1,1,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.05,1.5,05Q1,2,3,3,3,3,3,3,2,2,2,2,3,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.05,1.5,05Q2,2,3,2,3,3,3,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.05,1.5,05Q3,2,3,3,3,3,3,3,2,2,1,1,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.05,1.5,06Q1,2,3,2,3,3,3,3,2,2,1,1,2,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.05,1.5,06Q3,1,2,2,3,3,3,3,2,2,1,1,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.05,1.5,06Q4,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.058,1.74000001,09Q1,2,3,3,3,3,3,3,2,2,1,1,3,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.059999998,1.799999952,01Q3,2,3,2,2,3,3,3,2,2,1,1,2,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.059999998,1.799999952,02Q1,2,3,3,3,3,3,3,2,2,1,1,2,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.059999998,1.799999952,02Q3,1,2,2,1,2,3,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.059999998,1.799999952,02Q4,2,3,3,1,2,3,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.059999998,1.799999952,03Q2,2,3,3,3,3,3,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.059999998,1.799999952,03Q3,2,3,2,3,3,3,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.059999998,1.799999952,03Q4,2,3,3,3,2,3,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.059999998,1.799999952,04Q1,2,3,3,3,3,3,3,2,2,1,2,1,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.059999998,1.799999952,04Q2,2,3,,3,,3,,2,,1,,1,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.059999998,1.799999952,04Q3,2,3,3,3,3,3,3,2,2,1,1,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96545,3110,5,0.059999998,1.799999952,04Q4,2,3,3,2,3,1,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96559,3230,8,0.2,60,01Q2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96559,3230,8,0.2,60,04Q2,2,3,2,2,2,3,3,2,2,2,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96559,3230,8,0.2,60,06Q2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96559,3230,8,0.2,60,06Q3,1,,,1,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96559,3230,8,0.2,60,10Q3,1,3,2,2,,,,3,3,2,2,3,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96559,3230,8,0.2,60,11Q1,1,2,2,3,1,2,1,1,2,1,2,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96563,3110,5,0.059999998,1.799999952,03Q1,2,3,2,2,2,3,3,2,2,1,1,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96601,3340,4,0.029999999,0.449999988,03Q1,2,3,2,3,,3,,2,2,1,,1,,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96601,3340,4,0.05,0.75,05Q2,1,3,2,3,1,3,3,2,2,1,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96605,3120,7,0.08,12,01Q3,2,3,2,3,2,3,2,3,2,1,1,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96605,3120,7,0.08,12,02Q1,2,3,3,3,3,3,3,3,3,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96611,3230,5,0.2,6,01Q2,2,3,3,1,1,1,1,1,1,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96611,3230,5,0.2,6,03Q3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96611,3230,5,0.2,6,05Q2,,1,2,1,2,1,2,1,2,2,2,3,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96611,3230,5,0.2,6,06Q3,,1,,1,,1,,2,,2,,2,,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96617,3220,1,0.079999998,0.079999998,01Q3,2,3,3,3,3,3,3,2,2,1,1,1,1,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96622,3350,4,0.029999999,0.449999988,01Q2,2,3,2,3,2,3,2,1,1,2,2,3,2,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96622,3350,4,0.029999999,0.449999988,02Q1,,3,2,3,2,3,2,3,3,1,1,1,1,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96622,3350,4,0.029999999,0.449999988,03Q3,1,1,1,1,2,1,2,1,2,3,2,3,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96622,3350,4,0.029999999,0.449999988,03Q4,1,2,1,2,1,1,1,1,2,3,3,3,3,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96622,3350,4,0.029999999,0.449999988,04Q4,1,2,2,1,2,2,2,3,2,3,2,3,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96622,3350,4,0.05,0.75,05Q2,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96624,3230,1,0.200000003,0.200000003,01Q2,2,3,2,2,3,3,3,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96624,3230,1,0.200000003,0.200000003,01Q3,2,3,2,3,2,3,3,2,3,1,1,1,1,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96624,3230,1,0.200000003,0.200000003,01Q4,2,3,2,2,2,2,2,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96624,3230,1,0.200000003,0.200000003,02Q1,2,3,2,3,3,3,2,3,2,1,1,2,1,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96624,3230,1,0.200000003,0.200000003,02Q2,2,3,3,3,3,3,3,2,3,1,1,3,3,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96624,3230,1,0.200000003,0.200000003,02Q3,2,3,2,3,3,3,2,2,3,1,1,3,1,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96624,3230,1,0.200000003,0.200000003,02Q4,,3,2,3,2,3,2,2,2,1,1,3,1,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
