Streek,Idnr,Sektor,Gewig,Sektorw,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
05,51485,3220,1,0.100000001,0.100000001,14Q4,2,2,1,2,1,2,1,2,1,1,2,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
06,13964,3220,5,0.1,3,14Q4,1,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
08,51865,3310,1,0.150000006,0.150000006,14Q4,2,2,3,2,2,2,2,3,2,1,1,1,1,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
06,52201,3330,1,0.050000001,0.050000001,14Q4,2,3,2,3,2,3,2,2,2,1,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
06,37377,3330,8,0.05,15,14Q4,1,1,2,1,2,1,2,2,2,2,1,1,2,1,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
06,13808,3330,7,0.05,7.5,14Q4,1,1,,1,,1,,2,,1,,2,,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
05,37464,3310,7,0.15,22.5,14Q4,1,3,2,2,2,2,2,3,3,2,2,2,2,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
01,14267,3310,8,0.15,45,14Q4,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
05,97283,3220,7,0.1,15,14Q4,1,3,1,2,1,2,1,1,2,1,1,1,1,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
02,51538,3230,6,0.2,14,14Q4,,2,2,1,2,1,2,2,2,2,2,2,2,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
01,37445,3310,9,0.05,35,07Q2,1,1,,1,,1,,1,,2,,2,,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,37269,3370,1,0.050000001,0.050000001,05Q3,1,1,1,1,1,1,1,1,1,3,2,3,2,1,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
06,37406,3310,6,0.05,3.5,07Q1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,51265,3120,6,0.079999999,5.599999905,03Q4,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,52107,3340,6,0.05,3.5,06Q3,2,3,3,3,3,3,3,3,2,1,2,3,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
09,51865,3310,1,0.059999999,0.059999999,02Q1,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,97362,3310,5,0.15,4.5,07Q1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
02,14269,3230,9,0.2,140,12Q4,1,3,1,2,1,3,1,2,1,2,2,2,2,1,2,,,,TRUE,TRUE,FALSE,FALSE,FALSE
01,10926,3310,6,0.15,10.5,08Q4,1,2,2,2,2,2,2,3,1,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,37682,3310,6,0.15,10.5,09Q1,1,1,,1,,1,,2,,1,,1,,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,37462,3220,5,0.1,3,14Q4,2,3,3,2,3,3,3,3,3,1,1,3,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,37489,3330,4,0.05,0.75,14Q4,2,2,,2,3,2,3,2,3,2,3,2,3,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,52037,3330,6,0.05,3.5,14Q4,2,2,,2,,2,,3,,2,,3,,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,11139,3210,1,0.050000001,0.050000001,14Q4,1,1,,1,2,1,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,37391,3330,1,0.050000001,0.050000001,14Q4,2,3,2,2,2,2,2,2,2,2,2,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96925,3310,5,0.15,4.5,14Q4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,13752,3230,9,0.2,140,14Q4,1,2,2,2,3,2,3,2,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,37483,3220,5,0.1,3,14Q4,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,13801,3310,5,0.15,4.5,14Q4,,,1,3,,3,1,2,2,1,1,3,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13688,3310,8,0.15,45,14Q4,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,37509,3160,9,0.057999998,40.59999847,14Q4,1,1,2,1,1,1,1,1,1,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13032,3330,2,0.050000002,0.150000006,14Q4,2,,,2,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13293,3310,7,0.15,22.5,14Q4,1,,,1,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13869,3160,8,0.057999999,17.39999962,14Q4,1,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13959,3140,1,0.057999998,0.057999998,14Q4,2,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13982,3230,1,0.200000003,0.200000003,14Q4,1,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,14596,3330,5,0.05,1.5,14Q4,2,,,2,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,14609,3310,5,0.15,4.5,14Q4,2,,,2,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,36003,3330,5,0.05,1.5,14Q4,2,,,2,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,36030,3330,8,0.05,15,14Q4,1,,,2,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,36100,3310,1,0.150000006,0.150000006,14Q4,2,,,2,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,36136,3140,5,0.058,1.74000001,14Q4,1,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,37408,3220,5,0.1,3,14Q4,1,,,1,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,37428,3220,6,0.1,7,14Q4,2,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,51047,3110,3,0.057999998,0.405999988,14Q4,2,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,51299,3160,1,0.057999998,0.057999998,14Q4,2,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,96625,3310,3,0.15000001,1.050000072,14Q4,2,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,96676,3110,5,0.058,1.74000001,14Q4,2,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,96776,3330,5,0.05,1.5,14Q4,2,,,1,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,14589,3310,5,0.15,4.5,14Q4,2,3,2,3,2,3,2,3,2,1,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
