Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Latecomer,NewRecruit,WrongClassif,Duplicate
06,13866,3220,7,15,2015Q3,2,2,2,1,1,2,2,2,2,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
06,13869,3160,8,17.39999962,2015Q3,1,,,3,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
05,13874,3370,5,1.5,2015Q3,2,3,3,3,3,3,3,2,2,2,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
06,13877,3110,8,17.39999962,2015Q3,2,3,3,3,3,2,2,2,2,2,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
06,13944,3330,6,3.5,2015Q3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE
05,13955,3330,9,35,2015Q3,2,3,3,1,2,1,1,1,2,2,3,1,1,1,2,FALSE,FALSE,FALSE,FALSE
05,13966,3160,5,1.74000001,2015Q3,2,3,3,3,3,3,3,2,2,1,1,2,2,3,2,FALSE,FALSE,FALSE,FALSE
04,13968,3310,5,4.5,2015Q3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
08,13997,3240,4,0.75,2015Q3,,3,3,3,3,3,3,2,2,2,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
02,14006,3120,5,3.539999962,2015Q3,1,1,3,1,3,1,3,2,2,2,1,2,1,2,2,FALSE,FALSE,FALSE,FALSE
06,14191,3230,5,6,2015Q3,1,1,,1,2,1,2,2,2,1,2,1,2,2,2,FALSE,FALSE,FALSE,FALSE
03,14251,3330,9,35,2015Q3,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
04,14265,3330,5,1.5,2015Q3,1,2,3,2,,2,3,2,2,1,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
01,14267,3310,8,45,2015Q3,1,2,,1,1,3,2,2,2,2,2,2,2,2,1,FALSE,FALSE,FALSE,FALSE
05,14298,3220,5,3,2015Q3,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
02,14589,3310,5,4.5,2015Q3,2,,,3,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
06,14596,3330,5,1.5,2015Q3,2,3,3,3,3,3,3,2,2,1,1,1,1,3,3,FALSE,FALSE,FALSE,FALSE
05,14602,3310,5,4.5,2015Q3,2,3,2,3,2,3,2,2,2,1,2,1,2,3,1,FALSE,FALSE,FALSE,FALSE
03,14605,3330,2,0.150000006,2015Q3,2,3,1,3,2,3,2,2,2,2,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE
06,14610,3310,2,0.450000018,2015Q3,,1,1,1,1,1,1,2,2,1,2,1,2,2,2,FALSE,FALSE,FALSE,FALSE
01,14619,3160,5,1.74000001,2015Q3,,3,3,3,3,3,3,2,2,1,2,1,2,3,2,FALSE,FALSE,FALSE,FALSE
06,15296,3240,9,35,2015Q3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE
01,15317,3230,9,140,2015Q3,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,FALSE,FALSE,FALSE,FALSE
01,15321,3120,9,82.59999847,2015Q3,1,2,2,2,1,3,1,2,1,1,1,3,1,2,2,FALSE,FALSE,FALSE,FALSE
06,15325,3120,4,1.769999981,2015Q3,2,3,2,3,2,3,2,2,2,1,1,2,,3,3,FALSE,FALSE,FALSE,FALSE
06,15354,3330,9,35,2015Q3,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,FALSE,FALSE,FALSE,FALSE
01,15363,3230,9,140,2015Q3,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
06,15405,3230,8,60,2015Q3,2,2,3,1,2,1,1,3,3,1,1,1,1,1,3,FALSE,FALSE,FALSE,FALSE
01,15470,3130,7,8.699999809,2015Q3,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
05,15492,3120,4,1.769999981,2015Q3,2,3,2,3,3,3,3,3,3,2,1,2,1,3,2,TRUE,FALSE,FALSE,FALSE
03,31477,3310,5,4.5,2015Q3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,FALSE,FALSE,FALSE,FALSE
06,33127,3140,5,1.74000001,2015Q3,1,2,2,2,2,3,2,2,2,1,3,1,1,2,2,FALSE,FALSE,FALSE,FALSE
02,33362,3310,5,4.5,2015Q3,2,3,3,3,3,3,3,2,2,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
01,35995,3160,3,0.405999988,2015Q3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE
06,36003,3330,5,1.5,2015Q3,2,2,,2,,2,,2,,2,,2,,2,1,FALSE,FALSE,FALSE,FALSE
