Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Dag,Q1AX,Q1PX,Q3A,Q3P,Q3AX,Q3PX,Q4AX,Q4PX,Q6,Q7,Q6bX,Q6cXi,Q6cXii,Q8,Q10,Q6eX,Q9,Q7aX,Q7bX,Q7cX,Q7dX,Q1,Q2A,Q2P
2,34876,5000,5,5,2001Q1,15,2,1,2,1,3,3,3,3,1,3,3,,,3,3,3,2,1,2,1,1,1,2,1
3,34891,5000,2,2,2001Q1,15,3,3,3,3,3,3,3,3,3,3,3,,,3,3,2,1,1,2,2,2,2,3,3
5,34890,5000,6,6,2001Q1,15,3,1,3,1,3,1,3,1,,1,1,,,1,1,2,2,1,1,1,1,1,2,1
2,34915,5000,2,2,2001Q1,15,2,1,2,1,3,1,3,1,2,3,2,,,2,2,1,1,2,1,1,1,2,1,1
5,80735,5010,1,1,2001Q1,15,3,2,3,2,3,2,3,2,1,1,1,,,2,1,1,1,,,,,2,3,3
3,97256,5010,6,6,2001Q1,15,3,2,3,2,3,2,3,2,1,2,1,,,2,2,2,1,1,1,1,1,2,2,2
1,97100,5010,9,9,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,3,2,1,1,1,1,1,2,3,3
2,31567,5010,7,7,2001Q1,15,3,3,3,3,2,2,2,2,1,3,3,,,2,1,1,1,1,1,1,1,2,3,3
2,50544,5010,9,9,2001Q1,15,3,3,3,3,3,3,3,3,1,3,3,,,3,1,1,3,1,2,1,1,2,3,3
9,33140,5010,4,4,2001Q1,15,2,2,2,2,2,2,2,2,,3,3,,,3,2,1,2,1,1,1,1,2,2,2
6,41562,5010,9,9,2001Q1,15,1,1,1,1,1,1,1,1,,2,1,,,2,2,1,2,1,1,1,1,1,1,
6,97358,5010,9,9,2001Q1,15,3,3,3,3,3,3,3,3,1,1,2,,,3,3,3,1,1,1,1,2,,3,
5,90342,5010,1,1,2001Q1,15,1,2,1,2,3,2,2,2,,3,3,,,3,3,3,2,1,1,1,1,1,1,2
