Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
6,52201,3330,1,0.050000001,14Q4,2,3,2,3,2,3,2,2,2,1,1,1,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,37377,3330,8,15,14Q4,1,1,2,1,2,1,2,2,2,2,1,1,2,1,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,13808,3330,7,7.5,14Q4,1,1,,1,,1,,2,,1,,2,,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
5,37464,3310,7,22.5,14Q4,1,3,2,2,2,2,2,3,3,2,2,2,2,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
1,14267,3310,8,45,14Q4,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
5,97283,3220,7,15,14Q4,1,3,1,2,1,2,1,1,2,1,1,1,1,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
2,51538,3230,6,14,14Q4,,2,2,1,2,1,2,2,2,2,2,2,2,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
1,37445,3310,9,35,07Q2,1,1,,1,,1,,1,,2,,2,,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37269,3370,1,0.050000001,05Q3,1,1,1,1,1,1,1,1,1,3,2,3,2,1,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
6,37406,3310,6,3.5,07Q1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,51265,3120,6,5.599999905,03Q4,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,52107,3340,6,3.5,06Q3,2,3,3,3,3,3,3,3,2,1,2,3,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
9,51865,3310,1,0.059999999,02Q1,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,97362,3310,5,4.5,07Q1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
2,14269,3230,9,140,12Q4,1,3,1,2,1,3,1,2,1,2,2,2,2,1,2,,,,TRUE,TRUE,FALSE,FALSE,FALSE
1,10926,3310,6,10.5,08Q4,1,2,2,2,2,2,2,3,1,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37682,3310,6,10.5,09Q1,1,1,,1,,1,,2,,1,,1,,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,37462,3220,5,3,14Q4,2,3,3,2,3,3,3,3,3,1,1,3,3,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37489,3330,4,0.75,14Q4,2,2,,2,3,2,3,2,3,2,3,2,3,2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,52037,3330,6,3.5,14Q4,2,2,,2,,2,,3,,2,,3,,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,11139,3210,1,0.050000001,14Q4,1,1,,1,2,1,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,37391,3330,1,0.050000001,14Q4,2,3,2,2,2,2,2,2,2,2,2,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96925,3310,5,4.5,14Q4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13752,3230,9,140,14Q4,1,2,2,2,3,2,3,2,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,37483,3220,5,3,14Q4,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,13801,3310,5,4.5,14Q4,,,1,3,,3,1,2,2,1,1,3,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13688,3310,8,45,14Q4,2,3,3,3,3,3,3,3,3,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37509,3160,9,40.59999847,14Q4,1,1,2,1,1,1,1,1,1,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13032,3330,2,0.150000006,14Q4,2,,,2,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13293,3310,7,22.5,14Q4,1,,,1,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13869,3160,8,17.39999962,14Q4,1,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13959,3140,1,0.057999998,14Q4,2,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13982,3230,1,0.200000003,14Q4,1,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14596,3330,5,1.5,14Q4,2,,,2,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14609,3310,5,4.5,14Q4,2,,,2,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,36003,3330,5,1.5,14Q4,2,,,2,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,36030,3330,8,15,14Q4,1,,,2,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,36100,3310,1,0.150000006,14Q4,2,,,2,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,36136,3140,5,1.74000001,14Q4,1,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37408,3220,5,3,14Q4,1,,,1,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37428,3220,6,7,14Q4,2,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,51047,3110,3,0.405999988,14Q4,2,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,51299,3160,1,0.057999998,14Q4,2,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96625,3310,3,1.050000072,14Q4,2,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96676,3110,5,1.74000001,14Q4,2,,,3,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96776,3330,5,1.5,14Q4,2,,,1,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14589,3310,5,4.5,14Q4,2,3,2,3,2,3,2,3,2,1,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13773,3130,5,1.74000001,14Q4,2,2,3,1,3,2,2,2,2,3,3,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
