"","Date","Datum","Obs","Q1","Q2A","Q2P","Q3A","Q3P","Q4A","Q4P","Q5A","Q5P","Q6A","Q6P","Q7A","Q7P","Q8","Q9"
"1","1992Q2",1992-06-30,320,24.5010758472297,-59.9200708097524,-26.4315408341156,4.92898241660966,1.02678321286491,-19.0074906367041,-1.36423597775811,-48.421052631579,NA,NA,-3.95447444766793,NA,-6.67948791549458,NA,24.865227303205
"2","1992Q3",1992-09-30,313,5.46325183196692,-77.5707134047118,-30.424909792211,-19.878127404696,-0.0510698614860287,-29.5876479779655,-20.4387699576625,-39.2191015313158,NA,NA,-21.522333519068,NA,-19.8960501461795,NA,54.47879611288
"3","1992Q4",1992-12-31,NA,10.4629583492579,-58.1502959483835,-22.9931174778897,-6.67341755010393,7.91163027005788,-11.2762191146163,-0.96834593333946,-41.9430918480304,NA,NA,-20.8629722255327,NA,-15.1351018418259,NA,46.4855864158767
"4","1993Q1",1993-03-31,335,15.462664866549,-38.7298784920553,-15.5613251635684,6.53129230448818,15.8743304016018,7.03520974873288,18.5020780909836,-44.667082164745,NA,NA,-20.2036109319974,NA,-10.3741535374724,NA,38.4923767188733
"5","1993Q2",1993-06-30,244,27.8595851379075,-38.3441434566959,-0.730947496390852,-12.0861932819049,-15.7476841640935,-10.5826017557861,-16.504810103497,-35.6690605973186,NA,NA,0.587803085966201,NA,-15.2536911734046,NA,39.1035666023899
"6","1993Q3",1993-09-30,NA,28.9328791352674,-35.864855494592,-3.82480230130811,-8.46246424866021,0.659756570945742,-29.4239036176191,-19.2087663437922,-36.2755768820678,NA,NA,-15.9950940003834,NA,-19.402473457317,NA,39.5661872773255
"7","1993Q4",1993-12-31,249,30.0061731326274,-33.3855675324881,-6.91865710622537,-4.83873521541555,17.067197305985,-48.2652054794521,-21.9127225840873,-36.882093166817,NA,NA,-32.577991086733,NA,-23.5512557412294,NA,40.0288079522611
"8","1994Q1",1994-03-31,278,10.8562718551063,-9.86231130553265,1.16613361124088,9.82497082847141,29.8459996530655,15.3535148313694,14.743387335746,-20.0993223134569,NA,NA,29.5946979352536,NA,30.2622051145242,NA,27.6973000107569
"9","1994Q2",1994-06-30,237,66.5474122959361,-12.4884960669572,13.6935873170223,4.57785659642534,54.1262927643571,17.2863679047372,50.0269508251099,-23.9403358280227,NA,NA,12.4492881906026,NA,14.4140322402154,NA,14.3620084821195
"10","1994Q3",1994-09-30,275,38.3379888268156,-2.2086005281026,5.23198792908336,22.5915929027905,13.7113422724631,23.0994406283512,30.382148342217,-24.4885634483279,NA,NA,36.5799737209836,NA,32.9935469758285,NA,23.2016153381643
"11","1994Q4",1994-12-31,269,59.8860106161787,37.1311936248747,58.9185753746119,71.8406155806602,64.6259987456028,64.7926584815836,34.3516783638731,-24.8006067426726,NA,NA,44.79143150977,NA,49.461456182682,NA,45.9272139498433
"12","1995Q1",1995-03-31,249,59.7448365080073,34.5002898809258,34.34420015163,64.7717484926787,66.2462829226848,64.5128722867239,63.9638342595525,37.5234186814167,NA,NA,52.6380902197072,NA,44.521154588604,NA,13.3415096443305
"13","1995Q2",1995-06-30,208,65.0236554986965,37.1729265231245,24.6618357487923,55.1255510363136,75.7822210213456,48.3235591506572,68.6917813865304,29.0666795422722,NA,NA,32.8021978021978,NA,32.407127755965,NA,20.3598164694518
"14","1995Q3",1995-09-30,187,57.0851964702624,-6.93179117483958,16.491492484036,23.7163717165304,18.9853884361287,-17.564723216165,-15.747082351652,-6.51192268082072,NA,NA,27.9172938287253,NA,22.5173405515141,NA,5.36718688109007
"15","1995Q4",1995-12-31,221,68.8519855595668,30.5888295569346,36.3953432433733,75.2408941992677,49.7465835212949,75.9882150748834,48.8462592491094,26.1774185789195,NA,NA,35.676143743686,NA,25.576081204599,NA,34.1463414634146
"16","1996Q1",1996-03-31,179,52.7786936293366,42.6895008984561,33.4762061765029,56.8997763027614,71.6220940395036,32.7013586715212,74.3238822246456,-2.21269736601092,NA,NA,54.7129721214785,NA,55.3398772103967,NA,19.375755577536
"17","1996Q2",1996-06-30,189,14.764393821189,-29.2771366188397,-26.2203680598877,28.6200555577292,3.52984284667372,1.30789424339021,-32.4708863226624,-13.73986275733,NA,NA,77.3471615720524,NA,77.0664379288833,NA,47.5280723643169
"18","1996Q3",1996-09-30,105,15.1051272593139,-71.5510881593508,-21.1914422722243,-0.706309057936432,-42.1737899801868,-57.9346092503987,-38.4367756889003,-6.17853190704537,NA,NA,54.3157506455183,NA,56.9064349112426,NA,6.51051272593139
"19","1996Q4",1996-12-31,187,27.7821522309711,-23.6154855643045,-23.2972440944882,22.5576853047307,-4.24960266404299,-0.961658031088083,-9.63241436925647,-34.4225721784777,NA,NA,79.9865365196903,NA,69.3274278215223,NA,17.7230971128609
"20","1997Q1",1997-03-31,177,36.2159064090894,-32.8958880139983,-6.71269787807343,-6.72457949747352,1.88147133475686,-24.0776783011115,-1.81586911706654,-3.58705161854768,NA,NA,49.9091459721381,NA,51.2282118581331,NA,46.6754155730534
"21","1997Q2",1997-06-30,159,37.8953650288442,-5.47401824672749,-22.2183657278858,25.2140581441657,9.91128785561334,9.41810483094887,6.45801627737709,-7.83846802599593,NA,NA,59.8770329234431,NA,21.1027370091234,NA,37.3016660055534
"22","1997Q3",1997-09-30,167,50.2909683426443,-34.4390130353817,5.46147579143389,47.0159904465092,51.9837678451523,57.4032108774058,48.4739850789652,4.72660678468649,NA,NA,56.1801675977654,NA,48.6382681564246,NA,30.906078311677
