Date,Total_SARB,Total_StatsSA,Hardware,NonD,Semi,Durable,Other_Durables
2006/12/31,10.80034423,10.84940446,16.38710601,7.439187257,24.39128774,14.86462104,13.96848335
2007/03/31,9.775708845,9.767223894,17.60311144,7.723960851,24.67437576,16.24945731,15.19942123
2007/06/30,9.304240428,9.280686255,8.68876646,9.254828216,21.25989633,5.435550574,2.888328753
2007/09/30,5.553351845,5.526037591,6.907829128,4.091589863,21.36223143,-0.93269233,-6.953570442
2007/12/31,2.330097087,2.348600919,0.3754982,1.59847819,20.70403538,-7.824442061,-12.75337053
2008/03/31,2.313030069,2.252714999,60.0895732,27.10369667,7.268342373,23.13689567,-6.125571239
2008/06/30,0.941619586,0.939484425,72.65989966,22.7937356,5.475633481,31.9031184,-1.807933775
2008/09/30,-0.67643743,-0.653118576,53.03655445,23.10445633,-1.930310366,23.28244067,-2.970122085
2008/12/31,-0.189753321,-0.259344613,52.70789676,26.86410748,-2.516069369,17.32516788,-7.143605976
2009/03/31,-1.996985682,-1.937567277,-14.48604993,-0.239294671,-1.331764635,-11.77400976,-8.111516117
2009/06/30,-5,-4.970837666,-22.52155172,-2.339199143,-2.874063249,-18.25808284,-12.0572416
2009/09/30,-3.102534998,-3.103064432,-19.04052232,-0.079317122,-1.917559907,-15.15131379,-9.739091689
2009/12/31,-2.965779468,-2.926036126,-16.68679406,-0.776195098,-3.584487536,-11.48712623,-5.573604947
2010/03/31,1.307189542,1.313242191,-12.98188375,2.113836641,7.42785511,-6.721321351,1.146780864
2010/06/30,5.813040063,5.765087306,-3.068497914,5.604285988,6.530541546,4.151740642,13.4034055
2010/09/30,6.716126513,6.720457356,1.174614306,6.107005413,7.792945752,7.318574142,14.98743302
2010/12/31,7.601880878,7.607125662,7.818894952,6.929082693,7.997243571,12.56053655,17.31848492
2011/03/31,6.110056926,6.119286357,14.72126295,4.910346138,4.616952673,12.87444468,10.87762698
2011/06/30,4.862657758,4.882750998,1.86530356,4.642424579,4.872505367,4.537977842,7.465183432
2011/09/30,5.708013172,5.688107088,8.871945937,4.738343532,6.779581268,10.69535447,12.6979237
2011/12/31,7.647487254,7.627690078,10.02767892,6.445772219,10.96922303,10.27794942,10.50874584
2012/03/31,5.472103004,5.385253205,2.674808635,6.275169144,5.622025554,5.387036235,8.421209555
2012/06/30,5.699115044,5.70870122,7.659124923,4.303677701,9.665989443,5.869125374,4.010813455
2012/09/30,5.192107996,5.188455985,5.077192424,4.013608101,8.986578452,4.505224279,3.898382505
2012/12/31,2.401894452,2.43282647,2.609070653,1.282580169,3.526141122,3.985979953,5.250221521
2013/03/31,3.255340793,3.302781382,2.027140224,2.158505407,7.529812163,-0.016307917,-2.181156516
2013/06/30,3.181513731,3.201293733,6.059367078,1.608223101,8.20241856,3.072561281,-0.136995244
2013/09/30,1.678183613,1.712147361,5.85428658,0.240264048,8.123269932,1.616068925,-2.931576095
2013/12/31,2.576808722,2.53681178,7.312972822,2.08848501,5.85065917,-0.292884824,-7.101137432
2014/03/31,2.298850575,2.3190251,4.753694581,0.693391757,7.884951601,3.380512004,1.863163354
2014/06/30,1.363193768,1.341780541,1.480339244,1.137584154,2.099997359,0.507991973,-0.601703578
2014/09/30,2.071197411,2.026599468,3.455677184,1.794722961,1.349764159,3.332601066,3.188586122
2014/12/31,1.706924316,1.729270495,1.475195822,1.658609967,2.899757991,1.809839875,2.155868804
2015/03/31,2.696629213,2.709759133,8.66839094,1.569141983,3.665391903,5.495312295,1.889607858
2015/06/30,2.945885367,2.961160744,5.493086157,2.573919067,2.649742591,4.657222513,3.683307972
2015/09/30,3.043753963,3.060474,3.174273859,3.13454383,4.54685178,1.81385208,0.217862637
2015/12/31,3.989867004,4.003638675,3.865946224,3.803678812,5.56340758,2.248185374,0.586532912
2016/03/31,2.719599875,2.665310935,0.555355211,3.628202453,3.390502995,1.40488512,2.434467989
2016/06/30,2.270606532,2.275822348,4.386028088,2.308647691,2.409638377,1.658642926,-1.574664804
2016/09/30,0.984615385,0.97619428,2.459950399,1.614494617,0.204643082,-0.991735748,-5.160564186
2016/12/31,0.913520097,0.88044681,4.279432712,-0.022613331,5.18430325,1.155496412,-2.157808366
2017/03/31,0,-0.258663379,0.107588581,0.522820431,-6.56883228,-0.526517503,-1.280920911
2017/06/30,0,-2.045187809,-4.719194149,3.622807644,0.77870896,-2.338125127,0.655573115
