Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6,Q7,Q8,Q9,Q10,Q12,Q1AX,Q1PX,Q3AX,Q3PX,Q4AX,Q4PX,Q6bX,Q6cXi,Q6cXii,Q6eX,Q7aX,Q7bX,Q7cX,Q7dX,Latecomer,NewRecruit,WrongClassif,Duplicate
1,31063,5000,1,100,1993Q2,2,3,2,2,2,,,,,2,3,3,3,3,,2,2,3,2,,,3,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,38010,5010,1,100,1993Q2,2,3,2,2,2,,,,,1,3,3,1,3,,3,2,1,2,2,2,3,3,3,2,1,1,1,,FALSE,FALSE,FALSE,FALSE
1,80628,6000,1,100,1993Q2,2,2,2,,,,,,,1,3,3,1,,,2,2,,,,,3,3,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80000,6010,1,100,1993Q2,2,3,2,3,3,,,,,1,2,2,1,,,3,3,3,3,3,3,2,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
1,30149,5010,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,2,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,44026,5010,1,100,1993Q2,2,3,3,,,,,,,1,3,,1,3,,2,3,,,3,,3,3,3,3,,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31405,5010,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
1,44114,5000,1,100,1993Q2,2,3,3,2,2,,,,,2,3,3,1,,,2,2,2,2,2,2,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31047,5000,4,100,1993Q2,1,2,2,2,2,,,,,1,3,,3,,,2,2,2,2,2,,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,40936,5000,1,100,1993Q2,1,2,,,,,,,,,3,3,3,3,,1,2,2,,,2,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,43149,5000,1,100,1993Q2,2,3,2,3,3,,,,,1,3,3,1,,,3,3,3,,3,,3,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31845,6010,1,100,1993Q2,2,3,2,2,,,,,,1,3,3,1,3,,3,,2,,2,,3,3,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,40907,5000,1,100,1993Q2,2,3,3,,,,,,,1,3,3,1,3,,3,3,3,3,,,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31602,5000,1,100,1993Q2,2,3,3,,,,,,,1,,,,,,3,3,,,,,,,1,,,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80800,5010,1,100,1993Q2,2,2,,2,2,,,,,1,3,3,2,3,,,,,,2,,3,3,2,1,,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31478,5010,1,100,1993Q2,2,1,1,1,1,,,,,1,3,3,1,3,,1,1,1,1,1,1,3,3,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31880,6000,1,100,1993Q2,,3,2,3,3,,,,,1,2,3,1,3,,3,3,3,2,3,2,2,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
1,31272,5010,8,100,1993Q2,1,1,1,2,1,,,,,1,3,3,3,3,,2,2,1,2,1,2,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,81015,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,2,3,2,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80576,6010,1,100,1993Q2,,2,2,2,2,,,,,1,2,3,2,2,,2,2,1,,1,,2,2,3,1,1,,1,1,FALSE,FALSE,FALSE,FALSE
1,90075,5000,1,100,1993Q2,2,3,3,3,2,,,,,1,2,2,1,2,,3,2,3,2,3,2,2,2,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,44118,6000,1,100,1993Q2,,3,3,3,3,,,,,1,2,3,1,3,,3,3,3,,3,,2,3,3,2,,,,2,FALSE,FALSE,FALSE,FALSE
1,31092,5000,1,100,1993Q2,1,2,2,2,2,,,,,2,3,3,3,3,,2,2,2,2,2,2,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80422,6000,1,100,1993Q2,2,3,2,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,2,3,3,,1,1,1,FALSE,FALSE,FALSE,FALSE
1,51902,5000,1,100,1993Q2,,3,2,3,2,,,,,1,3,3,1,3,,3,2,3,3,3,3,3,3,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31435,5010,5,100,1993Q2,2,3,2,3,2,,,,,,3,3,1,3,,3,2,3,,3,,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30480,6000,1,100,1993Q2,2,3,3,3,3,,,,,3,2,3,1,3,,3,3,3,3,3,3,2,2,2,2,,,,,FALSE,FALSE,FALSE,FALSE
1,31558,5010,1,100,1993Q2,2,3,1,3,3,,,,,1,3,3,1,3,,3,3,2,3,2,3,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80001,5010,1,100,1993Q2,2,3,2,1,2,,,,,1,2,3,1,3,,1,2,1,1,1,1,3,2,3,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30988,5010,1,100,1993Q2,2,3,2,3,3,,,,,1,3,3,3,3,,3,3,3,3,,,3,3,3,,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30342,5000,1,100,1993Q2,2,2,3,2,2,,,,,1,3,3,3,3,,2,2,2,2,2,2,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30060,5000,1,100,1993Q2,2,3,3,2,3,,,,,1,2,3,2,3,,2,3,2,3,2,3,3,1,2,2,1,1,1,2,FALSE,FALSE,FALSE,FALSE
1,31592,6000,1,100,1993Q2,1,3,3,2,3,,,,,1,3,3,1,3,,2,3,2,,2,,3,3,2,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31253,5000,1,100,1993Q2,2,2,1,1,2,,,,,2,3,3,1,3,,2,2,2,2,2,2,3,2,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31508,5010,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,2,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,44117,5010,1,100,1993Q2,2,3,3,3,3,,,,,2,3,3,1,3,,3,3,3,3,3,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,74005,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,74006,5010,1,100,1993Q2,2,3,3,3,2,,,,,1,3,3,1,3,,3,2,2,2,2,2,3,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30163,6000,1,100,1993Q2,,1,,1,1,,,,,2,3,,,,,1,1,1,1,1,1,,,,,,,,1,FALSE,FALSE,FALSE,FALSE
1,80493,5000,1,100,1993Q2,2,3,2,3,2,,,,,1,3,3,1,3,,3,2,3,2,3,2,3,2,3,3,1,1,1,2,FALSE,FALSE,FALSE,FALSE
1,40331,5000,1,100,1993Q2,2,3,2,3,3,,,,,2,3,3,1,3,,3,3,3,3,,,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,32047,6010,1,100,1993Q2,2,2,2,3,3,,,,,2,3,3,1,3,,2,2,2,2,3,3,3,3,3,3,,,,1,FALSE,FALSE,FALSE,FALSE
1,30955,5000,1,100,1993Q2,2,3,3,3,2,,,,,1,,3,3,3,,3,2,3,,3,,,3,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30845,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,2,3,2,,,,,FALSE,FALSE,FALSE,FALSE
1,80104,5010,1,100,1993Q2,2,3,3,3,3,,,,,3,3,3,3,3,,3,3,,,,,3,3,1,2,1,1,1,,FALSE,FALSE,FALSE,FALSE
1,80137,5000,1,100,1993Q2,1,3,2,3,2,,,,,1,3,3,2,3,,3,2,2,2,2,2,3,3,3,1,1,,1,1,FALSE,FALSE,FALSE,FALSE
1,44025,5000,1,100,1993Q2,1,2,3,,,,,,,1,3,3,2,3,,3,3,3,3,3,3,3,3,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30018,5000,1,100,1993Q2,2,3,2,2,2,,,,,1,3,3,1,3,,2,2,2,2,2,2,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80052,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31554,5000,4,100,1993Q2,1,3,3,3,3,,,,,1,3,3,,3,,3,3,3,3,3,3,3,3,1,1,1,1,1,,FALSE,FALSE,FALSE,FALSE
1,31562,5010,1,100,1993Q2,2,3,2,3,3,,,,,2,3,3,1,3,,3,3,3,3,3,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31523,5010,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,2,3,2,3,2,2,2,2,1,1,1,2,FALSE,FALSE,FALSE,FALSE
1,81009,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,,,3,3,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30935,5010,1,100,1993Q2,1,2,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,2,3,3,2,,,,,FALSE,FALSE,FALSE,FALSE
1,30063,5000,1,100,1993Q2,2,3,2,3,3,,,,,1,3,3,1,3,,3,3,3,,3,,3,3,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30066,6010,1,100,1993Q2,1,1,1,1,1,,,,,2,3,3,1,3,,1,1,2,2,2,2,3,3,1,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31731,6000,1,100,1993Q2,1,2,2,2,2,,,,,1,3,3,3,3,,1,2,1,,2,,3,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
1,30124,6000,1,100,1993Q2,2,3,3,,,,,,,1,3,3,1,3,,3,2,2,3,3,3,3,1,3,2,,,,,FALSE,FALSE,FALSE,FALSE
1,38022,6010,1,100,1993Q2,1,2,,,,,,,,,2,3,2,3,,1,1,,,,,2,2,3,2,,,,,FALSE,FALSE,FALSE,FALSE
1,30137,6000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,,3,,3,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
1,53046,5000,1,100,1993Q2,2,3,3,3,3,,,,,2,1,2,1,2,,3,3,3,3,3,3,1,1,1,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,44085,5000,1,100,1993Q2,2,2,1,1,1,,,,,1,3,3,2,,,1,1,2,2,2,2,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31810,6010,1,100,1993Q2,2,3,3,1,3,,,,,1,3,3,1,3,,1,3,3,3,3,3,3,3,1,1,,,,,FALSE,FALSE,FALSE,FALSE
1,31905,5000,1,100,1993Q2,2,3,3,3,2,,,,,1,3,3,1,3,,3,2,3,2,2,2,3,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
1,31063,5000,1,100,1993Q2,2,3,2,2,2,,,,,2,3,3,3,3,,2,2,3,2,,,3,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,44001,5010,1,100,1993Q2,2,2,,2,2,,,,,1,3,3,,3,,2,2,3,2,3,2,3,3,2,1,,,,,FALSE,FALSE,FALSE,FALSE
1,80507,6010,1,100,1993Q2,2,3,3,1,3,,,,,1,3,,1,3,,1,3,1,1,1,1,3,3,2,1,,,,,FALSE,FALSE,FALSE,FALSE
1,90061,6010,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,,3,,3,3,3,3,3,3,3,2,3,2,,,,,FALSE,FALSE,FALSE,FALSE
1,80121,5000,1,100,1993Q2,2,3,3,3,3,,,,,,3,3,1,3,,3,3,1,3,1,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31222,5000,1,100,1993Q2,2,3,1,3,1,,,,,2,3,3,1,3,,3,1,3,1,3,1,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31257,6000,1,100,1993Q2,2,2,2,2,2,,,,,2,2,3,1,3,,2,2,2,2,2,2,2,3,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31229,5000,3,100,1993Q2,2,3,2,3,2,,,,,1,3,3,1,3,,3,2,2,2,2,2,3,3,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31921,6010,1,100,1993Q2,2,2,1,1,1,,,,,2,3,3,1,3,,1,1,1,1,1,1,3,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31886,6000,1,100,1993Q2,,3,3,3,2,,,,,1,3,3,1,3,,3,2,3,2,3,2,3,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
1,42217,5010,1,100,1993Q2,2,3,2,3,2,,,,,,3,3,1,3,,3,2,3,2,3,2,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30497,5010,1,100,1993Q2,2,3,,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,2,3,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80419,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,42803,6000,1,100,1993Q2,2,3,3,3,3,,,,,1,2,3,1,3,,3,3,3,3,3,3,2,1,1,1,,,,,FALSE,FALSE,FALSE,FALSE
1,41742,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,3,3,,3,3,3,3,,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,31055,5000,1,100,1993Q2,2,3,1,3,2,,,,,2,3,3,1,3,,3,2,3,1,3,1,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80808,5010,1,100,1993Q2,1,2,2,3,3,,,,,2,2,3,1,3,,3,3,1,1,1,1,2,2,2,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,74002,5010,1,100,1993Q2,2,3,3,3,2,,,,,1,3,3,1,3,,3,2,3,3,3,3,3,3,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30151,6000,1,100,1993Q2,,3,,3,1,,,,,2,3,3,3,2,,3,1,1,1,1,1,,3,3,,,,,,FALSE,FALSE,FALSE,FALSE
1,50601,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30413,6010,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,,,1,,,,2,FALSE,FALSE,FALSE,FALSE
1,30208,6010,1,100,1993Q2,2,3,2,3,2,,,,,1,3,3,1,3,,3,2,3,2,3,2,3,3,1,1,,,,,FALSE,FALSE,FALSE,FALSE
1,31821,6010,1,100,1993Q2,2,2,3,3,2,,,,,1,2,2,,2,,3,2,2,2,3,2,1,,,,,,,,FALSE,FALSE,FALSE,FALSE
1,90042,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,2,3,,3,3,2,,2,,2,2,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30830,6010,1,100,1993Q2,1,3,3,2,2,,,,,1,2,3,2,3,,2,2,1,1,1,1,2,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
1,32027,6000,1,100,1993Q2,,3,3,3,3,,,,,1,3,3,3,3,,3,3,3,3,3,3,3,3,3,2,,1,,,FALSE,FALSE,FALSE,FALSE
1,40612,5000,1,100,1993Q2,2,3,2,3,1,,,,,1,3,3,2,3,,3,1,2,2,2,2,3,3,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,30085,6000,1,100,1993Q2,,3,2,3,3,,,,,1,,,1,,,3,3,2,2,2,2,,,,,,,,,FALSE,FALSE,FALSE,FALSE
1,90002,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80420,6010,1,100,1993Q2,,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,,3,,3,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
1,80423,5010,1,100,1993Q2,2,3,2,3,2,,,,,1,3,3,1,3,,3,2,1,1,1,1,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80074,5010,1,100,1993Q2,2,3,1,3,1,,,,,2,3,3,1,3,,3,1,2,,2,,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,53397,5000,1,100,1993Q2,2,3,3,3,3,,,,,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,2,2,2,2,FALSE,FALSE,FALSE,FALSE
1,80498,6000,1,100,1993Q2,2,3,3,3,,,,,,1,3,,1,3,,3,3,1,,1,,3,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
1,31266,6000,1,100,1993Q2,2,3,2,3,2,,,,,1,1,3,1,2,,3,2,1,2,1,2,3,2,1,1,,,,,FALSE,FALSE,FALSE,FALSE
1,31146,6010,1,100,1993Q2,2,3,3,3,2,,,,,2,3,3,1,3,,3,2,3,,3,,3,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
1,31671,6000,1,100,1993Q2,2,3,3,3,3,,,,,2,2,3,2,3,,1,1,1,,2,,,3,3,2,,,,1,FALSE,FALSE,FALSE,FALSE
1,31443,5010,1,100,1993Q2,2,3,2,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,42479,5010,1,100,1993Q2,2,3,3,2,2,,,,,1,1,3,2,3,,2,2,2,2,2,2,2,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,80555,5000,1,100,1993Q2,2,3,3,3,3,,,,,2,3,3,1,3,,3,3,3,3,3,3,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,38008,5000,2,100,1993Q2,2,3,3,2,3,,,,,1,3,3,1,3,,2,3,3,3,3,3,3,3,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
1,42159,6010,1,100,1993Q2,2,3,2,3,3,,,,,1,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,,,1,,FALSE,FALSE,FALSE,FALSE
1,80999,5000,1,100,1993Q2,2,3,2,1,1,,,,,1,1,3,2,3,,1,1,3,3,3,3,1,3,3,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE
1,31446,5010,1,100,1993Q2,2,3,1,3,1,,,,,1,2,3,1,3,,3,1,3,3,3,3,2,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
2,31243,5010,1,100,1993Q2,,2,,2,2,,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
2,41007,6000,1,100,1993Q2,2,3,2,3,3,,,,,2,2,2,2,2,,3,3,3,3,3,3,2,1,1,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
2,80017,6010,1,100,1993Q2,2,3,3,2,2,,,,,1,2,3,1,3,,3,3,1,1,2,2,2,1,1,1,1,2,1,1,FALSE,FALSE,FALSE,FALSE
2,80990,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,1,1,1,1,,3,3,3,3,3,3,1,3,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
2,80031,5000,1,100,1993Q2,1,2,2,1,,,,,,,2,2,1,2,,1,,2,,2,,1,2,2,2,,,,,FALSE,FALSE,FALSE,FALSE
2,52203,5010,1,100,1993Q2,,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
2,31743,6000,1,100,1993Q2,2,1,1,1,1,,,,,2,3,3,2,3,,1,1,3,3,3,3,3,3,1,2,,,,,FALSE,FALSE,FALSE,FALSE
2,41294,5000,1,100,1993Q2,2,3,3,3,3,,,,,2,3,3,3,3,,2,3,3,3,3,3,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
2,44121,6000,1,100,1993Q2,2,3,3,,,,,,,1,3,3,1,3,,2,3,2,3,2,3,3,2,3,3,,,,,FALSE,FALSE,FALSE,FALSE
3,80747,6010,1,100,1993Q2,2,3,3,3,3,,,,,,3,3,1,,,3,3,2,2,2,2,,3,3,3,1,,1,1,FALSE,FALSE,FALSE,FALSE
3,40190,5000,1,100,1993Q2,2,2,3,2,3,,,,,1,2,3,2,3,,2,3,2,3,2,3,2,2,3,3,,1,1,1,FALSE,FALSE,FALSE,FALSE
3,31422,5010,1,100,1993Q2,2,2,2,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
3,81372,6000,1,100,1993Q2,,3,3,3,3,,,,,1,3,3,2,3,,3,3,3,3,3,3,3,3,3,3,1,1,1,,FALSE,FALSE,FALSE,FALSE
3,40015,5010,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
3,31689,6000,1,100,1993Q2,,3,2,,,,,,,2,3,3,2,,,2,3,2,3,,,3,2,2,2,,,,2,FALSE,FALSE,FALSE,FALSE
3,30053,5010,1,100,1993Q2,2,2,2,3,2,,,,,1,3,3,1,3,,3,2,2,2,2,2,3,3,3,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
3,80068,5000,1,100,1993Q2,1,1,2,,,,,,,2,3,3,2,3,,2,2,2,2,,,3,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
3,81316,6010,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,3,2,,,,,FALSE,FALSE,FALSE,FALSE
3,31929,5010,1,100,1993Q2,2,3,2,3,3,,,,,2,2,3,1,3,,3,3,1,2,1,2,2,2,3,3,1,1,1,2,FALSE,FALSE,FALSE,FALSE
3,81272,5010,1,100,1993Q2,,3,2,2,3,,,,,1,3,3,,3,,2,3,2,,2,,3,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
3,80484,6010,1,100,1993Q2,2,3,3,3,2,,,,,1,2,3,1,3,,3,2,3,2,3,2,3,3,2,2,,,,,FALSE,FALSE,FALSE,FALSE
3,90275,6000,1,100,1993Q2,2,3,3,3,3,,,,,1,2,3,1,3,,3,3,3,3,3,3,2,2,3,3,,,,,FALSE,FALSE,FALSE,FALSE
3,31123,5000,4,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
3,31864,6010,1,100,1993Q2,2,3,3,3,3,,,,,1,,,1,,,3,3,3,3,3,3,,3,2,3,,,,,FALSE,FALSE,FALSE,FALSE
3,41415,6000,1,100,1993Q2,2,3,2,3,2,,,,,1,,,1,,,3,2,3,2,3,2,,,,,,,1,,FALSE,FALSE,FALSE,FALSE
4,90125,5000,1,100,1993Q2,2,2,2,,,,,,,,3,3,1,3,,2,,,,,,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
4,31024,6000,1,100,1993Q2,2,2,3,,,,,,,1,,,1,,,2,3,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
4,31474,5010,1,100,1993Q2,2,2,2,1,2,,,,,2,2,3,2,3,,1,2,2,2,2,2,2,2,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
4,90174,6010,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,2,3,,3,3,2,3,2,3,3,2,3,3,,,,,FALSE,FALSE,FALSE,FALSE
4,40073,5010,1,100,1993Q2,2,3,3,1,2,,,,,1,2,3,1,3,,1,2,3,2,2,2,3,3,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
4,31883,6010,1,100,1993Q2,2,3,3,3,2,,,,,1,3,3,2,3,,3,2,3,2,3,2,3,3,3,2,,,,,FALSE,FALSE,FALSE,FALSE
4,31349,5000,1,100,1993Q2,2,3,2,3,2,,,,,,3,3,1,3,,3,2,3,2,3,3,3,3,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
4,90116,5010,1,100,1993Q2,2,3,1,3,3,,,,,,3,3,2,,,3,3,,,,,3,2,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
4,31812,6010,1,100,1993Q2,,,,3,2,,,,,1,3,3,1,3,,3,2,3,1,3,1,3,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE
4,80037,5000,1,100,1993Q2,2,3,3,3,3,,,,,1,2,3,1,3,,3,3,2,,2,,2,3,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
4,80009,5010,1,100,1993Q2,,3,2,3,3,,,,,1,2,3,1,3,,3,3,3,3,3,3,3,3,1,1,,,,,FALSE,FALSE,FALSE,FALSE
4,80567,6000,1,100,1993Q2,,2,3,3,3,,,,,1,3,3,1,3,,3,3,2,,2,,3,3,3,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
4,31918,6000,1,100,1993Q2,2,3,1,1,1,,,,,1,3,3,1,3,,3,1,3,,3,,3,3,2,1,,,,,FALSE,FALSE,FALSE,FALSE
4,31108,5000,1,100,1993Q2,,3,3,,,,,,,1,3,3,1,3,,1,2,1,2,,,3,2,3,2,2,1,1,1,FALSE,FALSE,FALSE,FALSE
4,30098,5000,1,100,1993Q2,2,3,2,2,2,,,,,1,2,3,1,3,,3,3,2,2,,,2,3,1,1,,,,,FALSE,FALSE,FALSE,FALSE
4,40216,6010,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,3,3,3,3,2,3,2,1,,1,2,FALSE,FALSE,FALSE,FALSE
4,31166,6000,1,100,1993Q2,2,2,2,2,2,,,,,,3,3,1,3,,2,2,2,2,2,2,3,3,3,3,1,,1,1,FALSE,FALSE,FALSE,FALSE
4,80481,5000,1,100,1993Q2,2,3,1,,,,,,,2,3,3,1,3,,3,2,2,,2,,2,3,2,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
4,31355,5010,1,100,1993Q2,2,3,3,2,2,,,,,,3,,1,3,,3,3,2,3,2,3,3,2,1,1,,1,1,1,FALSE,FALSE,FALSE,FALSE
4,30145,6000,1,100,1993Q2,2,3,3,3,3,,,,,1,3,3,1,3,,3,3,3,,3,,3,2,3,1,1,,1,1,FALSE,FALSE,FALSE,FALSE
4,90206,5000,1,100,1993Q2,,2,2,,,,,,,,3,3,2,,,,,,,,,,3,3,3,1,,1,1,FALSE,FALSE,FALSE,FALSE
4,31127,5000,1,100,1993Q2,1,1,2,1,1,,,,,,2,3,3,3,,1,1,2,2,2,2,2,3,2,2,1,1,1,1,FALSE,FALSE,FALSE,FALSE
4,90218,5000,1,100,1993Q2,1,2,2,1,1,,,,,1,2,3,2,3,,1,1,1,1,1,1,3,2,3,3,1,1,1,1,FALSE,FALSE,FALSE,FALSE
