"";"Date";"w.Conf_cc.B";"w.Act_prod.B";"w.Conf_prod.B";"w.Act_GBC.B";"w.Conf_GBC.B";"w.Empl.B";"w.Uncert_fl.prod.B";"w.Uncert_fl.GBC.B";"w.Uncert_ee.prod.B";"w.Uncert_ee.GBC.B"
"32";"2001Q1";-0,461377870563674;-0,238558909444985;-0,0593471810089021;-0,257804632426989;-0,150700934579439;NA;0,862700639166602;0,790982752212836;0,955522736889125;0,782367847644739
"33";"2001Q2";-0,42743560312054;-0,443581615414787;-0,178033068383035;-0,376598101065531;-0,107574222347403;-0,405850032956819;0,765036072642581;0,765955053071811;0,864132548583528;0,815397455626349
"34";"2001Q3";-0,262523633418593;-0,222531736406099;-0,101075249068409;-0,201945884008885;-0,0756208149830968;-0,453237137516871;0,73625524485409;0,758641948113533;0,896624562122767;0,717051211462908
"35";"2001Q4";-0,352569158734126;-0,390992209792273;-0,328011703612734;-0,357849299613631;-0,293718694322519;-0,438409114320689;0,640223226661774;0,600279926528901;0,950637608108935;0,914182022478127
"36";"2002Q1";-0,212986734183095;-0,223214614668491;0,0690409732646481;-0,188665203767191;0,0693907175962218;-0,3989170752562;0,803905751312051;0,834736053572022;1,1096200944591;1,08671013168807
"37";"2002Q2";0,0260733215762727;-0,0871807334606119;0,0385901958795744;-0,0274644088672075;0,104586236005866;-0,241406849216732;0,694535593390561;0,707110107611268;1,04605617119929;1,18225803373675
"38";"2002Q3";0,064067063141963;-0,0962490366560454;0,0378476115512321;-0,00404941165411801;0,0842900585437285;-0,137872235640291;0,743144214886328;0,772564932282595;0,830473559332677;0,780277260875273
"39";"2002Q4";0,235277656468426;0,0890893944032174;0,0885878448299819;0,0350253379270593;0,0175854261271361;-0,0137621965051376;0,700641204135295;0,752218859969669;1,05269440322066;0,832278276260715
"40";"2003Q1";0,0655561377288103;0,0607995167233566;0,26425648263602;0,0145221645583318;0,30719719479306;-0,090268490182708;0,664808556497939;0,701640018140642;0,797032392772592;0,820266322571468
"41";"2003Q2";0,204888309545149;-0,114807772297465;0,099360025014691;-0,117203019324501;0,12178480874337;-0,156430186881106;0,729873177014858;0,754112872712535;1,0959487218735;1,05293725817716
"42";"2003Q3";0,18753230416768;0,0806032610019172;0,117548079409084;0,127589544593951;0,219453962758496;-0,0560650711414443;0,773123920523215;0,728998303742579;0,845853616578394;0,687195730978278
"43";"2003Q4";0,278540033188777;0,201700413947712;0,19086388296581;0,127101898479622;0,290322155351115;0,0135975089413872;0,681129947877391;0,594813374266379;0,93709741999684;0,772656686677769
"44";"2004Q1";0,653424900199565;0,36168592477792;0,541022233057054;0,137386048465484;0,514365963230715;0,0490917121470545;0,61702711534193;0,641785532018301;0,866561559852057;0,842897042734779
"45";"2004Q2";0,595453312283547;0,292650820305124;0,330530735474298;0,332304946273712;0,215831967008158;0,203579140624072;0,549944490093625;0,509372941884049;0,73334034192376;0,770683718353542
"46";"2004Q3";0,675648810732789;0,629325669852852;0,36509965076457;0,524325271641758;0,276573829877115;0,402529959408771;0,635168386725695;0,572292717379851;0,734518226355617;0,598071106557374
"47";"2004Q4";0,837243701899017;0,582224207029663;0,421157356121852;0,623976655573282;0,442002994011203;0,384476459755009;0,608824107405933;0,612369089438406;0,717601538413388;0,842348864910722
