Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Dag,Q3A,Q3P,Q4A,Q4P,Q9,Q4AX,Q5A,Q6AX,Q6P,Q7AX,Q7P,Q2A,Q1,Q2P
7,50472,2220,3,0.75000,2001Q1,25,2,2,2,,2,2,3,,1,,1,2,2,2
2,33378,2220,6,1.50000,2001Q1,25,2,2,3,3,1,2,2,,1,,1,3,2,3
5,50649,2140,3,0.33000,2001Q1,25,3,2,3,2,2,3,2,,2,,2,3,2,3
5,96446,2210,1,0.03000,2001Q1,25,3,3,3,,2,3,2,,3,,2,3,2,3
1,50195,2120,2,0.20000,2001Q1,25,3,3,3,3,1,3,2,,1,,1,3,2,2
2,96918,2240,5,0.25000,2001Q1,25,1,2,1,2,3,2,1,,1,,1,3,2,3
1,50261,2210,6,0.18000,2001Q1,25,1,2,1,2,1,2,1,,1,,1,2,1,1
1,96386,2110,6,0.99600,2001Q1,25,1,2,2,2,2,2,1,,1,,1,2,1,2
5,50226,2210,3,0.09000,2001Q1,25,3,3,3,3,2,3,3,,1,,1,2,2,2
4,50717,2210,3,0.09000,2001Q1,25,2,3,3,3,2,2,2,,1,,1,3,2,2
1,96753,2220,1,0.25000,2001Q1,25,1,1,,,3,1,2,,1,,1,3,1,3
5,33494,2270,3,0.60000,2001Q1,25,2,2,3,2,2,2,2,,2,,2,3,2,2
5,96671,2120,6,0.60000,2001Q1,25,2,2,2,2,1,2,3,,1,,1,2,2,2
5,33496,2270,3,0.60000,2001Q1,25,2,2,2,2,1,2,2,,1,,1,2,2,2
5,50590,2230,1,0.03000,2001Q1,25,2,2,2,2,2,2,2,,1,,1,2,2,2
5,50570,2240,7,0.35000,2001Q1,25,2,2,2,2,1,1,2,,1,,1,2,1,2
8,50056,2110,3,0.49714,2001Q1,25,2,1,2,1,2,2,2,,1,,2,2,2,1
6,50156,2120,6,0.60000,2001Q1,25,3,3,3,3,1,1,3,,2,,2,3,2,3
6,96571,2110,5,0.83000,2001Q1,25,3,,3,,2,1,3,,,,,3,,3
6,97154,2110,3,0.49714,2001Q1,25,3,2,3,2,2,2,2,,1,,1,2,1,2
6,96562,2110,6,0.99600,2001Q1,25,3,3,3,3,1,2,3,,3,,3,3,2,3
1,53184,2140,7,0.77000,2001Q1,25,2,2,2,2,2,3,3,,2,,2,2,2,2
6,50562,2240,9,0.45000,2001Q1,25,3,3,3,3,2,,3,,2,,2,3,2,3
6,96529,2140,3,0.33000,2001Q1,25,1,1,1,1,2,1,3,,1,,1,1,1,1
2,33247,2220,7,1.75000,2001Q1,25,3,3,3,3,2,2,2,,1,,1,3,2,3
2,33497,2140,3,0.33000,2001Q1,25,3,3,3,3,1,1,3,,2,,2,3,2,3
5,96678,2110,2,0.33333,2001Q1,25,2,2,3,2,2,1,2,,1,,2,3,2,2
2,97278,2120,4,0.40000,2001Q1,25,1,1,1,1,2,3,2,,1,,2,1,1,1
2,33226,2270,3,0.60000,2001Q1,25,1,2,1,2,2,1,2,,1,,1,2,1,2
5,33495,2270,3,0.60000,2001Q1,25,2,2,2,2,2,1,2,,1,,2,2,1,2
2,33201,2210,3,0.09000,2001Q1,25,3,3,3,3,2,2,2,,1,,2,3,2,3
6,50157,2120,7,0.70000,2001Q1,25,1,1,1,1,1,1,1,,1,,1,1,1,1
2,51198,2140,3,0.33000,2001Q1,25,2,2,2,2,2,2,2,,2,,2,2,2,2
2,97033,2120,2,0.20000,2001Q1,25,2,2,3,3,2,3,2,,1,,1,2,2,3
2,97063,2110,2,0.33333,2001Q1,25,2,2,2,2,2,1,2,,2,,2,2,2,2
5,50053,2110,3,0.49714,2001Q1,25,3,3,3,3,1,2,2,,1,,1,3,2,3
8,50333,2140,5,0.55000,2001Q1,25,1,1,1,1,1,3,3,,1,,1,2,2,1
1,50514,2230,5,0.15000,2001Q1,25,2,,3,,1,1,3,,1,,1,2,1,2
6,96853,2240,3,0.15000,2001Q1,25,3,3,3,3,2,2,3,,1,,2,3,2,3
6,31106,2220,1,0.25000,2001Q1,25,3,3,3,3,3,3,3,,1,,1,3,2,3
1,,2110,1,0.17000,2001Q1,25,1,2,2,2,2,3,1,,1,,3,2,2,3
1,96420,2270,1,0.20000,2001Q1,25,2,2,2,2,1,1,2,,2,,2,2,1,2
6,50627,2270,6,1.20000,2001Q1,25,3,3,3,3,1,2,3,,1,,1,3,2,3
5,33390,2220,9,2.25000,2001Q1,25,3,3,2,2,2,1,3,,1,,1,3,2,2
6,50227,2110,6,0.99600,2001Q1,25,3,1,3,1,1,3,2,,1,,,3,,1
6,96418,2120,2,0.20000,2001Q1,25,1,1,2,2,2,2,2,,1,,1,2,2,2
2,33365,2130,3,0.18000,2001Q1,25,2,2,2,2,2,1,3,,1,,1,1,1,1
6,96548,2110,3,0.49714,2001Q1,25,2,2,2,2,3,2,3,,1,,1,2,2,1
6,50634,2270,4,0.80000,2001Q1,25,1,1,1,1,2,2,2,,1,,1,2,2,2
5,50203,2120,6,0.60000,2001Q1,25,1,1,1,1,2,2,2,,1,,1,1,2,1
5,97364,2110,2,0.33333,2001Q1,25,3,,1,2,2,2,2,,1,,1,3,2,3
6,96998,2230,7,0.21000,2001Q1,25,1,1,1,1,,1,2,,1,,,2,1,2
6,97123,2270,3,0.60000,2001Q1,25,1,2,3,,3,1,2,,1,,1,2,2,1
1,50167,2120,3,0.30000,2001Q1,25,3,3,3,3,2,1,2,,2,,2,3,2,3
5,50010,2110,4,0.66400,2001Q1,25,3,2,3,2,1,2,3,,1,,1,3,2,2
5,50425,2220,4,1.00000,2001Q1,25,3,3,3,3,2,1,2,,1,,1,3,2,3
6,50469,2220,3,0.75000,2001Q1,25,3,3,3,3,2,2,2,,,,,3,2,2
6,96614,2270,8,1.60000,2001Q1,25,2,2,2,2,3,3,3,,1,,1,3,2,3
6,91007,2110,9,1.49400,2001Q1,25,3,,3,,2,2,2,,1,,1,2,2,1
6,50642,2210,3,0.09000,2001Q1,25,1,1,1,1,2,2,2,,2,,2,1,1,2
6,50700,2270,5,1.00000,2001Q1,25,,,2,2,2,2,3,,1,,1,2,2,2
9,97363,2110,2,0.33333,2001Q1,25,2,3,2,3,3,3,2,,1,,2,3,2,3
6,96679,2210,3,0.09000,2001Q1,25,3,3,3,3,1,3,2,,1,,2,3,2,2
6,97059,2140,3,0.33000,2001Q1,25,2,2,2,2,1,2,3,,1,,1,2,2,2
6,50215,2120,4,0.40000,2001Q1,25,1,2,1,2,2,2,2,,1,,1,2,2,2
6,96693,2220,2,0.50000,2001Q1,25,1,,1,,2,1,1,,1,,2,1,1,1
6,96732,2110,7,1.16200,2001Q1,25,2,1,2,2,1,3,2,,1,,1,2,2,1
5,96419,2140,2,0.22000,2001Q1,25,3,3,3,3,2,2,2,,2,,2,3,2,3
5,96545,3110,5,0.29500,2001Q1,25,3,2,3,3,1,,2,,1,,2,3,1,3
2,51116,3120,1,0.08000,2001Q1,25,1,2,3,2,1,1,2,,1,,2,2,2,2
2,96909,3140,5,0.30000,2001Q1,25,2,,3,,1,2,2,,2,,2,3,2,2
