Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Dag,Q3A,Q3P,Q4A,Q4P,Q9,Q4AX,Q5A,Q6AX,Q6P,Q7AX,Q7P,Q2A,Q1,Q2P
1,96774,3310,1,0.06000,1999Q2,15,2,1,2,1,,,2,,1,,1,2,2,1
6,96756,3340,1,0.03000,1999Q2,15,1,1,1,1,2,2,2,,1,,1,2,2,2
6,96776,3330,5,0.25000,1999Q2,15,3,3,3,3,3,3,3,,1,,1,3,2,2
1,96784,2110,3,0.49714,1999Q2,15,2,2,2,2,2,2,2,,3,,3,3,2,3
6,96732,2110,6,0.99600,1999Q2,15,3,3,3,3,1,2,3,,2,,3,3,2,
6,96740,2120,2,0.20000,1999Q2,15,3,3,3,3,2,2,3,,1,,2,3,2,3
5,96739,3210,1,0.07000,1999Q2,15,3,,3,,2,2,3,,1,,1,3,2,3
1,96738,3210,1,0.07000,1999Q2,15,1,1,1,1,2,2,2,,1,,1,2,2,3
5,96736,3220,5,0.40000,1999Q2,15,2,2,2,2,2,1,2,,2,,,2,2,2
1,96735,3370,3,0.09000,1999Q2,15,3,3,,,1,2,2,,1,,1,3,2,3
6,96734,2110,5,0.83000,1999Q2,15,1,1,,,1,1,2,,2,,2,1,2,2
6,96733,3110,5,0.29500,1999Q2,15,3,2,3,3,2,3,2,,1,,1,2,2,1
1,96731,3160,5,0.16000,1999Q2,15,1,1,1,1,2,2,2,,1,,3,2,1,
6,96730,3230,6,1.20000,1999Q2,15,3,2,3,2,2,2,2,,1,,2,3,2,3
6,96729,3230,6,1.20000,1999Q2,15,3,2,,,2,2,3,,2,,2,3,2,2
5,96728,3210,2,0.14000,1999Q2,15,3,,3,,3,3,3,,1,,,3,2,3
6,96727,3240,3,0.15000,1999Q2,15,1,2,,,1,2,2,,1,,1,2,2,3
1,96725,3330,6,0.30000,1999Q2,15,3,3,3,3,2,2,3,,1,,2,3,2,2
1,96789,3120,4,0.32000,1999Q2,15,1,1,1,1,3,1,2,,1,,2,3,2,3
5,96790,3220,6,0.48000,1999Q2,15,2,2,2,2,2,2,1,,2,,2,2,2,2
6,96791,3210,4,0.27733,1999Q2,15,3,2,2,2,2,2,2,,1,,2,2,2,2
6,96718,2110,4,0.66400,1999Q2,15,1,1,1,1,1,2,2,,1,,1,2,2,1
1,96717,3230,1,0.20000,1999Q2,15,1,2,1,2,2,2,2,,2,,2,1,1,2
1,96710,3330,6,0.30000,1999Q2,15,3,3,3,3,1,3,2,,2,,2,3,2,3
1,96709,3160,4,0.12800,1999Q2,15,1,,1,,2,3,2,,1,,1,3,1,1
6,96708,3330,3,0.15000,1999Q2,15,3,3,3,3,2,2,2,,1,,1,3,2,3
1,96707,3370,6,0.18000,1999Q2,15,3,2,3,3,1,2,1,,2,,2,3,2,3
5,96706,3370,1,0.03000,1999Q2,15,3,2,3,2,2,1,1,,1,,2,3,2,2
5,96705,2120,3,0.30000,1999Q2,15,3,3,3,3,2,1,2,,1,,1,3,2,2
1,96704,3310,3,0.18000,1999Q2,15,3,3,3,3,2,3,2,,1,,2,3,2,3
1,96702,3240,6,0.30000,1999Q2,15,1,1,1,1,2,2,2,,1,,1,3,2,3
6,96701,3110,5,0.29500,1999Q2,15,1,2,3,3,2,1,2,,1,,1,3,1,1
6,96700,3350,5,0.15000,1999Q2,15,2,2,2,2,1,1,2,,1,,2,3,2,3
6,96699,3330,3,0.15000,1999Q2,15,3,3,3,3,2,2,2,,1,,1,3,1,2
1,96698,3220,1,0.08000,1999Q2,15,1,,1,,2,2,1,,1,,3,2,1,2
6,96697,2210,3,0.09000,1999Q2,15,3,3,3,3,2,2,3,,1,,1,3,2,3
5,96696,3370,1,0.03000,1999Q2,15,3,3,3,3,2,3,3,,2,,2,3,2,3
1,96695,3240,4,0.20000,1999Q2,15,1,1,1,1,2,1,2,,1,,1,2,1,2
6,96693,2220,2,0.50000,1999Q2,15,1,2,1,2,2,1,1,,1,,2,2,1,2
6,96692,3370,5,0.15000,1999Q2,15,,,3,3,1,1,2,,1,,2,3,2,2
1,96691,3330,1,0.05000,1999Q2,15,1,1,1,1,2,1,2,,1,,1,1,1,2
1,96673,3210,1,0.07000,1999Q2,15,,3,,3,3,2,2,,1,,2,3,2,3
1,96672,3160,4,0.12800,1999Q2,15,3,3,3,3,1,3,2,,1,,1,2,2,
6,96780,3230,1,0.20000,1999Q2,15,3,3,3,3,1,1,1,,1,,2,3,2,2
5,96744,3420,1,0.09000,1999Q2,15,3,3,3,3,3,1,3,,1,,1,3,2,3
1,96743,3140,8,0.48000,1999Q2,15,3,3,3,3,1,1,2,,2,,2,3,2,3
1,96742,3230,4,0.80000,1999Q2,15,2,1,2,1,1,2,2,,3,,3,3,2,3
1,96741,3110,3,0.17571,1999Q2,15,1,1,,,1,1,2,,1,,1,2,2,2
6,96656,2230,3,0.09000,1999Q2,15,3,2,,,2,3,3,,1,,1,3,2,3
1,96726,3120,2,0.16000,1999Q2,15,1,2,3,2,1,3,3,,1,,1,3,2,3
5,96689,3230,2,0.40000,1999Q2,15,3,3,3,3,3,,3,,1,,1,3,2,3
6,96688,2110,2,0.33333,1999Q2,15,3,3,3,3,2,3,3,,2,,2,3,2,2
5,96685,3220,3,0.24000,1999Q2,15,3,3,3,3,2,3,2,,1,,2,3,2,3
2,96681,3330,7,0.35000,1999Q2,15,3,3,3,3,1,2,3,,1,,1,3,2,3
5,96680,3370,1,0.03000,1999Q2,15,3,,3,,1,3,2,,1,,1,3,2,3
6,96679,2210,3,0.09000,1999Q2,15,3,2,2,1,2,2,2,,1,,2,3,2,3
5,96678,2110,2,0.33333,1999Q2,15,1,1,1,1,2,3,2,,1,,1,1,1,2
6,96677,2140,5,0.55000,1999Q2,15,3,3,3,3,1,3,3,,3,,3,3,2,3
6,96676,3120,5,0.40000,1999Q2,15,1,,2,,1,,2,,1,,2,2,1,2
6,96675,3210,5,0.34500,1999Q2,15,2,3,3,3,2,1,2,,1,,2,2,2,3
1,96674,3170,6,0.24000,1999Q2,15,3,3,3,3,1,3,2,,1,,1,3,2,3
5,96671,2120,5,0.50000,1999Q2,15,2,2,2,2,2,2,3,,1,,1,3,2,3
6,96724,3330,5,0.25000,1999Q2,15,3,3,3,3,1,2,2,,1,,3,3,2,2
5,96723,3160,1,0.03000,1999Q2,15,3,3,3,3,2,3,3,,1,,3,3,2,3
5,96722,3230,6,1.20000,1999Q2,15,2,2,2,2,2,,2,,,,3,3,2,2
5,96721,3120,1,0.08000,1999Q2,15,3,,3,,1,,3,,1,,3,3,2,3
1,96652,2120,3,0.30000,1999Q2,15,3,1,3,1,2,3,3,,1,,3,3,2,1
6,96651,2110,3,0.49714,1999Q2,15,1,,1,,2,1,2,,1,,,1,1,2
1,96650,2220,5,1.25000,1999Q2,15,2,,2,,2,2,2,,1,,1,2,1,2
1,96649,3110,7,0.41300,1999Q2,15,3,3,2,2,2,3,3,,2,,2,3,2,3
1,96648,2230,3,0.09000,1999Q2,15,1,1,1,1,2,3,1,,2,,1,1,1,1
1,96647,3140,4,0.24000,1999Q2,15,3,3,,,1,3,2,,2,,,3,2,3
1,96646,3140,4,0.24000,1999Q2,15,3,3,3,3,2,2,3,,2,,2,3,2,3
1,96645,2120,1,0.10000,1999Q2,15,3,3,3,3,2,3,2,,1,,1,3,2,2
1,96644,2110,5,0.83000,1999Q2,15,3,3,3,3,1,2,2,,1,,1,3,2,3
1,96643,2240,2,0.10000,1999Q2,15,3,3,3,3,2,3,2,,1,,3,3,2,2
6,96642,2220,7,1.75000,1999Q2,15,1,1,1,1,2,2,2,,1,,1,3,2,1
6,96684,3220,5,0.40000,1999Q2,15,3,3,3,3,1,1,2,,1,,1,3,2,3
5,96686,3330,5,0.25000,1999Q2,15,2,1,2,1,3,1,3,,2,,2,2,1,1
6,96703,3330,6,0.30000,1999Q2,15,3,3,3,3,2,2,3,,2,,3,3,2,3
6,96764,3160,2,0.06667,1999Q2,15,3,2,3,2,1,,2,,1,,1,3,2,2
6,96786,3330,2,0.10000,1999Q2,15,3,3,3,3,2,2,2,,1,,1,3,2,3
5,96788,2220,3,0.75000,1999Q2,15,3,2,3,3,1,3,2,,1,,2,3,2,2
6,96670,2110,5,0.83000,1999Q2,15,3,1,3,1,2,3,3,,2,,2,3,2,1
1,96669,3330,8,0.40000,1999Q2,15,3,3,3,3,1,2,3,,1,,2,3,2,3
1,96668,3220,6,0.48000,1999Q2,15,3,2,,,2,3,,,1,,1,3,2,2
1,96667,2140,3,0.33000,1999Q2,15,3,3,3,3,2,3,3,,1,,1,3,2,3
1,96666,3340,7,0.21000,1999Q2,15,1,1,1,1,2,2,2,,2,,,2,1,2
1,96665,3220,1,0.08000,1999Q2,15,2,2,3,3,2,2,1,,1,,1,3,1,2
1,96664,3220,7,0.56000,1999Q2,15,3,3,3,3,1,3,3,,3,,2,3,2,2
1,96663,3330,8,0.40000,1999Q2,15,3,3,3,3,2,3,3,,2,,2,3,2,3
1,96662,3230,4,0.80000,1999Q2,15,2,,2,,2,1,2,,1,,2,3,2,2
6,96661,2120,3,0.30000,1999Q2,15,3,3,3,3,3,3,2,,1,,,3,2,3
5,96660,2110,2,0.33333,1999Q2,15,3,2,3,2,1,3,2,,1,,1,3,2,2
1,96659,2120,3,0.30000,1999Q2,15,3,3,3,3,2,2,2,,2,,2,3,1,2
6,96658,2110,2,0.33333,1999Q2,15,3,3,3,3,2,3,2,,1,,1,3,2,3
5,96657,2140,3,0.33000,1999Q2,15,3,2,3,2,2,3,2,,1,,1,3,2,2
5,96654,2210,3,0.09000,1999Q2,15,1,1,1,1,3,2,2,,2,,2,2,2,2
1,96653,3160,1,0.03000,1999Q2,15,2,2,2,2,2,2,2,,2,,2,2,1,2
6,96687,3330,1,0.05000,1999Q2,15,3,,3,,3,2,2,,1,,2,3,2,3
6,96805,3240,3,0.15000,1999Q2,15,1,2,2,3,2,3,2,,1,,1,2,2,3
5,96804,3330,5,0.25000,1999Q2,15,1,2,1,2,2,3,2,,1,,1,2,1,2
6,96803,3210,2,0.14000,1999Q2,15,3,3,3,3,2,2,2,,1,,1,3,2,3
6,96802,2130,8,0.48000,1999Q2,15,3,3,3,3,2,2,3,,1,,2,3,2,3
1,96801,3370,1,0.03000,1999Q2,15,2,2,2,2,2,2,,,2,,2,2,1,2
5,51125,3130,2,0.06000,1999Q2,15,3,3,3,3,2,2,2,,2,,2,3,2,2
9,30348,3310,3,0.18000,1999Q2,15,3,2,3,2,2,3,2,,1,,2,3,2,3
6,51002,3110,6,0.35400,1999Q2,15,3,3,3,3,1,3,3,,1,,1,3,2,3
6,96578,3220,5,0.40000,1999Q2,15,2,2,2,2,3,3,3,,1,,2,3,2,1
5,96489,3220,4,0.32000,1999Q2,15,3,3,3,3,2,3,2,,2,,1,3,2,3
1,96568,3340,5,0.15000,1999Q2,15,1,2,1,2,2,2,2,,2,,2,2,2,2
6,61302,3210,2,0.14000,1999Q2,15,2,2,2,2,2,2,2,,2,,1,3,2,2
5,53091,3310,9,0.54000,1999Q2,15,3,3,3,3,2,1,3,,2,,2,3,2,3
6,96492,3220,6,0.48000,1999Q2,15,3,3,3,3,1,3,3,,1,,,3,2,3
6,96547,3110,1,0.06000,1999Q2,15,1,,3,,2,1,2,,3,,3,3,2,
6,96431,3220,4,0.32000,1999Q2,15,1,,1,,2,3,2,,1,,1,1,1,3
5,96545,3110,5,0.29500,1999Q2,15,3,3,3,3,1,,2,,1,,2,3,2,3
6,96561,3120,3,0.24000,1999Q2,15,3,3,2,3,2,2,3,,1,,1,3,2,3
6,96519,3230,1,0.20000,1999Q2,15,3,3,3,3,2,2,3,,1,,3,3,2,3
6,96457,3210,5,0.34500,1999Q2,15,3,3,3,3,2,3,2,,1,,1,3,2,3
1,96481,3230,5,1.00000,1999Q2,15,3,2,3,2,2,2,1,,3,,1,3,,
5,96470,3330,5,0.25000,1999Q2,15,1,2,1,2,2,1,2,,1,,2,1,1,2
5,53082,3380,1,0.02000,1999Q2,15,3,2,3,2,2,2,2,,2,,2,3,2,3
6,96572,3330,6,0.30000,1999Q2,15,2,2,1,2,2,,3,,1,,1,3,2,3
5,53092,3240,7,0.35000,1999Q2,15,2,1,2,1,2,1,3,,1,,2,3,2,3
1,96401,3120,6,0.48000,1999Q2,15,2,,2,,2,2,2,,1,,1,2,1,3
2,51038,3110,4,0.23733,1999Q2,15,3,3,3,3,1,2,3,,2,,2,3,2,3
5,96424,3210,1,0.07000,1999Q2,15,2,2,2,2,2,2,2,,1,,1,2,1,2
1,96584,3230,2,0.40000,1999Q2,15,3,2,2,2,2,1,2,,1,,2,3,2,2
6,53029,3330,9,0.45000,1999Q2,15,3,2,3,2,2,2,3,,2,,2,3,2,3
5,51422,3220,5,0.40000,1999Q2,15,1,1,1,1,1,3,2,,1,,1,2,2,2
5,96475,3210,5,0.34500,1999Q2,15,1,2,2,2,2,2,2,,1,,3,2,1,1
3,31477,3310,5,0.30000,1999Q2,15,3,3,3,3,1,2,2,,2,,2,3,2,3
6,96491,3330,1,0.05000,1999Q2,15,3,3,3,3,2,2,3,,1,,3,3,2,3
5,51845,3310,4,0.24000,1999Q2,15,3,,3,,2,3,2,,1,,3,3,2,3
5,96440,3120,3,0.24000,1999Q2,15,2,3,3,3,1,2,2,,2,,2,3,2,2
7,51823,3310,4,0.24000,1999Q2,15,2,2,2,2,2,2,2,,2,,2,2,2,
6,96499,3140,5,0.30000,1999Q2,15,1,3,1,3,2,2,3,,1,,1,1,1,2
6,96480,2210,3,0.09000,1999Q2,15,3,2,3,2,2,1,3,,3,,3,3,2,3
6,50119,2110,3,0.49714,1999Q2,15,2,2,2,2,2,3,1,,2,,2,3,2,2
6,96443,2270,3,0.60000,1999Q2,15,2,2,2,2,1,2,3,,2,,2,3,2,2
1,52207,2110,3,0.49714,1999Q2,15,1,1,,,1,2,1,,1,,,3,2,2
5,50010,2110,4,0.66400,1999Q2,15,2,2,3,3,1,2,3,,2,,2,3,2,2
6,31106,2220,1,0.25000,1999Q2,15,3,3,3,3,3,3,3,,3,,3,3,2,3
6,96435,2120,7,0.70000,1999Q2,15,3,3,3,3,1,2,2,,2,,3,3,1,3
5,50375,2210,5,0.15000,1999Q2,15,3,3,3,3,2,2,3,,1,,1,3,2,3
1,50608,2210,3,0.09000,1999Q2,15,2,2,2,2,2,2,2,,1,,1,2,1,2
5,50065,2110,4,0.66400,1999Q2,15,3,3,3,3,2,2,3,,1,,2,3,2,3
5,50649,2140,3,0.33000,1999Q2,15,3,1,3,1,3,2,2,,2,,3,3,2,3
6,96557,2210,3,0.09000,1999Q2,15,3,2,3,2,1,,2,,2,,3,3,2,2
4,50717,2210,3,0.09000,1999Q2,15,3,2,3,2,1,2,3,,2,,2,2,2,3
1,50429,2220,6,1.50000,1999Q2,15,3,3,3,3,1,3,2,,2,,2,3,2,3
5,96516,2210,3,0.09000,1999Q2,15,2,2,2,2,2,2,2,,1,,2,2,2,2
6,50183,2120,3,0.30000,1999Q2,15,1,1,1,1,3,2,2,,1,,1,1,1,1
6,50575,2270,3,0.60000,1999Q2,15,2,2,2,2,1,2,3,,2,,2,3,2,2
6,50668,2270,4,0.80000,1999Q2,15,1,,1,,2,2,3,,2,,2,3,2,1
6,91003,2120,3,0.30000,1999Q2,15,3,3,3,3,1,2,2,,2,,2,3,2,3
3,53239,2220,1,0.25000,1999Q2,15,3,3,3,3,2,2,2,,1,,2,3,2,3
2,51198,2140,3,0.33000,1999Q2,15,2,2,2,2,2,2,2,,2,,2,3,2,2
6,50067,2110,5,0.83000,1999Q2,15,3,2,3,2,1,2,2,,2,,2,3,2,2
1,96604,2270,1,0.20000,1999Q2,15,3,1,3,1,1,2,2,,1,,1,3,2,3
6,50156,2120,5,0.50000,1999Q2,15,2,2,2,2,2,1,2,,3,,3,3,2,3
6,96485,2120,6,0.60000,1999Q2,15,1,2,1,2,2,2,2,,1,,1,2,1,2
6,96540,2130,3,0.18000,1999Q2,15,3,2,3,3,1,2,2,,3,,3,3,1,2
5,96524,2230,3,0.09000,1999Q2,15,3,2,,,,3,3,,2,,2,3,2,2
5,50406,2210,2,0.06000,1999Q2,15,3,2,3,2,2,2,2,,1,,1,3,1,2
1,96448,3140,5,0.30000,1999Q2,15,3,3,3,3,2,3,2,,1,,2,3,2,3
5,96535,3110,3,0.17571,1999Q2,15,1,2,2,2,2,3,2,,2,,2,2,1,2
1,51043,3110,5,0.29500,1999Q2,15,3,3,3,3,1,2,2,,3,,2,3,2,3
6,51096,3120,9,0.72000,1999Q2,15,1,1,1,1,2,1,2,,1,,1,3,2,3
2,51592,3230,5,1.00000,1999Q2,15,2,2,2,2,2,2,2,,2,,2,2,1,2
6,96591,3240,3,0.15000,1999Q2,15,3,2,3,2,3,2,1,,2,,2,2,1,1
1,51884,3340,8,0.24000,1999Q2,15,3,1,,,3,,3,,2,,2,3,2,1
4,51689,3230,1,0.20000,1999Q2,15,3,,3,,2,2,1,,2,,2,3,2,3
1,51891,3310,9,0.54000,1999Q2,15,2,1,2,1,2,1,1,,3,,3,3,2,1
3,51670,3130,1,0.03000,1999Q2,15,3,3,3,3,2,2,2,,1,,1,3,2,3
1,96469,3350,4,0.12000,1999Q2,15,3,2,3,2,2,2,2,,2,,2,3,2,2
6,96694,3330,6,0.30000,1999Q2,15,2,3,,,1,1,2,,1,,2,3,2,3
6,96690,3110,3,0.17571,1999Q2,15,3,3,3,3,1,3,3,,1,,,3,2,3
1,96807,3110,5,0.29500,1999Q2,15,3,3,3,3,2,2,2,,3,,3,3,2,3
5,96460,2220,3,0.75000,1999Q2,15,2,1,2,1,1,2,3,,1,,1,3,2,1
6,50071,2110,8,1.32800,1999Q2,15,3,3,3,3,2,3,3,,1,,,3,2,1
5,50570,2240,6,0.30000,1999Q2,15,2,2,2,2,1,2,2,,2,,2,2,1,2
6,96577,2210,3,0.09000,1999Q2,15,2,1,2,1,2,3,2,,2,,2,3,2,1
2,50289,2120,3,0.30000,1999Q2,15,3,3,3,3,2,2,2,,2,,2,3,2,3
1,50646,2270,4,0.80000,1999Q2,15,2,2,2,2,1,2,3,,2,,2,2,2,2
6,96402,2110,3,0.49714,1999Q2,15,3,1,3,1,2,1,1,,1,,1,1,1,1
8,50056,2110,3,0.49714,1999Q2,15,3,3,3,3,2,2,2,,2,,3,3,2,3
6,50627,2270,3,0.60000,1999Q2,15,3,3,3,3,1,2,3,,1,,1,3,2,3
1,96504,2110,2,0.33333,1999Q2,15,3,1,3,1,2,3,2,,1,,3,3,2,3
5,50566,2240,3,0.15000,1999Q2,15,1,,2,,,,,,,,,2,,
5,96819,3160,9,0.28800,1999Q2,15,3,2,3,2,2,2,3,,2,,2,3,2,2
6,96818,3370,4,0.12000,1999Q2,15,3,2,3,2,2,2,2,,3,,2,2,2,2
6,96817,3230,1,0.20000,1999Q2,15,3,1,2,,2,,2,,2,,,2,2,1
6,96816,3230,1,0.20000,1999Q2,15,3,3,3,3,2,3,3,,2,,2,3,1,2
6,96815,3230,6,1.20000,1999Q2,15,2,2,2,2,2,1,2,,1,,3,1,1,1
6,96814,3370,8,0.24000,1999Q2,15,2,2,2,,1,2,2,,1,,1,2,2,2
5,96813,3230,3,0.60000,1999Q2,15,3,3,3,3,2,2,2,,1,,3,3,2,1
6,96812,3110,1,0.06000,1999Q2,15,1,1,1,1,2,2,2,,2,,1,1,1,1
5,96811,3240,1,0.05000,1999Q2,15,3,2,3,2,2,2,2,,1,,2,2,2,2
5,96810,2110,3,0.49714,1999Q2,15,2,1,2,1,2,2,2,,2,,2,2,1,1
6,96820,3340,1,0.03000,1999Q2,15,2,2,2,2,2,2,2,,2,,2,3,2,2
6,96823,2230,5,0.15000,1999Q2,15,3,2,3,2,3,2,3,,2,,1,3,2,2
1,96822,3230,9,1.80000,1999Q2,15,1,2,1,2,2,,1,,,,2,2,,3
6,96821,3230,3,0.60000,1999Q2,15,2,2,2,2,2,2,3,,2,,2,3,2,3
6,96824,3210,6,0.41400,1999Q2,15,3,3,3,3,1,1,3,,1,,3,3,2,3
6,96828,2110,8,1.32800,1999Q2,15,3,3,3,3,1,3,3,,3,,3,3,2,3
6,96825,3310,9,0.54000,1999Q2,15,2,2,2,2,2,2,2,,1,,1,2,2,2
6,96826,3240,6,0.30000,1999Q2,15,3,3,3,3,2,2,3,,1,,3,3,2,3
6,96827,3230,4,0.80000,1999Q2,15,1,1,1,2,2,1,2,,1,,1,1,1,2
6,96829,3120,6,0.48000,1999Q2,15,,,,,,,,,,,,,,
6,96830,3230,2,0.40000,1999Q2,15,3,3,3,3,2,3,3,,2,,2,3,2,3
6,96831,3230,1,0.20000,1999Q2,15,3,2,3,2,2,2,2,,1,,,3,2,3
6,96832,3230,1,0.20000,1999Q2,15,,,,,2,,3,,1,,3,,,
6,96833,3310,1,0.06000,1999Q2,15,3,,3,,2,2,2,,1,,2,3,2,3
6,50634,2270,4,0.80000,1999Q2,15,3,3,3,3,2,2,2,,2,,2,3,2,3
1,96420,2270,1,0.20000,1999Q2,15,3,2,3,3,2,3,2,,1,,1,3,2,2
5,96501,3170,2,0.08000,1999Q2,15,2,1,2,1,2,1,2,,1,,1,2,1,2
6,96585,3220,1,0.08000,1999Q2,15,3,2,3,2,2,2,2,,1,,1,3,2,2
9,51758,3230,1,0.20000,1999Q2,15,1,2,1,2,1,1,3,,1,,2,3,1,2
6,96403,3230,4,0.80000,1999Q2,15,3,1,2,1,1,3,2,,1,,2,3,2,2
3,51610,3230,4,0.80000,1999Q2,15,3,3,3,3,2,3,3,,2,,2,3,2,2
2,51489,3220,6,0.48000,1999Q2,15,2,2,2,2,2,2,2,,2,,2,2,1,2
6,51021,3120,9,0.72000,1999Q2,15,3,2,3,2,2,1,3,,3,,2,3,2,1
1,96511,3310,3,0.18000,1999Q2,15,3,3,3,3,3,1,2,,2,,2,3,2,3
1,96570,3110,4,0.23733,1999Q2,15,3,2,2,2,2,3,2,,2,,2,3,2,2
1,96599,3230,2,0.40000,1999Q2,15,2,2,2,2,2,2,2,,1,,2,2,2,2
6,51299,3170,1,0.04000,1999Q2,15,2,3,2,3,1,,,,1,,1,2,1,3
6,96429,3220,6,0.48000,1999Q2,15,1,1,1,1,1,3,2,,1,,,1,2,
1,96800,3110,3,0.17571,1999Q2,15,3,3,3,3,2,3,2,,3,,1,3,2,3
6,96799,3140,8,0.48000,1999Q2,15,1,1,1,1,3,1,1,,2,,2,1,1,1
6,96798,2110,6,0.99600,1999Q2,15,2,,2,,3,2,2,,1,,1,3,2,3
6,96490,3230,9,1.80000,1999Q2,15,3,3,2,2,2,3,2,,1,,2,3,2,3
5,51825,3310,1,0.06000,1999Q2,15,3,3,3,3,3,3,3,,1,,1,3,2,3
6,96574,3110,1,0.06000,1999Q2,15,3,2,3,3,1,2,2,,2,,3,2,2,2
5,96515,3140,4,0.24000,1999Q2,15,3,2,3,2,2,2,2,,1,,1,3,2,2
3,30858,3110,3,0.17571,1999Q2,15,,,3,3,1,3,3,,1,,2,3,2,3
6,96586,3230,5,1.00000,1999Q2,15,1,1,1,1,2,1,2,,1,,1,2,1,2
6,51231,3170,4,0.16000,1999Q2,15,3,3,3,3,1,2,2,,2,,2,3,2,2
5,51365,3210,2,0.14000,1999Q2,15,3,3,3,3,2,1,3,,1,,1,3,2,3
4,51247,3160,6,0.19200,1999Q2,15,3,3,3,3,1,2,2,,1,,1,3,2,3
6,96552,3330,6,0.30000,1999Q2,15,2,2,2,2,1,2,2,,1,,1,3,2,3
5,51671,3230,6,1.20000,1999Q2,15,3,3,,,2,2,2,,3,,3,3,2,3
4,51521,3220,4,0.32000,1999Q2,15,3,3,3,3,2,2,2,,1,,1,3,2,3
5,51505,3220,1,0.08000,1999Q2,15,2,2,2,2,2,2,2,,2,,2,2,2,2
7,53242,3420,3,0.27000,1999Q2,15,2,,2,,2,2,2,,2,,2,2,1,2
5,96441,3340,3,0.09000,1999Q2,15,3,3,3,3,,3,3,,1,,1,3,2,3
5,51585,3230,3,0.60000,1999Q2,15,3,2,3,2,2,1,2,,2,,2,3,2,3
4,52044,3330,6,0.30000,1999Q2,15,3,3,3,3,1,2,3,,1,,,3,2,3
6,96602,3220,6,0.48000,1999Q2,15,3,,3,,2,2,2,,1,,1,2,1,1
4,51520,3220,2,0.16000,1999Q2,15,2,1,2,,2,,,,1,,,2,1,2
6,96378,3240,8,0.40000,1999Q2,15,1,,2,,2,2,2,,1,,1,2,1,1
3,51735,3230,5,1.00000,1999Q2,15,3,3,3,3,2,1,2,,2,,2,3,1,3
1,51235,3170,4,0.16000,1999Q2,15,3,3,,,2,3,2,,1,,1,3,2,3
6,96615,3210,3,0.20571,1999Q2,15,3,3,3,3,2,3,3,,1,,1,3,2,2
6,52061,3330,7,0.35000,1999Q2,15,3,2,2,2,1,2,2,,1,,1,3,2,2
5,96500,3210,5,0.34500,1999Q2,15,3,2,3,2,2,1,2,,1,,1,3,2,3
1,51059,3110,4,0.23733,1999Q2,15,2,2,2,3,2,1,2,,1,,2,2,2,2
5,96622,3350,4,0.12000,1999Q2,15,3,2,3,2,3,3,3,,1,,1,3,2,2
5,51078,3110,5,0.29500,1999Q2,15,2,1,1,1,1,3,2,,1,,1,3,2,3
5,96579,3160,5,0.16000,1999Q2,15,3,3,3,3,2,2,2,,1,,1,3,2,3
5,51915,3370,1,0.03000,1999Q2,15,2,3,3,,2,2,2,,1,,1,3,2,3
5,96487,3310,4,0.24000,1999Q2,15,3,3,3,3,2,2,2,,2,,3,3,2,3
5,53243,3230,5,1.00000,1999Q2,15,3,3,3,3,2,2,2,,2,,2,3,2,3
6,96542,3230,3,0.60000,1999Q2,15,2,1,3,1,1,2,1,,1,,2,3,1,
6,51034,3110,3,0.17571,1999Q2,15,3,3,3,3,2,3,3,,1,,1,2,2,1
5,51671,3230,6,1.20000,1999Q1,15,3,3,3,3,2,2,2,,3,,3,3,2,3
5,51411,3220,5,0.40000,1999Q1,15,2,2,2,2,2,1,2,,2,,2,3,2,2
1,52009,3330,5,0.25000,1999Q1,15,3,3,3,3,2,2,3,,2,,2,3,2,3
6,51862,3310,9,0.54000,1999Q1,15,1,1,1,1,2,2,1,,3,,3,2,2,3
2,51834,3310,6,0.36000,1999Q1,15,1,1,1,1,2,1,2,,1,,1,1,1,1
1,51059,3110,4,0.23733,1999Q1,15,2,2,2,3,2,1,2,,2,,2,2,1,2
5,51060,3110,3,0.17571,1999Q1,15,3,3,3,3,1,2,3,,1,,2,3,2,3
1,52023,3330,9,0.45000,1999Q1,15,3,3,3,3,2,1,3,,2,,2,3,2,3
8,51452,3220,6,0.48000,1999Q1,15,3,2,3,2,2,3,2,,1,,1,3,2,3
2,51012,3110,6,0.35400,1999Q1,15,3,3,3,3,1,2,3,,2,,2,3,2,3
6,51546,3370,6,0.18000,1999Q1,15,3,2,3,2,3,1,1,,3,,3,3,2,3
3,30858,3110,3,0.17571,1999Q1,15,3,2,3,3,2,3,3,,1,,2,3,2,3
7,51823,3310,4,0.24000,1999Q1,15,3,2,2,2,2,2,2,,3,,3,2,2,2
1,51809,3340,6,0.18000,1999Q1,15,3,3,3,3,1,3,2,,1,,3,3,2,3
2,51476,3220,4,0.32000,1999Q1,15,2,2,2,2,2,2,2,,2,,2,2,2,2
2,51001,3110,5,0.29500,1999Q1,15,3,3,3,3,2,3,3,,2,,3,3,2,3
1,52047,3330,8,0.40000,1999Q1,15,3,3,3,3,1,1,3,,2,,3,3,2,3
1,53050,3410,1,0.01000,1999Q1,15,2,2,2,2,2,2,2,,1,,1,3,1,2
1,52031,3330,7,0.35000,1999Q1,15,1,3,2,3,1,2,3,,2,,1,2,1,2
1,51025,3110,7,0.41300,1999Q1,15,3,3,3,3,2,3,3,,2,,2,3,2,3
