"";"Date";"Conf_cc";"Conf_fl";"Act_prod";"Conf_prod";"Act_GBC";"Conf_GBC";"Invest";"Empl";"Empl_turn";"Uncert_fl";"Uncert_fl.prod";"Uncert_fl.GBC";"Uncert_ee";"Uncert_ee.prod";"Uncert_ee.GBC"
"20";"1996Q4";-0,149473684210526;-0,196120689655172;0,196581196581197;0,121951219512195;-0,209745762711864;-0,236323851203501;0,0787234042553192;-0,151767151767152;0,455301455301455;0,705814852580804;0,774156694359035;0,737369243046425;NA;0,850252661287622;0,833448665606162
"21";"1997Q1";-0,0127659574468085;0,032051282051282;0,198275862068966;0,291196388261851;-0,037037037037037;0,0490405117270789;0,159235668789809;-0,131416837782341;0,414784394250513;0,719863518001599;0,722791906264328;0,721098528573619;0,859952875264988;0,851658276709953;0,868217598144268
"22";"1997Q2";-0,295508274231678;-0,179425837320574;0,0212264150943396;0,0946601941747573;-0,244803695150115;-0,179669030732861;0,110849056603774;-0,145161290322581;0,389400921658986;0,697814534731595;0,765310160532025;0,725009421418042;0,925495944410991;0,848749374169957;0,783701279257129
"23";"1997Q3";-0,243243243243243;-0,179292929292929;0,0686015831134565;0,0951086956521739;-0,215;-0,202072538860104;0,0459183673469388;-0,21078431372549;0,470588235294118;0,682150124958068;0,783094467294332;0,734491368136922;0,807995110964532;NA;NA
"24";"1997Q4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";"1998Q1";-0,296912114014252;-0,270783847980998;-0,0378787878787879;0,00795755968169761;-0,369928400954654;-0,298765432098765;0,0100502512562814;-0,297872340425532;0,472813238770686;0,670254748836356;0,744522219325149;0,686464160567274;0,802270255782839;0,857838262785495;0,714244095599798
"26";"1998Q2";-0,585635359116022;-0,391549295774648;-0,238095238095238;-0,111747851002865;-0,55586592178771;-0,471590909090909;-0,0482954545454545;-0,39612188365651;0,518005540166205;0,684999533026106;0,791505463766107;0,660827453692504;0,837615663654877;0,752500565670479;0,666499831374577
"27";"1998Q3";-0,715116279069767;-0,508771929824561;-0,324074074074074;-0,274760383386581;-0,707964601769911;-0,659574468085106;-0,0642201834862385;-0,448680351906158;0,542521994134897;0,661103287067255;0,754900088661959;0,593460667275802;0,950986330080512;0,803234540861597;0,68462209240609
"28";"1998Q4";-0,666666666666667;-0,462140992167102;-0,235449735449735;-0,305177111716621;-0,626943005181347;-0,556149732620321;-0,112565445026178;-0,388746803069054;0,501278772378517;0,648760707285075;0,726718884080255;0,633977461295281;1,01030973393168;0,874788803013594;0,709087751940786
"29";"1999Q1";-0,661375661375661;-0,355795148247978;-0,37037037037037;-0,198250728862974;-0,666666666666667;-0,512396694214876;-0,15014164305949;-0,431635388739946;0,53887399463807;0,721325226250253;0,745284398799694;0,673574844604397;NA;0,790881135077626;0,641653948882643
"30";"1999Q2";-0,688172043010753;-0,17379679144385;-0,363874345549738;-0,175531914893617;-0,630890052356021;-0,428191489361702;-0,142857142857143;-0,490909090909091;0,568831168831169;0,75943831016191;0,7725594613503;0,695848575429719;0,980221063502174;0,784645142113404;0,813347185411177
