Streek,Idnr,Sektor,Gewig,Sektorw,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
06,13806,2220,7,0.125,18.75,15Q3,2,3,3,3,3,3,3,2,2,3,3,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13817,2240,5,0.125,3.75,15Q3,1,2,2,1,2,2,2,1,2,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13823,2240,7,0.125,18.75,15Q3,2,2,3,3,3,3,3,3,3,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,13847,2120,3,0.143000007,1.001000047,15Q3,2,,,3,2,3,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
03,13850,2120,4,0.142999999,2.144999981,15Q3,2,3,3,3,3,3,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13851,2220,9,0.125,87.5,15Q2,2,3,2,1,1,1,1,2,2,2,2,3,2,3,1,,,,TRUE,FALSE,FALSE,FALSE,FALSE
06,13949,2130,5,0.142999999,4.289999962,15Q3,1,3,3,2,3,2,3,2,2,1,1,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
03,13975,2220,8,0.125,37.5,15Q3,1,3,3,2,3,2,3,2,2,1,1,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,13984,2220,9,0.125,87.5,15Q3,2,2,2,2,2,2,2,3,3,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,14007,2210,9,0.125,87.5,15Q3,1,3,2,2,2,2,2,1,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,14022,2120,6,0.143000003,10.01000023,15Q3,1,2,2,1,1,1,1,2,2,1,2,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,14241,2220,9,0.125,87.5,15Q3,1,2,2,1,1,2,1,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
