Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Dag,Q3A,Q3P,Q8A,Q8P,Q12A,Q12P,Q4A,Q4P,Q13A,Q13P,Q5,Q9,Q14,Q1,Q6,Q10,Q2A,Q2P,Q7A,Q7P,Q11A,Q11P
5,53643,3510,5,5,1995Q1,14,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2
7,53407,3510,4,4,1995Q1,14,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,1,3,3,3,3,3,3
4,53402,3510,6,6,1995Q1,14,3,2,2,2,1,1,2,2,1,1,2,3,2,2,1,1,3,2,2,2,1,1
6,53561,3510,4,4,1995Q1,14,1,1,2,2,3,2,1,1,2,2,3,3,1,,,,1,1,1,1,2,2
8,53481,3510,6,6,1995Q1,14,1,1,2,2,2,2,1,1,2,2,3,3,2,1,1,2,1,1,2,2,2,2
7,53408,3510,6,6,1995Q1,15,3,3,3,3,2,,2,3,2,,3,3,2,2,2,2,3,3,3,3,3,3
7,53406,3510,6,6,1995Q1,15,2,1,2,1,1,1,1,1,1,1,3,3,2,2,2,1,1,1,1,1,1,1
6,53332,3510,6,6,1995Q1,15,1,1,1,1,1,1,1,1,2,1,3,3,2,1,1,1,1,1,1,1,1,1
5,53593,3510,6,6,1995Q1,15,1,1,,,,,,,,,3,2,1,1,1,2,1,1,1,1,2,2
3,53603,3510,4,4,1995Q1,15,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,2,2,3,2,3,2,3
6,53601,3510,6,6,1995Q1,15,1,1,2,2,1,1,1,1,1,1,2,3,2,1,2,1,1,1,2,2,1,1
6,53453,3510,7,7,1995Q1,15,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1
3,53342,3510,3,3,1995Q1,15,3,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,3,2,2,3,3
3,53547,3510,4,4,1995Q1,15,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1
1,53392,3510,6,6,1995Q1,17,2,2,3,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,3,3,2,2
3,53385,3510,4,4,1995Q1,17,1,2,3,2,1,1,2,2,1,1,3,3,2,1,2,1,1,1,2,2,1,1
6,53310,3510,6,6,1995Q1,17,1,1,1,1,2,2,1,1,2,2,3,2,2,1,1,1,1,1,1,1,2,1
3,53343,3510,5,5,1995Q1,20,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1
5,30420,3510,7,7,1995Q1,20,2,1,3,2,3,1,2,1,3,1,1,2,1,1,2,2,2,1,3,2,2,1
6,53553,3510,9,9,1995Q1,20,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1
2,53317,3510,1,1,1995Q1,20,,,,,2,2,,,,,,,2,,,2,,,,,1,1
6,53471,3510,3,3,1995Q1,20,,,,,3,2,,,3,3,,,3,,,2,,,,,3,3
6,53413,3510,7,7,1995Q1,20,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1
5,53340,3510,7,7,1995Q1,20,1,2,1,2,1,2,1,2,1,2,2,3,2,1,2,1,1,,2,,1,
1,30306,3510,7,7,1995Q1,24,1,1,2,2,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1
2,53627,3510,5,5,1995Q1,24,1,2,2,2,2,2,1,2,2,2,3,2,2,1,2,1,1,1,2,2,2,2
2,53562,3510,3,3,1995Q1,24,,,,,2,2,,,2,2,,,2,,,2,,,,,2,3
7,53544,3510,7,7,1994Q4,19,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,1,2,1,2,1
7,53418,3510,7,7,1994Q4,19,3,1,2,1,1,1,3,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1
5,30179,3510,7,7,1994Q4,19,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,2,1,3,1,1,1
5,53349,3510,5,5,1994Q4,19,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,1
2,53463,3510,3,3,1994Q4,19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,30420,3510,7,7,1994Q4,19,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1
6,53471,3510,3,3,1994Q4,19,,,,,,,,,2,2,,,2,,,2,,,,,2,2
2,53613,3510,5,5,1994Q4,19,3,3,2,2,1,1,1,1,1,1,3,3,2,2,2,1,3,3,2,2,2,2
1,53520,3510,5,5,1994Q4,19,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
7,30399,3510,5,5,1994Q4,19,,,2,1,2,1,,,,,,2,,,2,,,,2,1,,
2,53317,3510,1,1,1994Q4,19,,,,,2,2,,,,,,,2,,,2,,,,,2,2
1,53371,3510,3,3,1994Q4,19,,,2,2,2,1,,,2,1,,2,2,,2,,,,2,1,2,1
7,53292,3510,7,7,1994Q4,19,3,1,1,2,2,2,1,1,1,2,3,2,2,2,1,1,3,1,2,2,2,2
6,53324,3510,6,6,1994Q4,19,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1
2,53293,3510,6,6,1994Q4,19,1,1,1,1,2,1,1,1,2,1,3,3,2,1,1,1,1,1,1,1,2,2
2,53392,3510,6,6,1994Q4,19,2,1,3,2,1,1,1,1,1,1,2,3,2,1,2,1,2,1,3,1,1,1
6,53310,3510,6,6,1994Q4,19,2,1,3,1,2,2,1,1,2,2,,,2,1,1,1,2,1,2,1,2,2
6,53532,3510,6,6,1994Q4,19,1,1,2,1,3,1,1,1,2,1,3,2,2,1,1,1,2,2,2,2,2,1
1,53439,3510,6,6,1994Q4,19,2,1,1,1,1,3,1,2,1,3,2,3,2,2,1,1,3,1,1,1,2,1
1,53322,3510,8,8,1994Q4,19,1,2,2,2,2,2,1,2,2,2,3,3,2,2,2,1,2,1,2,2,2,2
1,53611,3510,3,3,1994Q4,19,2,3,2,2,3,2,2,2,3,1,2,3,2,1,2,1,3,2,2,1,2,2
1,53609,3510,4,4,1994Q4,19,1,2,2,2,2,2,1,2,2,2,2,3,2,1,1,2,2,2,1,1,3,3
1,53616,3510,4,4,1994Q4,19,2,2,3,1,2,1,,,,,2,3,2,1,2,1,2,2,1,2,2,2
7,53453,3510,7,7,1994Q4,21,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1
5,53527,3510,5,5,1994Q4,21,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
5,53337,3510,5,5,1994Q4,21,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,2,1,2,1
1,53304,3510,4,4,1994Q4,21,3,3,3,3,3,3,3,3,3,3,2,3,2,1,1,1,3,3,3,3,3,3
6,53643,3510,5,5,1994Q4,21,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,2,1,2
5,53593,3510,6,6,1994Q4,21,2,2,1,2,2,2,2,2,2,2,2,3,1,1,1,2,2,2,1,2,2,2
8,53425,3510,4,4,1994Q4,21,2,2,1,2,1,2,2,3,2,,2,2,,1,1,1,2,2,1,2,2,2
6,53687,3510,8,8,1994Q4,21,1,1,1,1,1,1,,,,,3,3,2,1,1,1,1,1,1,1,1,1
4,53460,3510,9,9,1994Q4,21,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2
5,53674,3510,5,5,1994Q4,21,1,1,2,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1
4,53441,3510,5,5,1994Q4,21,1,2,1,2,1,2,1,2,1,2,2,3,2,1,1,1,2,2,2,2,2,1
2,53519,3510,4,4,1994Q4,21,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
4,53363,3510,5,5,1994Q4,21,,,,,2,2,,,,,,,2,,,1,,,,,2,2
8,53547,3510,4,4,1994Q4,21,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,1,1
5,53340,3510,7,7,1994Q4,21,1,1,3,1,2,1,,,,,2,2,2,1,2,1,3,,3,,1,
6,31344,3510,7,7,1994Q4,21,3,2,2,1,2,1,3,2,2,2,1,2,2,1,1,1,3,1,2,1,2,1
2,53317,3510,1,1,1994Q4,21,,,,,2,2,,,,,,,2,,,2,,,,,2,2
1,53445,3510,7,7,1994Q4,21,1,1,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
4,53282,3510,3,3,1994Q4,21,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1
6,53360,3510,7,7,1994Q4,21,1,2,3,3,2,2,2,3,2,2,1,1,,2,1,1,1,2,2,2,2,2
6,53284,3510,6,6,1994Q4,21,1,1,1,2,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1
5,53603,3510,4,4,1994Q4,21,1,2,2,2,2,2,2,2,2,2,3,3,2,1,2,1,1,2,2,2,2,2
6,53372,3510,6,6,1994Q4,21,2,1,2,2,1,1,1,1,1,1,3,3,2,1,1,1,1,1,2,2,1,1
8,53666,3510,3,3,1994Q4,22,1,2,1,2,1,2,1,2,1,2,2,3,2,1,1,1,1,1,1,1,1,1
6,91013,3510,5,5,1994Q4,22,2,1,1,2,1,2,1,2,1,2,1,3,3,2,1,1,2,1,1,2,1,1
8,53385,3510,4,4,1994Q4,22,1,3,3,3,1,2,1,3,1,2,3,3,1,1,2,1,2,2,3,3,1,2
5,53506,3510,7,7,1994Q4,22,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1
6,53339,3510,6,6,1994Q4,30,1,1,1,1,2,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,2,2
7,53408,3510,6,6,1994Q4,30,2,2,3,3,1,2,2,2,1,2,2,3,2,2,2,1,2,2,3,3,1,2
6,53601,3510,6,6,1994Q4,30,2,2,1,1,1,1,2,1,1,1,1,3,2,2,1,1,2,2,1,1,1,1
7,53407,3510,4,4,1994Q4,30,2,2,2,2,2,2,1,2,2,,2,2,2,2,2,1,3,3,2,2,3,3
8,53342,3510,3,3,1994Q4,30,3,2,3,2,1,3,2,3,1,3,1,2,2,2,2,1,3,3,3,3,1,3
6,53332,3510,6,6,1994Q4,30,1,1,3,2,2,1,1,1,1,1,2,3,3,1,2,1,1,1,1,1,1,1
1,53536,3510,6,6,1994Q4,30,1,1,2,1,3,2,3,1,2,2,3,3,1,2,2,2,2,1,3,3,3,2
6,53405,3510,7,7,1994Q4,30,1,1,1,1,2,2,1,1,2,2,3,3,2,1,2,2,1,1,2,2,2,2
6,53348,3510,3,3,1994Q4,30,1,1,2,2,2,2,1,1,1,1,3,2,2,1,1,1,2,1,1,1,1,1
7,53539,3510,6,6,1994Q4,30,3,3,3,3,1,3,3,3,1,3,2,1,1,2,2,2,3,3,3,3,1,2
4,53369,3510,9,9,1994Q4,13,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1
2,53493,3510,4,4,1994Q4,13,2,2,2,2,3,2,2,2,3,2,1,1,1,2,2,2,2,2,2,2,2,2
7,53523,3510,6,6,1994Q4,13,1,1,3,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,3,2,1,1
2,53353,3510,5,5,1994Q4,13,1,1,2,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1
2,53278,3510,8,8,1994Q4,30,2,2,2,2,1,1,2,2,1,1,3,3,2,1,1,1,3,2,3,2,2,1
4,53550,3510,6,6,1994Q4,30,3,1,3,1,,,2,2,1,,3,3,1,1,1,2,2,1,2,1,2,2
5,30523,3510,5,5,1994Q4,30,1,2,1,1,2,2,3,3,2,2,3,3,2,1,1,1,2,2,2,1,2,2
2,53562,3510,3,3,1994Q4,30,,,,,3,3,,,,,2,,,,,2,,,,,3,3
6,53276,3510,3,3,1994Q4,30,3,3,3,3,3,3,3,3,2,3,2,3,2,1,2,1,3,3,2,2,2,2
6,53481,3510,6,6,1994Q4,30,2,1,2,1,2,1,2,1,2,1,3,3,2,1,1,1,2,1,2,1,2,1
6,53404,3510,7,7,1994Q4,30,1,2,1,2,1,2,1,2,1,2,3,2,2,1,1,1,1,2,1,2,1,2
1,53692,3510,4,4,1994Q4,30,3,2,3,2,1,1,3,2,1,2,1,3,2,2,2,1,3,2,3,2,1,1
8,53343,3510,5,5,1994Q4,30,1,1,1,1,1,2,1,2,1,2,3,3,2,1,1,1,1,1,1,1,1,2
6,30616,3510,6,6,1994Q4,30,3,3,1,2,,,,,,,3,2,,2,1,,3,3,1,2,,
2,53627,3510,5,5,1994Q4,30,1,2,2,2,2,2,1,2,2,2,3,2,2,1,1,1,1,1,1,1,2,2
6,30534,3510,7,7,1994Q4,30,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1
8,53492,3510,9,9,1994Q4,30,2,2,3,3,2,2,1,2,2,2,2,3,2,1,1,1,2,2,2,2,2,2
1,53611,3510,3,3,1994Q3,2,2,1,1,1,2,2,1,1,2,2,3,3,2,2,1,1,1,,1,,2,
8,53547,3510,4,4,1994Q3,2,2,1,3,1,1,2,1,1,1,2,3,3,2,1,1,1,1,1,2,1,2,1
6,53471,3510,3,3,1994Q3,2,,,,,,,,,3,2,,,2,,,2,,,,,3,2
8,53425,3510,4,4,1994Q3,2,3,1,1,3,1,2,1,3,1,2,3,3,1,2,1,1,3,1,1,2,1,2
4,53465,3510,8,8,1994Q3,2,3,1,3,1,2,1,3,1,,1,3,3,2,1,1,1,3,1,3,1,2,1
5,30420,3510,7,7,1994Q3,2,1,3,1,1,1,1,2,2,1,1,3,3,2,2,1,1,3,3,1,1,1,1
2,53351,3510,2,2,1994Q3,2,3,1,2,1,2,1,1,1,2,1,3,2,2,2,2,2,3,2,3,2,1,1
6,53406,3510,6,6,1994Q3,2,3,1,2,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1
1,53520,3510,5,5,1994Q3,2,2,1,2,2,2,2,1,1,2,2,2,3,3,1,2,2,1,1,1,1,1,1
2,53627,3510,5,5,1994Q3,2,3,3,3,3,2,2,1,2,2,2,3,3,2,1,1,2,3,3,3,3,2,2
6,53657,3510,6,6,1994Q3,2,1,1,2,1,1,1,,,,,3,3,2,1,1,1,1,1,2,1,1,1
8,53492,3510,9,9,1994Q3,2,3,1,3,2,2,2,3,1,2,2,3,3,2,2,1,1,3,2,3,3,2,2
1,53371,3510,3,3,1994Q3,31,,,2,2,2,2,,,2,2,,2,2,,2,1,,,2,2,2,2
2,90994,3510,7,7,1994Q3,31,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,1,3,3,3,3,3,3
1,53322,3510,8,8,1994Q3,31,3,3,3,3,2,2,2,1,2,2,3,3,2,2,2,1,3,2,3,2,2,2
1,53439,3510,6,6,1994Q3,31,,1,2,2,2,2,2,1,2,2,3,2,2,1,2,2,2,1,2,1,2,1
8,53385,3510,4,4,1994Q3,6,1,1,3,3,1,1,1,1,1,1,3,3,1,1,2,1,1,1,3,2,1,1
6,53405,3510,7,7,1994Q3,6,1,1,1,2,2,2,1,1,1,2,3,3,2,1,2,1,1,1,3,3,2,2
5,53674,3510,5,5,1994Q3,6,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,2,1,1,1,1,1,1
5,30523,3510,5,5,1994Q3,6,3,3,3,3,3,2,3,3,3,2,3,3,2,2,2,2,3,3,3,3,2,2
4,53550,3510,6,6,1994Q3,6,3,,,,,,3,,3,,3,3,3,2,2,2,3,,3,,,
7,53453,3510,7,7,1994Q3,6,2,1,1,1,1,1,1,1,2,1,3,3,2,1,1,1,1,1,1,1,1,1
8,53343,3510,5,5,1994Q3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3
4,53651,3510,7,7,1994Q3,6,1,3,2,2,1,2,1,2,1,2,3,3,2,2,2,1,1,,1,,1,
7,53418,3510,7,7,1994Q3,6,3,,1,1,1,1,1,1,1,1,3,2,2,2,1,1,3,3,1,1,1,1
5,53527,3510,5,5,1994Q3,6,2,2,2,2,2,2,1,1,1,1,3,3,1,2,2,2,3,3,3,3,3,3
7,53650,3510,6,6,1994Q3,6,3,2,1,2,1,2,2,2,1,1,3,3,2,2,1,1,1,2,1,2,1,2
4,53402,3510,6,6,1994Q3,6,3,2,1,2,1,2,2,1,1,1,3,3,2,2,1,1,2,2,2,2,2,2
6,53372,3510,6,6,1994Q3,6,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1
4,53369,3510,9,9,1994Q3,6,1,2,1,2,1,2,1,2,1,2,3,3,2,2,2,2,2,2,2,2,2,2
2,53613,3510,5,5,1994Q3,6,3,3,3,3,2,2,3,3,2,2,3,3,2,2,2,1,3,3,3,3,2,2
6,53376,3510,7,7,1994Q3,6,1,1,2,2,1,1,1,1,1,1,3,2,1,2,1,2,3,1,2,2,3,1
1,53287,3510,8,8,1994Q3,6,3,2,1,1,1,1,2,2,1,1,3,3,3,1,1,1,3,2,2,2,2,1
7,53508,3510,4,4,1994Q3,6,3,2,1,2,1,1,3,3,2,2,3,3,2,1,1,1,3,3,2,2,2,2
1,53414,3510,8,8,1994Q3,6,1,3,1,3,1,3,2,3,2,3,3,3,3,2,2,2,1,3,1,3,1,3
6,53601,3510,6,6,1994Q3,6,3,1,3,1,2,1,3,1,2,1,3,3,2,2,2,1,3,1,3,1,2,1
4,53363,3510,5,5,1994Q3,6,,,,,,,,,2,2,,,2,,,1,,,,,2,2
4,53460,3510,9,9,1994Q3,6,3,3,2,2,2,2,3,3,2,2,3,3,2,2,2,1,3,3,3,3,2,2
6,53355,3510,3,3,1994Q3,6,,,3,2,3,2,,,,,,,3,,2,2,,,3,2,3,2
5,53337,3510,5,5,1994Q3,6,1,2,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1
6,53455,3510,5,5,1994Q3,6,3,2,3,2,1,1,1,3,,,3,3,2,2,2,1,2,2,3,2,1,1
7,30399,3510,5,5,1994Q3,6,,,1,1,2,1,,,,,,2,2,,1,1,,,1,1,1,1
5,53349,3510,5,5,1994Q3,6,1,2,1,2,1,2,1,2,1,2,3,3,2,2,2,2,2,2,2,2,2,2
5,53593,3510,6,6,1994Q3,6,3,1,3,1,3,1,1,1,2,1,3,3,1,1,1,1,1,1,1,1,1,1
6,53643,3510,5,5,1994Q3,6,1,3,1,3,2,2,2,3,2,3,3,3,2,1,1,1,1,2,1,2,1,2
6,53348,3510,3,3,1994Q3,6,3,2,2,2,1,1,3,3,1,1,3,3,2,2,2,1,3,3,2,2,1,1
6,53286,3510,7,7,1994Q3,6,3,3,2,3,1,2,2,2,1,2,3,3,2,2,1,1,3,3,2,3,2,2
4,53441,3510,5,5,1994Q3,6,1,3,1,2,1,2,2,2,1,2,3,3,2,1,1,1,1,2,1,2,1,2
2,53519,3510,4,4,1994Q3,6,3,,3,,1,,3,,1,,2,3,2,2,2,1,3,3,3,2,2,2
7,53407,3510,4,4,1994Q3,6,3,2,3,3,2,2,3,3,2,2,3,2,2,2,2,1,3,2,3,3,2,2
7,30607,3510,9,9,1994Q3,6,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1
5,53387,3510,4,4,1994Q3,6,1,1,1,1,2,2,1,1,2,2,3,3,3,1,1,1,1,1,1,1,1,1
6,53339,3510,6,6,1994Q3,6,3,2,3,2,1,1,3,2,1,1,3,3,1,2,2,1,3,3,3,3,1,1
1,53692,3510,4,4,1994Q3,6,3,3,2,2,1,1,3,,1,2,2,3,2,2,2,1,3,3,3,3,1,1
6,53688,3510,6,6,1994Q3,6,2,2,2,2,2,2,1,2,1,2,3,3,3,2,2,2,1,1,1,1,1,1
1,53616,3510,4,4,1994Q3,6,3,3,2,3,2,2,1,1,1,1,3,3,2,2,1,2,3,3,1,3,2,2
1,53304,3510,4,4,1994Q3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3
6,53284,3510,6,6,1994Q3,6,3,1,3,1,1,1,1,1,1,1,3,3,2,1,1,1,3,1,3,1,1,1
2,53392,3510,6,6,1994Q3,6,1,3,1,3,1,3,1,1,1,1,3,3,,2,2,2,3,3,3,3,3,3
6,53561,3510,4,4,1994Q3,6,3,1,1,2,3,2,3,1,3,2,3,3,1,1,1,2,3,1,3,2,3,2
5,53659,3510,1,1,1994Q3,6,,,,,3,3,,,,,,,1,,,2,,,,,3,3
7,53408,3510,6,6,1994Q3,6,1,3,1,3,1,3,1,2,1,3,3,3,3,2,2,2,3,3,3,3,3,3
6,53276,3510,3,3,1994Q3,6,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,1,3,3,3,3,3,3
6,30534,3510,7,7,1994Q3,8,3,1,2,1,1,1,3,1,1,1,3,3,2,1,1,1,3,1,2,1,1,1
4,53282,3510,3,3,1994Q3,8,3,1,3,1,1,1,1,1,1,1,,,2,2,2,1,3,1,3,1,1,1
2,53514,3510,7,7,1994Q3,9,2,3,1,2,2,2,2,3,2,2,3,2,3,1,1,1,1,2,1,2,1,2
7,53523,3510,6,6,1994Q3,9,3,1,3,2,1,1,1,1,1,1,3,3,2,2,2,1,3,1,3,2,1,1
1,53609,3510,4,4,1994Q3,9,3,1,3,1,3,1,3,1,3,1,3,3,3,1,1,2,3,1,3,1,3,2
8,53342,3510,3,3,1994Q3,9,3,3,1,1,1,1,3,3,1,1,3,3,2,2,1,1,3,3,1,1,1,1
8,53413,3510,7,7,1994Q3,9,3,3,2,2,1,1,2,3,2,2,3,3,2,1,1,1,2,3,2,2,1,1
6,53483,3510,5,5,1994Q3,9,3,2,1,2,1,2,2,2,1,2,3,2,2,1,1,1,3,3,3,3,2,2
5,53603,3510,4,4,1994Q3,9,3,3,2,2,2,2,3,3,2,2,3,2,2,2,1,1,3,3,2,2,2,2
6,53332,3510,6,6,1994Q3,13,3,1,3,1,3,1,1,2,1,2,3,3,3,2,2,2,3,1,3,2,3,2
5,53506,3510,7,7,1994Q3,13,1,1,1,1,1,2,1,1,2,2,3,3,3,1,1,1,1,1,1,1,1,2
6,53481,3510,6,6,1994Q3,13,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3
7,53535,3510,7,7,1994Q3,13,3,1,1,2,2,1,3,1,2,1,3,2,3,2,2,2,3,1,2,1,3,1
8,53444,3510,3,3,1994Q3,14,,,1,,1,1,,,1,1,,2,2,,1,1,,,1,1,1,1
7,31472,3510,7,7,1994Q3,14,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,1,2,3,2,3,2,3
6,53398,3510,6,6,1994Q3,14,1,3,1,2,1,2,1,3,1,2,3,2,2,2,1,1,1,3,1,1,1,1
6,30537,3510,7,7,1994Q3,19,2,1,2,1,2,2,2,1,3,2,1,3,2,1,1,2,3,,3,,3,
7,53508,3510,4,4,1994Q2,15,3,3,3,3,2,2,3,3,2,2,1,2,1,2,2,1,3,2,3,3,3,2
6,53348,3510,3,3,1994Q2,15,2,2,3,1,1,1,2,2,1,1,3,2,2,1,1,1,3,2,3,2,2,1
6,53687,3510,8,8,1994Q2,13,1,1,3,3,2,2,,,,,3,2,2,1,2,1,1,1,3,3,2,2
1,53520,3510,5,5,1994Q2,13,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
1,30589,3510,9,9,1994Q2,13,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1
1,53439,3510,6,6,1994Q2,13,2,1,1,1,3,1,1,1,3,1,3,3,1,1,1,2,1,1,1,1,2,1
1,53445,3510,7,7,1994Q2,13,1,1,2,3,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,3,1,1
1,53692,3510,4,4,1994Q2,13,3,,3,,1,,2,,1,,2,2,1,2,1,1,3,3,3,3,1,1
2,90994,3510,7,7,1994Q2,13,3,1,3,1,2,1,2,1,2,1,3,2,2,1,1,1,2,1,2,1,2,1
1,53283,3510,6,6,1994Q2,13,3,2,3,2,3,2,3,3,3,3,2,2,1,2,2,2,1,3,2,3,2,2
1,53536,3510,6,6,1994Q2,13,2,1,3,1,2,2,1,1,2,2,3,3,1,1,1,1,1,1,2,2,2,2
1,53322,3510,8,8,1994Q2,13,3,2,3,2,2,2,3,2,2,2,3,2,2,2,2,1,3,3,3,2,2,2
1,53611,3510,3,3,1994Q2,14,2,1,2,1,3,2,2,2,2,2,1,3,2,1,1,1,2,2,2,2,3,3
5,53337,3510,5,5,1994Q2,14,1,1,2,1,1,1,1,1,2,2,2,3,1,2,1,1,1,1,1,1,2,1
2,53351,3510,2,2,1994Q2,14,2,1,2,1,1,1,2,1,1,1,3,3,2,2,2,2,2,,2,,1,
6,53310,3510,6,6,1994Q2,14,2,1,1,2,2,2,1,1,2,2,3,3,2,1,1,1,2,1,1,2,2,2
6,53339,3510,6,6,1994Q2,14,3,1,3,1,1,1,2,1,1,1,3,3,2,1,1,1,2,1,2,1,1,1
4,53441,3510,5,5,1994Q2,14,2,2,2,2,1,1,2,2,1,1,2,3,2,1,1,1,2,2,2,2,1,1
6,53406,3510,6,6,1994Q2,14,3,2,3,2,2,1,1,1,2,2,3,3,2,2,2,1,3,2,3,2,2,2
1,53414,3510,8,8,1994Q2,14,3,1,2,1,3,2,2,2,2,2,1,2,2,2,1,2,3,2,2,1,2,2
2,53353,3510,5,5,1994Q2,16,1,1,1,1,2,2,1,1,2,2,3,3,1,1,1,1,1,1,1,1,1,1
6,30534,3510,7,7,1994Q2,16,1,,1,,1,,1,,1,,3,3,2,1,1,1,1,1,1,1,2,2
6,53643,3510,5,5,1994Q2,16,2,2,2,2,2,2,3,3,2,2,1,2,2,2,1,1,2,2,1,2,2,2
6,53471,3510,3,3,1994Q2,16,,,,,,,,,1,1,,,2,,,1,,,,,2,1
5,53659,3510,1,1,1994Q2,16,,,,,3,2,,,,,,,,,,2,,,,,2,2
7,53545,3510,5,5,1994Q2,16,2,1,2,1,1,1,1,1,1,1,2,3,1,1,2,1,1,1,2,1,1,1
7,53467,3510,5,5,1994Q2,16,3,3,2,2,1,1,3,2,1,1,3,2,1,2,1,1,3,3,2,2,1,1
5,30179,3510,7,7,1994Q2,16,2,1,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,2,1,2
5,53674,3510,5,5,1994Q2,16,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1
4,53651,3510,7,7,1994Q2,16,1,1,1,1,2,2,1,1,2,2,3,3,2,2,1,2,1,1,1,1,2,2
2,53613,3510,5,5,1994Q2,17,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1,1,3,3,2,2,2,2
7,53453,3510,7,7,1994Q2,17,3,1,1,1,1,1,1,1,2,1,3,2,2,1,1,1,2,1,1,1,1,1
6,53561,3510,4,4,1994Q2,17,2,1,2,1,2,2,2,1,2,2,3,3,1,2,2,1,1,1,1,1,2,2
7,53409,3510,7,7,1994Q2,17,3,3,3,3,2,1,2,1,2,1,3,3,2,2,2,1,3,3,3,3,2,1
7,30607,3510,9,9,1994Q2,17,3,1,1,1,1,1,1,1,1,1,3,3,2,2,1,1,2,1,1,1,1,1
7,53523,3510,6,6,1994Q2,17,3,1,3,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,3,1,1,1
4,53369,3510,9,9,1994Q2,17,2,1,2,1,,,2,2,2,,3,3,,2,2,,1,1,1,1,1,1
5,53349,3510,5,5,1994Q2,20,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,1
