"";"Date";"w.Conf_cc.V";"w.Act_prod.V";"w.Conf_prod.V";"w.Act_GBC.V";"w.Conf_GBC.V";"w.Empl.V";"w.Uncert_fl.prod.V";"w.Uncert_fl.GBC.V";"w.Uncert_ee.prod.V";"w.Uncert_ee.GBC.V"
"30";"1999Q3";-0,239990935186584;-0,0712230491828436;0,297492318366538;0,0276353058256143;0,224741231194737;-0,21438707703812;0,728591878250437;0,7870455341891;0,986865622114208;0,880079233507904
"31";"1999Q4";0,0635501139555838;0,208908138167041;0,630467012601927;0,333664265047938;0,585016619790335;-0,181675271785853;0,613738172049894;0,630592343811872;0,901743337712699;0,634006965040199
"32";"2000Q1";0,454699546175297;0,559535201640465;0,814640661083442;0,716412053258584;0,758926381442938;-0,27172631868985;0,458243182229923;0,477659326792972;1,07162944583039;0,964304868130535
"33";"2000Q2";0,119558253760029;0,298605589872179;0,451363002820006;0,442195581332775;0,395616008727074;-0,0837192357282526;0,671371499476463;0,66913048381801;0,953380339340527;0,941763282745038
"34";"2000Q3";0,171381749180611;0,153613938243919;0,380215072955245;0,18112816974297;0,243596299567663;-0,108058782715067;0,672688162747747;0,787009121230189;0,870556941133147;0,956658982359828
"35";"2000Q4";0,00435926638652162;0,0274123237638927;0,113350538691573;-0,081255154537957;0,0810616929698709;-0,205270782673795;0,762517489648872;0,805052654602034;1,06288224285688;1,05897670361982
"36";"2001Q1";0,243531503061426;0,267165649005318;0,383704308760466;0,15425636974126;0,354486178712462;-0,28850166752228;0,640352223987383;0,688829794926139;1,04684454308977;0,844971109016364
"37";"2001Q2";0,0185063656647854;0,00172989499939655;0,0638278471778973;-0,151511275951741;0,141921919051942;-0,275171073014533;0,722845588727142;0,712123304977199;1,04940292582996;1,08544446150559
"38";"2001Q3";0,0745587132829006;-0,171424701141251;0,154223968565815;-0,209861492092519;0,161484640999738;-0,34311928224764;0,691251601161313;0,669533038632876;1,07642324682932;0,926948011601612
"39";"2001Q4";0,0382167895020672;-0,231954469739034;0,0191073066340569;-0,306974796314627;0,158633511503602;-0,200518365063036;0,687777245915118;0,608239338557999;0,742330477733456;0,795878280143289
"40";"2002Q1";0,208672310551311;-0,116132979808281;-0,233668929992976;-0,232315356291964;-0,24158799322198;-0,367430665566401;0,798558524549778;0,722380606525206;1,25888599996579;1,15029552430195
"41";"2002Q2";0,346168140935107;-0,169144428751951;-0,0121663264897747;-0,0833300469298419;-0,0386092414419623;-0,262984488657088;0,775631930759514;0,708868203926892;1,11221636106373;1,18711736052124
"42";"2002Q3";0,0751984289338025;-0,321949865143582;0,0759704900755314;-0,268847911227154;-0,0112359550561798;-0,133848826951596;0,755638418238925;0,67877031144482;1,17876590504123;1,16798619830764
